Frog_ID,Unattenuated_Signal_Level,Attenuated_Signal_Level,Noise,Attenuation,Choice
Hch312-11,79,77,absent,-2,1
Hch312-11,79,75,absent,-4,1
Hch312-11,79,73,absent,-6,1
Hch312-11,79,77,present,-2,1
Hch312-11,79,75,present,-4,0
Hch312-11,79,73,present,-6,1
Hch313-11,79,77,absent,-2,1
Hch313-11,79,75,absent,-4,1
Hch313-11,79,73,absent,-6,1
Hch313-11,79,77,present,-2,1
Hch313-11,79,75,present,-4,0
Hch313-11,79,73,present,-6,1
Hch314-11,79,77,absent,-2,1
Hch314-11,79,75,absent,-4,1
Hch314-11,79,73,absent,-6,1
Hch314-11,79,77,present,-2,1
Hch314-11,79,75,present,-4,1
Hch314-11,79,73,present,-6,1
Hch319-11,79,77,absent,-2,0
Hch319-11,79,75,absent,-4,1
Hch319-11,79,73,absent,-6,1
Hch319-11,79,77,present,-2,0
Hch319-11,79,75,present,-4,1
Hch319-11,79,73,present,-6,1
Hch320-11,79,77,absent,-2,1
Hch320-11,79,75,absent,-4,0
Hch320-11,79,73,absent,-6,1
Hch320-11,79,77,present,-2,1
Hch320-11,79,75,present,-4,1
Hch320-11,79,73,present,-6,1
Hch321-11,79,77,absent,-2,1
Hch321-11,79,75,absent,-4,1
Hch321-11,79,73,absent,-6,1
Hch321-11,79,77,present,-2,0
Hch321-11,79,75,present,-4,1
Hch321-11,79,73,present,-6,1
Hch322-11,79,77,absent,-2,0
Hch322-11,79,75,absent,-4,1
Hch322-11,79,73,absent,-6,1
Hch322-11,79,77,present,-2,0
Hch322-11,79,75,present,-4,1
Hch322-11,79,73,present,-6,1
Hch323-11,79,77,absent,-2,1
Hch323-11,79,75,absent,-4,1
Hch323-11,79,73,absent,-6,1
Hch323-11,79,77,present,-2,0
Hch323-11,79,75,present,-4,1
Hch323-11,79,73,present,-6,1
Hch324-11,79,77,absent,-2,1
Hch324-11,79,75,absent,-4,1
Hch324-11,79,73,absent,-6,1
Hch324-11,79,77,present,-2,1
Hch324-11,79,75,present,-4,1
Hch324-11,79,73,present,-6,1
Hch329-11,79,77,absent,-2,1
Hch329-11,79,75,absent,-4,0
Hch329-11,79,73,absent,-6,1
Hch329-11,79,77,present,-2,1
Hch329-11,79,75,present,-4,1
Hch329-11,79,73,present,-6,1
Hch330-11,79,77,absent,-2,1
Hch330-11,79,75,absent,-4,0
Hch330-11,79,73,absent,-6,1
Hch330-11,79,77,present,-2,1
Hch330-11,79,75,present,-4,1
Hch330-11,79,73,present,-6,1
Hch333-11,79,77,absent,-2,1
Hch333-11,79,75,absent,-4,1
Hch333-11,79,73,absent,-6,1
Hch333-11,79,77,present,-2,1
Hch333-11,79,75,present,-4,1
Hch333-11,79,73,present,-6,1
Hch371-11,79,77,absent,-2,0
Hch371-11,79,75,absent,-4,0
Hch371-11,79,73,absent,-6,1
Hch371-11,79,77,present,-2,1
Hch371-11,79,75,present,-4,1
Hch371-11,79,73,present,-6,1
Hch372-11,79,77,absent,-2,1
Hch372-11,79,75,absent,-4,1
Hch372-11,79,73,absent,-6,1
Hch372-11,79,77,present,-2,0
Hch372-11,79,75,present,-4,0
Hch372-11,79,73,present,-6,0
Hch373-11,79,77,absent,-2,1
Hch373-11,79,75,absent,-4,1
Hch373-11,79,73,absent,-6,1
Hch373-11,79,77,present,-2,1
Hch373-11,79,75,present,-4,1
Hch373-11,79,73,present,-6,0
Hch388-11,79,77,absent,-2,1
Hch388-11,79,75,absent,-4,1
Hch388-11,79,73,absent,-6,0
Hch388-11,79,77,present,-2,1
Hch388-11,79,75,present,-4,0
Hch388-11,79,73,present,-6,1
Hch389-11,79,77,absent,-2,0
Hch389-11,79,75,absent,-4,0
Hch389-11,79,73,absent,-6,1
Hch389-11,79,77,present,-2,1
Hch389-11,79,75,present,-4,0
Hch389-11,79,73,present,-6,1
Hch390-11,79,77,absent,-2,1
Hch390-11,79,75,absent,-4,0
Hch390-11,79,73,absent,-6,1
Hch390-11,79,77,present,-2,1
Hch390-11,79,75,present,-4,1
Hch390-11,79,73,present,-6,1
Hch394-11,79,77,absent,-2,0
Hch394-11,79,75,absent,-4,1
Hch394-11,79,73,absent,-6,1
Hch394-11,79,77,present,-2,1
Hch394-11,79,75,present,-4,1
Hch394-11,79,73,present,-6,1
Hch395-11,79,77,absent,-2,1
Hch395-11,79,75,absent,-4,1
Hch395-11,79,73,absent,-6,1
Hch395-11,79,77,present,-2,1
Hch395-11,79,75,present,-4,1
Hch395-11,79,73,present,-6,1
Hch396-11,79,77,absent,-2,0
Hch396-11,79,75,absent,-4,1
Hch396-11,79,73,absent,-6,1
Hch396-11,79,77,present,-2,1
Hch396-11,79,75,present,-4,0
Hch396-11,79,73,present,-6,0
Hch400-11,79,77,absent,-2,1
Hch400-11,79,75,absent,-4,1
Hch400-11,79,73,absent,-6,1
Hch400-11,79,77,present,-2,1
Hch400-11,79,75,present,-4,1
Hch400-11,79,73,present,-6,1
Hch401-11,79,77,absent,-2,1
Hch401-11,79,75,absent,-4,1
Hch401-11,79,73,absent,-6,0
Hch401-11,79,77,present,-2,1
Hch401-11,79,75,present,-4,1
Hch401-11,79,73,present,-6,1
Hch402-11,79,77,absent,-2,1
Hch402-11,79,75,absent,-4,1
Hch402-11,79,73,absent,-6,1
Hch402-11,79,77,present,-2,1
Hch402-11,79,75,present,-4,1
