Chimpanzee,Trial Number,Left,Right,Difference,Total,Ratio,Choice
Lana,1,1,5,4,6,0.2,1
Lana,2,5,2,3,7,0.4,0
Lana,3,2,4,2,6,0.5,1
Lana,4,4,1,3,5,0.25,1
Lana,5,1,4,3,5,0.25,1
Lana,6,4,5,1,9,0.8,1
Lana,7,3,1,2,4,0.333333333,0
Lana,8,3,4,1,7,0.75,0
Lana,9,2,3,1,5,0.666666667,1
Lana,10,4,2,2,6,0.5,1
Lana,11,3,5,2,8,0.6,1
Lana,12,5,4,1,9,0.8,0
Lana,13,4,3,1,7,0.75,1
Lana,14,1,2,1,3,0.5,1
Lana,15,2,5,3,7,0.4,1
Lana,16,5,3,2,8,0.6,1
Lana,17,2,1,1,3,0.5,1
Lana,18,5,1,4,6,0.2,1
Lana,19,3,2,1,5,0.666666667,0
Lana,20,1,3,2,4,0.333333333,1
Lana,21,4,2,2,6,0.5,1
Lana,22,2,3,1,5,0.666666667,1
Lana,23,5,4,1,9,0.8,1
Lana,24,2,5,3,7,0.4,1
Lana,25,3,4,1,7,0.75,1
Lana,26,3,1,2,4,0.333333333,0
Lana,27,4,1,3,5,0.25,1
Lana,28,3,5,2,8,0.6,0
Lana,29,5,2,3,7,0.4,1
Lana,30,4,3,1,7,0.75,0
Lana,31,1,5,4,6,0.2,1
Lana,32,2,1,1,3,0.5,0
Lana,33,3,2,1,5,0.666666667,0
Lana,34,5,3,2,8,0.6,0
Lana,35,1,3,2,4,0.333333333,1
Lana,36,1,2,1,3,0.5,1
Lana,37,5,1,4,6,0.2,1
Lana,38,4,5,1,9,0.8,1
Lana,39,1,4,3,5,0.25,1
Lana,40,2,4,2,6,0.5,1
Mercury,1,1,5,4,6,0.2,1
Mercury,2,5,2,3,7,0.4,1
Mercury,3,2,4,2,6,0.5,1
Mercury,4,4,1,3,5,0.25,0
Mercury,5,1,4,3,5,0.25,0
Mercury,6,4,5,1,9,0.8,0
Mercury,7,3,1,2,4,0.333333333,1
Mercury,8,3,4,1,7,0.75,1
Mercury,9,2,3,1,5,0.666666667,0
Mercury,10,4,2,2,6,0.5,0
Mercury,11,3,5,2,8,0.6,0
Mercury,12,5,4,1,9,0.8,1
Mercury,13,4,3,1,7,0.75,0
Mercury,14,1,2,1,3,0.5,1
Mercury,15,2,5,3,7,0.4,1
Mercury,16,5,3,2,8,0.6,0
Mercury,17,2,1,1,3,0.5,0
Mercury,18,5,1,4,6,0.2,1
Mercury,19,3,2,1,5,0.666666667,1
Mercury,20,1,3,2,4,0.333333333,1
Mercury,21,4,2,2,6,0.5,1
Mercury,22,2,3,1,5,0.666666667,1
Mercury,23,5,4,1,9,0.8,1
Mercury,24,2,5,3,7,0.4,1
Mercury,25,3,4,1,7,0.75,1
Mercury,26,3,1,2,4,0.333333333,1
Mercury,27,4,1,3,5,0.25,1
Mercury,28,3,5,2,8,0.6,0
Mercury,29,5,2,3,7,0.4,1
Mercury,30,4,3,1,7,0.75,0
Mercury,31,1,5,4,6,0.2,1
Mercury,32,2,1,1,3,0.5,0
Mercury,33,3,2,1,5,0.666666667,1
Mercury,34,5,3,2,8,0.6,1
Mercury,35,1,3,2,4,0.333333333,1
Mercury,36,1,2,1,3,0.5,1
Mercury,37,5,1,4,6,0.2,1
Mercury,38,4,5,1,9,0.8,0
Mercury,39,1,4,3,5,0.25,1
Mercury,40,2,4,2,6,0.5,1
Sherman,1,1,5,4,6,0.2,1
Sherman,2,5,2,3,7,0.4,0
Sherman,3,2,4,2,6,0.5,1
Sherman,4,4,1,3,5,0.25,0
Sherman,5,1,4,3,5,0.25,1
Sherman,6,4,5,1,9,0.8,1
Sherman,7,3,1,2,4,0.333333333,1
Sherman,8,3,4,1,7,0.75,0
Sherman,9,2,3,1,5,0.666666667,1
Sherman,10,4,2,2,6,0.5,1
Sherman,11,3,5,2,8,0.6,1
Sherman,12,5,4,1,9,0.8,1
Sherman,13,4,3,1,7,0.75,0
Sherman,14,1,2,1,3,0.5,1
Sherman,15,2,5,3,7,0.4,1
Sherman,16,5,3,2,8,0.6,1
Sherman,17,2,1,1,3,0.5,1
Sherman,18,5,1,4,6,0.2,1
Sherman,19,3,2,1,5,0.666666667,1
Sherman,20,1,3,2,4,0.333333333,1
Sherman,21,4,2,2,6,0.5,1
Sherman,22,2,3,1,5,0.666666667,1
Sherman,23,5,4,1,9,0.8,1
Sherman,24,2,5,3,7,0.4,1
Sherman,25,3,4,1,7,0.75,1
Sherman,26,3,1,2,4,0.333333333,1
Sherman,27,4,1,3,5,0.25,1
Sherman,28,3,5,2,8,0.6,1
Sherman,29,5,2,3,7,0.4,0
Sherman,30,4,3,1,7,0.75,1
Sherman,31,1,5,4,6,0.2,1
Sherman,32,2,1,1,3,0.5,1
Sherman,33,3,2,1,5,0.666666667,1
Sherman,34,5,3,2,8,0.6,1
Sherman,35,1,3,2,4,0.333333333,1
Sherman,36,1,2,1,3,0.5,1
Sherman,37,5,1,4,6,0.2,1
Sherman,38,4,5,1,9,0.8,0
Sherman,39,1,4,3,5,0.25,1
Sherman,40,2,4,2,6,0.5,1
