monkey,f1,f2 ,total of trials
1,26,34,135
1,18,26,120
1,10,18,150
1,34,26,135
1,26,18,135
1,18,10,120
1,22,30,135
1,22,28,135
1,22,26,120
1,22,24,105
1,22,22,150
1,22,20,135
1,22,18,120
1,22,16,120
1,22,14,150
1,30,22,135
1,28,22,135
1,26,22,135
1,24,22,135
1,22,22,135
1,20,22,135
1,18,22,135
1,16,22,120
1,14,22,150
2,26,34,223
2,18,26,223
2,10,18,223
2,34,26,223
2,26,18,224
2,18,10,224
2,30,22,223
2,28,22,223
2,26,22,223
2,24,22,222
2,22,22,224
2,20,22,224
2,18,22,223
2,16,22,224
2,14,22,224
2,22,30,222
2,22,28,222
2,22,26,224
2,22,24,224
2,22,22,224
2,22,20,224
2,22,18,223
2,22,16,223
2,22,14,223
