Fish_ID,Date,Comp_Num,Comparison,Stimulus,Area_large,Area_small,Stimulus_Side,Time_with_Stim,Latency_to_Visit,Visits_to_Stim
Blue,9-Mar,1,120v70,120,1054,363,Right,143.7,38.8,2
Blue,9-Mar,1,120v70,70,1054,363,Left,2,4.7,1
Blue,11-Mar,1,120v70,120,1054,363,Left,177.5,0.5,1
Blue,11-Mar,1,120v70,70,1054,363,Right,0,0,0
BluePink,9-Mar,1,120v70,120,1054,363,Right,127.9,21,5
BluePink,9-Mar,1,120v70,70,1054,363,Left,0,0,0
BluePink,11-Mar,1,120v70,120,1054,363,Left,48.2,35.2,5
BluePink,11-Mar,1,120v70,70,1054,363,Right,64.7,56.7,6
Green,8-Mar,1,120v70,120,1054,363,Left,140.9,39.1,1
Green,8-Mar,1,120v70,70,1054,363,Right,0,0,0
Green,10-Mar,1,120v70,120,1054,363,Right,0,0,0
Green,10-Mar,1,120v70,70,1054,363,Left,0,0,0
GreenBlue,9-Mar,1,120v70,120,1054,363,Right,38.3,79.4,2
GreenBlue,9-Mar,1,120v70,70,1054,363,Left,57,52.4,4
GreenBlue,11-Mar,1,120v70,120,1054,363,Left,132.7,8.1,5
GreenBlue,11-Mar,1,120v70,70,1054,363,Right,9.2,62.4,3
GreenGreen,8-Mar,1,120v70,120,1054,363,Left,5.7,104.6,1
GreenGreen,8-Mar,1,120v70,70,1054,363,Right,76.1,29.8,4
GreenGreen,10-Mar,1,120v70,120,1054,363,Right,151,29.1,1
GreenGreen,10-Mar,1,120v70,70,1054,363,Left,0,0,0
GreenOrange,9-Mar,1,120v70,120,1054,363,Right,166.2,13.9,1
GreenOrange,9-Mar,1,120v70,70,1054,363,Left,2.8,10.5,1
GreenOrange,11-Mar,1,120v70,120,1054,363,Left,70.3,109.7,1
GreenOrange,11-Mar,1,120v70,70,1054,363,Right,63,26.5,1
GreenRed,9-Mar,1,120v70,120,1054,363,Right,125.8,8.8,2
GreenRed,9-Mar,1,120v70,70,1054,363,Left,36.8,82.7,1
GreenRed,11-Mar,1,120v70,120,1054,363,Left,163.5,16.3,3
GreenRed,11-Mar,1,120v70,70,1054,363,Right,0,0,0
Orange,8-Mar,1,120v70,120,1054,363,Left,0,0,0
Orange,8-Mar,1,120v70,70,1054,363,Right,30.9,42.8,3
Orange,10-Mar,1,120v70,120,1054,363,Right,94.4,85.6,1
Orange,10-Mar,1,120v70,70,1054,363,Left,0,0,0
OrangeBlue,8-Mar,1,120v70,120,1054,363,Left,0,0,0
OrangeBlue,8-Mar,1,120v70,70,1054,363,Right,0,0,0
OrangeBlue,10-Mar,1,120v70,120,1054,363,Right,0,0,0
OrangeBlue,10-Mar,1,120v70,70,1054,363,Left,0,0,0
OrangeOrange,8-Mar,1,120v70,120,1054,363,Left,141.9,38.1,1
OrangeOrange,8-Mar,1,120v70,70,1054,363,Right,37.1,0.3,1
OrangeOrange,10-Mar,1,120v70,120,1054,363,Right,59.8,12.3,3
OrangeOrange,10-Mar,1,120v70,70,1054,363,Left,33,66.1,2
OrangePink,9-Mar,1,120v70,120,1054,363,Right,0,0,0
OrangePink,9-Mar,1,120v70,70,1054,363,Left,84.7,9.4,3
OrangePink,11-Mar,1,120v70,120,1054,363,Left,64.6,8.9,1
OrangePink,11-Mar,1,120v70,70,1054,363,Right,0,0,0
OrangeRed,9-Mar,1,120v70,120,1054,363,Right,118.3,61.7,1
OrangeRed,9-Mar,1,120v70,70,1054,363,Left,0,0,0
OrangeRed,11-Mar,1,120v70,120,1054,363,Left,166.9,13.1,1
OrangeRed,11-Mar,1,120v70,70,1054,363,Right,0,0,0
Pink,9-Mar,1,120v70,120,1054,363,Right,101.2,24.7,9
Pink,9-Mar,1,120v70,70,1054,363,Left,6.9,124.9,2
Pink,11-Mar,1,120v70,120,1054,363,Left,0,0,0
Pink,11-Mar,1,120v70,70,1054,363,Right,100.5,43,7
PinkBlue,9-Mar,1,120v70,120,1054,363,Right,85.5,65.2,5
PinkBlue,9-Mar,1,120v70,70,1054,363,Left,32.3,12.9,2
PinkBlue,11-Mar,1,120v70,120,1054,363,Left,110.4,18.6,3
PinkBlue,11-Mar,1,120v70,70,1054,363,Right,13.2,89.2,1
PinkOrange,9-Mar,1,120v70,120,1054,363,Right,79.2,1.7,9
PinkOrange,9-Mar,1,120v70,70,1054,363,Left,29.4,118.9,3
PinkOrange,11-Mar,1,120v70,120,1054,363,Left,70.3,28.7,7
PinkOrange,11-Mar,1,120v70,70,1054,363,Right,84.6,56.2,7
