Individual,Date,Backwards_Swim,Parallel_Swim,Still_to,Up_down_swim,Approach,Number_of_Behaviors
Blue,1/11/21,yes,yes,yes,no,yes,4
Orange,1/11/21,no,yes,yes,no,yes,3
OrangePink,1/12/21,no,no,yes,yes,yes,3
PinkOrange,1/12/21,no,no,no,yes,yes,2
RedGreen,1/15/21,no,yes,no,yes,yes,3
RedGreenGreen,1/14/21,no,yes,no,no,yes,2
BluePink,1/11/21,no,yes,no,yes,yes,3
GreenRed,1/11/21,yes,yes,no,yes,yes,4
OrangeBlue,1/12/21,yes,no,yes,no,yes,3
OrangeOrange,1/12/21,yes,no,yes,no,yes,3
PinkPink,1/14/21,yes,no,no,no,yes,2
GreenOrange,1/14/21,no,no,yes,yes,yes,3
GreenGreen,1/12/21,yes,no,yes,no,yes,3
RedRed,1/12/21,no,yes,yes,no,no,2
BlueBlue,1/13/21,yes,yes,yes,no,yes,4
GreenBlue,1/13/21,no,no,yes,no,yes,2
PinkBlue,1/14/21,yes,no,yes,no,yes,3
RedBlue,1/14/21,yes,no,yes,no,yes,3
Green,1/14/21,no,no,no,no,no,0
OrangeRed,1/12/21,no,yes,yes,yes,yes,4
Pink,1/12/21,no,yes,yes,no,yes,3
PinkRed,1/13/21,no,no,no,yes,yes,2
Red,1/13/21,no,no,no,yes,yes,2
RedOrange,1/14/21,no,yes,yes,no,yes,3
Blue,1/25/21,no,yes,no,yes,yes,3
Orange,1/25/21,no,no,no,yes,yes,2
OrangePink,1/26/21,no,no,no,yes,yes,2
PinkOrange,1/26/21,no,no,no,no,yes,1
RedGreen,1/27/21,no,no,no,yes,yes,2
RedGreenGreen,1/27/21,no,no,no,yes,yes,2
BluePink,1/25/21,yes,no,no,yes,yes,3
GreenRed,1/25/21,no,no,no,yes,yes,2
GreenGreen,1/26/21,yes,no,yes,no,yes,3
RedRed,1/26/21,yes,yes,yes,no,yes,4
Green,1/26/21,no,no,yes,no,yes,2
OrangeRed,1/26/21,no,no,no,yes,yes,2
Blue,1/15/21,no,no,yes,yes,yes,3
Orange,1/18/21,yes,no,no,yes,yes,3
OrangePink,1/20/21,no,no,yes,no,yes,2
PinkOrange,1/20/21,no,yes,no,no,yes,2
RedGreen,1/21/21,no,no,no,yes,yes,2
RedGreenGreen,1/21/21,no,no,no,yes,yes,2
RedRedRed,1/18/21,no,yes,no,no,yes,2
BluePink,1/15/21,no,yes,yes,yes,no,3
GreenRed,1/15/21,no,no,no,yes,yes,2
OrangeBlue,1/19/21,no,yes,yes,no,yes,3
OrangeOrange,1/21/21,yes,no,yes,no,yes,2
PinkPink,1/20/21,yes,no,no,no,yes,2
GreenOrange,1/20/21,no,no,yes,no,yes,2
GreenGreen,1/15/21,yes,no,yes,no,yes,3
RedRed,1/15/21,no,no,yes,no,yes,2
BlueBlue,1/19/21,no,no,yes,no,yes,2
GreenBlue,1/19/21,no,yes,yes,yes,yes,4
PinkBlue,1/21/21,no,no,yes,no,yes,2
RedBlue,1/21/21,no,no,yes,no,yes,2
Green,1/21/21,no,no,no,yes,yes,2
OrangeRed,1/18/21,yes,no,no,yes,yes,3
Pink,1/19/21,yes,no,no,yes,yes,3
PinkRed,1/19/21,no,no,no,no,yes,1
Red,1/21/21,no,no,no,yes,yes,2
RedOrange,1/21/21,yes,no,no,no,yes,2
