Fish_ID,Date,Time_Courting,Time_Gray
Blue,11/1/21,70.3,38.7
Blue,15/01/2021,36.8,51.6
Blue,25/01/2021,42.9,0
BlueBlue,13/01/2021,28.2,77
BlueBlue,19/01/2021,60.5,22
BlueBlue,28/01/2021,47.3,51.8
BluePink,15/01/2021,65.4,40.2
BluePink,25/01/2021,48.4,8.4
GreenBlue,13/01/2021,32.8,69.7
GreenBlue,19/01/2021,70.2,32.2
GreenBlue,28/01/2021,56.2,37.3
GreenGreen,12/1/21,60,30.9
GreenGreen,26/01/2021,47.3,0
GreenOrange,14/01/2021,120,0
GreenOrange,20/01/2021,39.3,29
GreenRed,11/1/21,60,0
GreenRed,15/01/2021,73.4,45.2
GreenRed,25/01/2021,0,80.1
Orange,11/1/21,37.5,3.5
Orange,18/01/2021,60,50.7
Orange,25/01/2021,70.2,19.7
OrangeBlue,12/1/21,26.3,79.4
OrangeBlue,19/01/2021,47.5,60
OrangeOrange,21/01/2021,68.2,38.2
OrangeOrange,27/01/2021,54.1,0
OrangePink,12/1/21,17.8,68.5
OrangePink,20/01/2021,61.8,54.1
OrangePink,26/01/2021,63.2,0
Pink,12/1/21,35.2,80.5
Pink,28/01/2021,51.4,63.8
PinkBlue,14/01/2021,60,55.3
PinkBlue,21/01/2021,89.4,23.5
PinkBlue,28/01/2021,84,9.6
PinkOrange,12/1/21,50,45
PinkOrange,20/01/2021,16,60
PinkOrange,26/01/2021,5.4,1.4
PinkPink,14/01/2021,98,16.9
PinkPink,20/01/2021,40.7,71
PinkPink,28/01/2021,55.6,54.4
PinkRed,13/01/2021,19.5,77.1
PinkRed,19/01/2021,25.6,5.3
PinkRed,28/01/2021,26.8,60
Red,13/01/2021,34.8,57.3
Red,29/01/2021,34.5,0
RedBlue,14/01/2021,72.2,13.5
RedBlue,21/01/2021,78.3,27.4
RedBlue,28/01/2021,99.1,6.9
RedGreen,15/01/2021,60,56.4
RedGreenGreen,14/01/2021,36.9,66.3
RedGreenGreen,21/01/2021,74.1,27.4
RedGreenGreen,27/01/2021,60,8.2
RedOrange,14/01/2021,13.2,93.4
RedOrange,21/01/2021,85.1,21.9
RedOrange,29/01/2021,45.6,10.3
RedRed,15/01/2021,100.3,6.9
RedRed,26/01/2021,17.5,0
RedRedRed,18/01/2021,100.3,3.5
RedRedRed,29/01/2021,78.1,0
