trial,p_higher,contrast
33.12286358,0.857589984,60
34.13232228,0.957746479,60
35.01559865,0.932707355,60
36.02505734,0.926447574,60
37.09760721,0.942097027,60
32.99668125,0.892018779,50
34.13232228,0.942097027,50
35.01559865,0.938967136,50
36.08814851,0.907668232,50
36.97142488,0.910798122,50
32.99668125,0.732394366,40
34.06923111,0.823161189,40
35.07868981,0.901408451,40
37.05975251,0.963380282,40
33.04715418,0.627230047,35
34.06923111,0.77370892,35
35.01559865,0.805633803,35
36.03767558,0.820657277,35
37.02189781,0.815023474,35
32.97144478,0.617840376,33
34.03137641,0.745539906,33
35.09130805,0.647887324,33
36.03767558,0.784976526,33
37.02189781,0.74741784,33
33.04715418,0.617840376,32
34.06923111,0.629107981,32
35.05345335,0.582159624,32
36.03767558,0.679812207,32
37.05975251,0.655399061,32
33.00929948,0.559624413,31
34.03137641,0.542723005,31
35.05345335,0.557746479,31
36.07553028,0.584037559,31
37.05975251,0.550234742,31
33.00929948,0.454460094,29
34.03137641,0.484507042,29
35.01559865,0.37370892,29
36.07553028,0.415023474,29
37.09760721,0.38685446,29
33.04715418,0.409389671,28
34.10708582,0.486384977,28
35.09130805,0.328638498,28
36.07553028,0.390610329,28
37.05975251,0.315492958,28
33.04715418,0.24600939,27
34.10708582,0.289201878,27
35.05345335,0.225352113,27
36.15123968,0.20657277,27
37.09760721,0.187793427,27
33.12286358,0.242253521,25
34.14494052,0.289201878,25
35.05345335,0.103286385,25
36.07553028,0.182159624,25
37.05975251,0.054460094,25
33.08500888,0.016901408,20
33.99352171,0.048826291,20
35.01559865,0.007511737,20
35.99982088,0.031924883,20
37.05975251,0.020657277,20
33.04715418,0,15
34.06923111,0.01314554,15
35.09130805,-0.001877934,15
35.99982088,-0.001877934,15
37.02189781,0,15
33.95566701,0.030046948,10
35.96196618,0.01314554,10
