Rat,result,prop_0.5,prop_0.3,prop_0.2,prop_0.125,prop_0.08,prop_0.065
1,HIT,79,81.4,75.8,55.7,30.2,4.1
1,FA,3.1,3.3,3.3,3.3,3.1,3.6
2,HIT,97.3,90.4,83.1,69.6,30.7,28.8
2,FA,17,18.4,18.4,18.4,17,19.6
3,HIT,93.7,88.2,89.8,74.5,49.4,35.5
3,FA,26.1,24.6,24.6,24.6,26.1,23.3
5,HIT,98.6,88.7,91.5,72.2,31.1,19.8
5,FA,12.7,11.8,11.8,11.8,12.7,10.9
6,HIT,88.1,90.5,83.5,75.6,46.4,31.1
6,FA,26.3,24.4,24.4,24.4,26.3,22.8
9,HIT,98.6,90.9,91.3,74.6,46.5,30.8
9,FA,17.1,15.5,15.5,15.5,17.1,14.1
11,HIT,98.5,93.9,92.7,86.5,37.9,31.4
11,FA,15.8,14.9,14.9,14.9,15.8,14.1
13,HIT,95,88.7,90.1,75.1,39.7,29.6
13,FA,12.5,13,13,13,12.5,13.5
14,HIT,97.3,96,90.9,82.6,49.4,28.7
14,FA,11.2,12.5,12.5,12.5,11.2,13.8
15,HIT,92.9,88.2,88.3,66.5,35.7,26
15,FA,19.8,17.7,17.7,17.7,19.8,15.9
16,HIT,96.4,95.1,95.2,79.3,38.8,36.9
16,FA,12.4,12.1,12.1,12.1,12.4,12
