comparison,correct_choices,standard
1.28795027,56.51515152,1.12
1.570671061,89.84848485,1.12
1.790565009,94.39393939,1.12
1.931925405,100.3030303,1.12
2.230352906,100.3030303,1.12
2.497366986,100.3030303,1.12
2.874328041,100.3030303,1.12
3.188462253,100.3030303,1.12
3.534009886,100.3030303,1.12
5.057560815,100.3030303,1.12
6.172737268,100.3030303,1.12
7.130846615,100.4545455,1.12
7.931888856,100.3030303,1.12
8.748637808,100.4545455,1.12
1.190074592,99.9696868,2.52
1.596087432,99.95945609,2.52
1.787515292,81.05614438,2.52
1.922008466,77.12186989,2.52
2.232404811,52.0168563,2.52
2.879375115,53.66362091,2.52
3.185192002,77.24122812,2.52
3.534140242,91.5952863,2.52
5.009635267,100.0246295,2.52
2.551304348,99.84913793,8.74
3.568695652,99.84913793,8.74
5.055652174,99.84913793,8.74
6.213913043,83.40517241,8.74
7.153043478,76.76724138,8.74
7.544347826,62.5862069,8.74
