Experiment,FemaleID,Year,HostNest,EggColour,ExpNest,Egg_rejected,Rejection_Error,ExpEggReceived,HostEggRemoved,EggStage,DateManipulation,TimeManipulation,DayOfRemoval,ClutchSize,Exp_Year_Nest_Egg_NestIn,Host_Year_Nest_NestIn,Host_Year_Nest_NestIn_Remain,Exp_COMPLEXITY_a,Exp_COMPLEXITY_b,Exp_COMPLEXITY_c,Exp_COMPLEXITY_d,Exp_COMPLEXITY_ac,Exp_COMPLEXITY_bd,HostAv_COMPLEXITY_all_a,HostAv_COMPLEXITY_all_b,HostAv_COMPLEXITY_all_c,HostAv_COMPLEXITY_all_d,HostAv_COMPLEXITY_all_ac,HostAv_COMPLEXITY_all_bd,HostAv_COMPLEXITY_reduced_a,HostAv_COMPLEXITY_reduced_b,HostAv_COMPLEXITY_reduced_c,HostAv_COMPLEXITY_reduced_d,HostAv_COMPLEXITY_reduced_ac,HostAv_COMPLEXITY_reduced_bd
3,1,2019,PS014,Blue,PS012,1,NO,P3,P3,3,09/02/2019,16:15,3,3,2019_PS012_P3_PS014,2019_PS014_PS014,2019_PS014_PS014_TRUE,4113.805994,3854.52375,3704.826022,3238.530244,3909.316008,3546.526997,3310.420582,3482.190727,3187.81823,2659.958988,3249.119406,3071.074857,2975.6347,3142.420663,3023.265624,2223.366805,2999.450162,2682.893734
3,2,2019,PS016,Blue,PS003,0,NO,P3,P3,0,11/02/2019,14:45,NA,3,2019_PS003_P3_PS016,2019_PS016_PS016,2019_PS016_PS016_TRUE,2150.504263,2901.948915,2901.629846,2702.188475,2526.067055,2802.068695,2838.532183,4415.057349,3964.927937,4041.816428,3401.73006,4228.436889,2658.20563,3947.565266,4026.389641,3869.36658,3342.297635,3908.465923
3,3,2019,PS020,White,PS018,0,NO,P1,P3,0,14/02/2019,11:00,NA,3,2019_PS018_P1_PS020,2019_PS020_PS020,2019_PS020_PS020_TRUE,2300.675901,2430.771997,2273.89458,2846.949754,2287.285241,2638.860876,4297.927495,4013.990984,3952.528052,3857.244183,4125.227774,3935.617584,4588.894985,4138.382899,3980.285455,4164.372883,4284.59022,4151.377891
3,4,2019,PS026,White,PS020,0,NO,P3,P4,0,14/02/2019,16:20,NA,4,2019_PS020_P3_PS026,2019_PS026_PS026,2019_PS026_PS026_TRUE,3132.260969,2838.259928,3663.095514,3446.062261,3397.678242,3142.161095,3212.515265,2555.646603,3107.414462,3395.417186,3159.964864,2975.531894,3100.161002,2414.900314,2989.429842,3233.665035,3044.795422,2824.282675
3,6,2019,PS028,White,PS026,1,NO,P4,P3,0,15/02/2019,08:45,3,3,2019_PS026_P4_PS028,2019_PS028_PS028,2019_PS028_PS028_TRUE,3736.791011,3963.985337,3023.10451,3451.758516,3379.947761,3707.871927,2212.526744,1994.305579,1932.893075,2313.389377,2072.70991,2153.847478,2387.705293,2163.937224,2091.582681,2314.345314,2239.643987,2239.141269
3,8,2019,PS023,Olive,PS027,0,NO,P3,P3,0,15/02/2019,16:45,NA,3,2019_PS027_P3_PS023,2019_PS023_PS023,2019_PS023_PS023_TRUE,1908.183339,1566.92644,1612.580333,1271.033098,1760.381836,1418.979769,1994.164458,1485.935665,1681.597345,1701.75813,1837.880902,1593.846897,2090.040637,1451.235803,1728.809398,1829.349518,1909.425017,1640.29266
3,9,2019,PS022,Olive,PS023,0,NO,P3,P4,0,17/02/2019,09:00,NA,4,2019_PS023_P3_PS022,2019_PS022_PS022,2019_PS022_PS022_TRUE,1616.838386,1860.607553,3345.596178,1642.145835,2481.217282,1751.376694,2052.444077,1866.379541,2339.704587,1609.231444,2196.074332,1737.805493,2118.927069,1896.293823,2529.168483,1762.53349,2324.047776,1829.413656
3,10,2019,PS041,RED/BROWN/OLIVE! EXPERIMENTAL EGG RED,PS006,0,NO,P1,P3,0,18/02/2019,11:00,NA,3,2019_PS006_P1_PS041,2019_PS041_PS041,2019_PS041_PS041_TRUE,1443.912947,1166.14601,1173.571655,1293.783343,1308.742301,1229.964677,1458.500253,1425.127085,1182.259098,1238.475694,1320.379676,1331.80139,1468.887917,1232.612134,1369.388345,1379.846812,1419.138131,1306.229473
3,13,2019,PS047,White,PS038,0,NO,P1,P4,0,20/02/2019,10:30,NA,4,2019_PS038_P1_PS047,2019_PS047_PS047,2019_PS047_PS047_TRUE,2833.236398,3356.2105,3557.144247,2211.074715,3195.190323,2783.642608,3435.47501,2897.501368,3903.376238,2485.061025,3669.425624,2691.281196,3386.095806,2811.140456,3803.076019,2424.900173,3594.585912,2618.020314
3,14,2019,PS049,White,PS028,1,NO,P3,P4,0,21/02/2019,09:30,2,4,2019_PS028_P3_PS049,2019_PS049_PS049,2019_PS049_PS049_TRUE,2305.721838,1834.619651,1649.52376,1858.956689,1977.622799,1846.78817,3322.982897,3353.155633,3120.136062,3167.121361,3221.55948,3260.138497,2907.986569,3029.263431,2916.199518,3020.21766,2912.093044,3024.740546
