Experiment.x,FemaleID.x,Year.x,HostNest.x,EggColour.x,ExpNest.x,Egg_rejected.x,Rejection_Error.x,ExpEggReceived.x,HostEggRemoved.x,EggStage.x,DateManipulation.x,TimeManipulation.x,DayOfRemoval.x,ClutchSize.x,Year_Nest,reduced_OldEmax,reduced_Eprop,reduced_PD,reduced_Emax,reduced_ExpHost,reduced_Complexity
3,1,2019,PS014,Blue,PS012,1,NO,P3,P3,3,09/02/2019,16:15,3,3,2019_PS014,0.375,0.017311206,0.078953627,1,0.91757875,909.865846
3,2,2019,PS016,Blue,PS003,0,NO,P3,P3,0,11/02/2019,14:45,NA,3,2019_PS016,0.125,0.008136365,0.108382877,0.25,0.923815,816.23058
3,3,2019,PS020,White,PS018,0,NO,P1,P3,0,14/02/2019,11:00,NA,3,2019_PS020,0.625,0.000292806,0.075445898,0.75,0.94410875,1997.304979
3,4,2019,PS026,White,PS020,0,NO,P3,P4,0,14/02/2019,16:20,NA,4,2019_PS026,0.416666667,0.000161379,0.094768133,0.833333333,0.90972,352.88282
3,6,2019,PS028,White,PS026,1,NO,P4,P3,0,15/02/2019,08:45,3,3,2019_PS028,0.125,0.034607722,0.021510106,1.5,0.95795,1140.303774
3,8,2019,PS023,Olive,PS027,0,NO,P3,P3,0,15/02/2019,16:45,NA,3,2019_PS023,0.375,0.022442079,0.143626635,0.25,0.9257975,149.043181
3,9,2019,PS022,Olive,PS023,0,NO,P3,P4,0,17/02/2019,09:00,NA,4,2019_PS022,0,0.03386076,0.05973048,1.166666667,0.910989167,157.169506
3,10,2019,PS041,RED/BROWN/OLIVE! EXPERIMENTAL EGG RED,PS006,0,NO,P1,P3,0,18/02/2019,11:00,NA,3,2019_PS041,0.5,0.036774799,0.010178359,0,0.8945125,110.39583
3,13,2019,PS047,White,PS038,0,NO,P1,P4,0,20/02/2019,10:30,NA,4,2019_PS047,0.166666667,0.016716513,0.033174792,0.666666667,0.9073025,399.395589
3,14,2019,PS049,White,PS028,1,NO,P3,P4,0,21/02/2019,09:30,2,4,2019_PS049,0.166666667,0.021658677,0.051549742,0.833333333,0.942285,934.470245
