Year_Nest_Egg_NestIn,Year,Nest,Egg,NestIn,COMPLEXITY_a,COMPLEXITY_b,COMPLEXITY_c,COMPLEXITY_d,COMPLEXITY_ac,COMPLEXITY_bd,Species
2018_PS077_P1_PS077,2018,PS077,P1,PS077,1861.429057,1268.183351,1837.482323,1813.666245,1849.45569,1540.924798,P
2018_PS077_P2_PS077,2018,PS077,P2,PS077,1580.158492,1451.635289,1613.380116,1441.244791,1596.769304,1446.44004,P
2018_PS077_P3_PS077,2018,PS077,P3,PS077,1402.222478,1767.600702,1786.13507,1653.532375,1594.178774,1710.566539,P
2018_PS077_P4_PS077,2018,PS077,P4,PS077,1655.761272,1741.926328,1783.996214,1677.7276,1719.878743,1709.826964,P
2018_PS071_P1_PS077,2018,PS071,P1,PS077,1952.421706,2137.924556,2544.102224,2206.804813,2248.261965,2172.364685,P
2018_PS079_P1_PS079,2018,PS079,P1,PS079,1873.402111,1688.086839,1827.091444,1624.514786,1850.246778,1656.300813,P
2018_PS079_P2_PS079,2018,PS079,P2,PS079,2124.72452,1509.080127,2267.042656,1671.977081,2195.883588,1590.528604,P
2018_PS079_P3_PS079,2018,PS079,P3,PS079,1864.517901,1120.094042,1860.925707,1656.461532,1862.721804,1388.277787,P
2018_PS070_P1_PS079,2018,PS070,P1,PS079,1790.651517,1788.2653,1670.803678,1608.569061,1730.727598,1698.417181,P
2018_PS081_P1_PS081,2018,PS081,P1,PS081,1965.649227,2424.987021,1973.008521,1850.689409,1969.328874,2137.838215,P
2018_PS081_P2_PS081,2018,PS081,P2,PS081,2149.83011,2269.798167,2194.130142,2350.163041,2171.980126,2309.980604,P
2018_PS081_P3_PS081,2018,PS081,P3,PS081,2169.537744,2176.169938,2357.981785,2488.58623,2263.759765,2332.378084,P
2018_PS073_P1_PS081,2018,PS073,P1,PS081,1080.006074,1139.211925,1774.435448,1367.134109,1427.220761,1253.173017,P
2018_PS085_P1_PS085,2018,PS085,P1,PS085,1340.677841,1246.053508,1413.187903,1332.673633,1376.932872,1289.363571,P
2018_PS085_P2_PS085,2018,PS085,P2,PS085,1866.780104,1759.601859,1612.135227,1552.967794,1739.457666,1656.284827,P
2018_PS085_P3_PS085,2018,PS085,P3,PS085,1615.463016,1300.860393,1768.27197,1783.904367,1691.867493,1542.38238,P
2018_PS085_P4_PS085,2018,PS085,P4,PS085,1599.278006,1386.03442,1432.261809,1544.768599,1515.769908,1465.40151,P
2018_PS077_P4_PS085,2018,PS077,P4,PS085,1579.734887,1511.902562,1602.280896,2064.127402,1591.007892,1788.014982,P
