Species,HostClutchID,ExpClutchID,Date,Time,ClutchSize,StillLaying,EmbryoScore,Result,MaxTime,Host_UV,Host_SW,Host_MW,Host_LW,Host_D,Exp_UV,Exp_SW,Exp_MW,Exp_LW,Exp_D,JND_Colour,JND_Luminance,Host_MeanLength,Host_MeanBreadth,Exp_Length,Exp_Breadth,Host_Dispersion,Host_StdDispersion,Host_PropPower,Host_FilterSize,Host_PatternProp,Host_PCPower,Exp_Dispersion,Exp_StdDispersion,Exp_PropPower,Exp_FilterSize,Exp_PatternProp,Exp_PCPower,ReplacedEgg,IntraClutch,InterClutch,ExpHost,ExpHost_all,DiffNum,DiffNum_all,ParaDist,Exp_FS,Exp_FSD,Host1_FS,Host1_FSD,Host2_FS,Host2_FSD,Host3_FS,Host3_FSD,Host_FS,Host_FSD,ExpComplexity,Complexity_egg1,Complexity_egg2,Complexity_egg3,AvHostComplexity
Prinia subflava,2007_PS033,2007_PS020 ,04/02/2007,15,3,No,2,0,3,0.6764,0.83188,0.88446,0.86978,0.87652,0.74616,0.72874,0.74926,0.74128,0.74512,2.9229,3.2483,14.47,10.88,14.51,10.52,0.09055,0.4223709,0.4013,2.83333333,0.049033335,3.06937138,0.0648,0.12837615,0.39856667,2.33333333,0.50476667,1.59833246,3,0.956993333,0.950015718,0.941505,0.94669,-107.5,56.66666667,0.95438,8.634849404,6.184056209,9.459166492,5.318807084,9.366531656,6.552230994,,,9.412849074,5.935519039,2871.139801,1465.705895,1725.163153,,1595.434524
Prinia subflava,2007_PS034,2007_PS031 ,04/02/2007,16,2,No,3,0,3,0.42438,0.5961,0.65154,0.64732,0.64718,0.24858,0.42788,0.46924,0.44274,0.45756,2.2756,6.9343,15.66,11.39,16.82,11.52,0.1593,0.31449066,0.44126667,2,0.50653333,0.51602479,0.5492,0.94483312,0.3636,2.66666667,0.58126667,-0.6989807,1,0.92,0.944889394,0.9,0.908335,26,7.5,0.9136,8.706174029,6.394607396,9.154944053,5.611936116,,,,,9.154944053,5.611936116,3316.087084,2952.001644,,,2952.001644
Prinia subflava,2007_PS038,2007_PS023 ,09/02/2007,16,3,No,1,1,1,0.38572,0.48788,0.55352,0.59756,0.56546,0.73692,0.85238,0.90712,0.93454,0.91426,2.2637,9.6095,16.31,11.31,15.36,11.29,0.34205,0.587470115,0.30218333,2.66666667,0.579083335,-0.7987058,-0.107,-0.7817828,0.46963333,2,0.13686667,0.05668311,3,0.915796667,0.939392634,0.936405,0.93552,80,111,0.950313333,7.710332299,6.549691713,7.522722961,5.964376669,6.887940852,6.405509676,,,7.205331907,6.184943173,2671.432516,3069.077317,3028.278198,,3048.677758
Prinia subflava,2007_PS046,2007_PS028 ,09/02/2007,17,4,No,2,1,1,0.19418,0.24098,0.35502,0.47682,0.39328,0.18124,0.32578,0.48084,0.52846,0.49058,4.6481,4.4213,14.51,11.41,14.97,10.63,0.1604,1.762783967,0.371333333,2.66666667,0.07698889,-1.3031088,0.2038,2.05374538,0.39183333,3.33333333,0.09923333,-1.0882448,4,0.901858333,0.9839272,0.955223333,0.94776,-48,-43.75,0.98,8.879298394,4.554820028,8.039388267,2.287666554,11.29975491,9.570940922,11.41987719,9.651856722,10.25300679,7.170154733,1948.803099,2253.041696,1475.423312,2413.434527,2047.299845
Prinia subflava,2007_PS047,2007_PS011 ,09/02/2007,17,3,No,0,0,3,0.61146,0.6506,0.6762,0.67348,0.6731,0.34326,0.61468,0.64742,0.5572,0.6139,5.8799,1.8412,14.25,11.5,15.32,11.18,0.17005,0.628879155,0.3928,2,0.2593,-0.6633716,0.0894,0.41427247,0.42993333,2,0.2158,-0.6795235,2,0.88136,0.956049243,0.893385,0.893385,-21.5,-21.5,0.90647,9.959327677,6.08744219,10.8180143,7.239956454,11.60392019,8.601940464,,,11.21096725,7.920948459,2417.599694,1814.536519,1762.031011,,1788.283765
Prinia subflava,2007_PS051,2007_PS032 ,08/02/2007,14,2,No,4,1,2,0.2836,0.32604,0.46844,0.61534,0.51458,0.6895,0.87456,0.92176,0.90062,0.91182,8.3049,11.4418,15.86,12.01,15.8,11.58,0.0258,0.09583952,0.4287,2,0.2692,-0.4613185,0.2776,1.17494357,0.38033333,2.66666667,0.23626667,-0.1158503,2,0.87662,0.947846155,0.90698,0.913955,-64,-63,0.926035,9.678720324,7.261843397,10.11641046,6.559918592,,,,,10.11641046,6.559918592,2750.876561,2306.239387,,,2306.239387
Prinia subflava,2007_PS055,2007_PS051 ,09/02/2007,18,3,No,1,0,3,0.63902,0.60968,0.67656,0.74658,0.69802,0.2836,0.32604,0.46844,0.61534,0.51458,7.516,6.0979,15.05,10.48,16.01,11.79,0.18675,0.48209819,0.429466665,2.333333335,0.417733335,0.366470885,-0.235,-0.8163502,0.3508,2.66666667,0.28786667,-0.6002167,3,0.89404,0.947538443,0.88474,0.895976667,31.5,47.66666667,0.939066667,9.603810695,5.720559298,10.00684729,5.662160885,9.6068111,6.179298257,,,9.806829195,5.920729571,2820.854591,2356.214787,2371.712209,,2363.963498
Prinia subflava,2007_PS058,2007_PS019 ,11/02/2007,18,3,No,NaN,0,3,0.25192,0.36244,0.48614,0.55446,0.50444,0.23982,0.33178,0.41658,0.43352,0.41888,2.4969,3.7173,16.13,11.73,16.51,11.8,0.59185,1.41436121,0.341733335,2.333333335,0.42125,-0.9201305,0.586,2.66041162,0.38536667,2,0.22026667,-1.2100841,3,0.964243333,0.97221907,0.91823,0.93233,-7.5,-23.66666667,0.96185,9.976125657,6.603514899,10.17310349,7.958846301,11.37675418,8.366362672,,,10.77492884,8.162604487,2262.143873,2216.637131,1657.282899,,1936.960015
Prinia subflava,2007_PS063,2007_PS023 ,10/02/2007,17,3,Yes,0,1,2,0.56132,0.70926,0.7395,0.68142,0.7171,0.79488,0.82644,0.85982,0.87598,0.86426,2.4103,3.7332,16.9,11.04,16,11.51,0.1113,0.64310478,0.41753333,3.33333333,0.17306667,1.01812733,-0.0956,-0.2354873,0.4322,1.33333333,0.40596667,5.48292218,1,0.91558,0.942440562,0.91883,0.914515,90,58.5,0.908395,11.26268187,9.274687884,8.115996013,4.815922929,,,,,8.115996013,4.815922929,2844.111277,2811.754482,2807.131979,,2809.443231
Prinia subflava,2007_PS064,2007_PS044 ,10/02/2007,17,2,No,3,1,3,0.19352,0.36822,0.46504,0.45604,0.45656,0.26196,0.56966,0.58342,0.4621,0.53922,5.6057,3.3281,16.3,11.11,14.78,11.8,-0.557,-1.7615433,0.37853333,2.66666667,0.3162,0.24735787,0.4725,2.92630058,0.31416667,2.66666667,0.16146667,-0.7968544,2,0.95671,0.947410747,0.97835,0.945965,204,129,0.93337,7.50073568,3.995691563,8.010136092,5.519615168,,,,,8.010136092,5.519615168,1076.983408,2877.57282,,,2877.57282
