"date","ref_roughness","delta_roughness","IR_ID_1","IR_ID_2","ref_target","choice_target","time_delay","bat_no"
7.32070602403137,1.8,1,340,596,1,1,3.859,1
7.32070602652523,1.8,0.7,326,511,1,1,2.875,1
7.32070603015474,1.8,1.3,329,672,2,2,3.437,1
7.32070603191076,1.8,0.5,336,467,1,2,5.016,1
7.32070603327616,1.8,1.4,334,684,1,1,2.719,1
7.32070603561632,1.8,0.2,348,393,2,2,2.36,1
7.32070603747361,1.8,1.2,350,628,1,1,4.25,1
7.32070603934352,1.8,0.3,331,407,2,2,2.969,1
7.32070604166736,1.8,0.8,342,535,2,2,2.797,1
7.32070604340532,1.8,1.5,338,716,2,1,4.672,1
7.32070604577442,1.8,1.1,347,619,1,1,7.437,1
7.3207060517441,1.8,0.4,344,427,2,2,2.843,1
7.32070605418912,1.8,0.9,340,572,2,2,3.625,1
7.32070605564132,1.8,0.1,331,362,1,1,3.343,1
7.32070605722546,1.8,0.6,350,486,2,1,5.062,1
7.32070605890729,1.8,1,349,596,2,2,2.938,1
7.32070606245012,1.8,0.3,347,416,1,2,12.61,1
7.3207060637757,1.8,1.4,343,680,1,1,2.907,1
7.32070606552986,1.8,0.7,343,503,2,1,3.593,1
7.32070606754444,1.8,1.5,328,706,1,1,7.10899999999999,1
7.3207060694235,1.8,0.5,347,469,2,2,4.328,1
7.32070607410914,1.8,1.2,347,630,1,1,26.985,1
7.32070607647824,1.8,0.1,335,357,2,2,7.5,1
7.32070607825417,1.8,0.9,341,567,1,1,3.906,1
7.32070608041516,1.8,0.2,341,381,2,2,5.063,1
7.3207060826794,1.8,1.3,326,654,1,1,9.485,1
7.32070608703958,1.8,0.6,328,487,2,1,18.938,1
7.32070609152095,1.8,1.1,337,605,1,1,29.078,1
7.32070609526435,1.8,0.4,343,433,2,2,16.719,1
7.32070610367905,1.8,0.8,331,541,1,1,58.016,1
7.32070611454248,1.8,1.2,350,648,2,2,51.203,1
7.32071514169734,1.8,1,350,590,2,2,3.031,1
7.3207151436559,1.8,0.6,339,491,2,1,2.297,1
7.32071514541377,1.8,1.3,326,659,1,1,6.078,1
7.32071514710463,1.8,0.4,349,447,1,2,3.063,1
7.32071515005787,1.8,0.1,339,373,2,2,2.859,1
7.32071515343241,1.8,0.8,346,548,1,1,3.704,1
7.32071515560613,1.8,0.3,346,407,1,2,5.718,1
7.32071515708542,1.8,1.1,350,612,2,2,2.812,1
7.32071516002234,1.8,0.5,331,469,2,2,3.141,1
7.32071516518009,1.8,0.9,334,554,1,2,1.172,1
7.32071516745868,1.8,0.2,350,381,2,2,1.859,1
7.32071517034861,1.8,1.5,343,723,2,2,3.266,1
7.32071517253866,1.8,0.7,340,502,1,1,5.562,1
7.32071517692951,1.8,1.4,327,694,1,1,3.687,1
7.32071518463171,1.8,0.9,339,556,2,2,3.782,1
7.32071518846748,1.8,0.6,329,485,1,1,3.172,1
7.32071519060324,1.8,1.3,327,674,1,1,6.094,1
7.32071519357812,1.8,0.4,350,436,2,1,3.203,1
7.32071519545347,1.8,1.1,336,619,1,1,3.703,1
7.3207151974537,1.8,0.2,329,391,2,2,3.781,1
7.32071520191505,1.8,1.5,337,720,1,1,3.265,1
7.32071520502025,1.8,0.7,333,501,1,1,6.64,1
7.32071520763704,1.8,0.3,342,405,1,2,6.563,1
7.3207152091941,1.8,0.1,339,363,2,2,3.266,1
7.32071521505532,1.8,1.2,343,638,1,1,8.89,1
7.32071522028715,1.8,0.5,328,461,2,2,5.016,1
7.3207152246419,1.8,1.4,348,685,2,2,3.813,1
7.32071522709051,1.8,0.8,326,535,2,1,9.047,1
7.32071524860926,1.8,1,348,577,1,1,155.75,1
7.32071525413044,1.8,0.8,335,550,2,2,6.719,1
7.32071525732593,1.8,1.3,341,662,1,1,19.187,1
7.32071526743518,1.8,1,340,580,2,2,32,1
7.32071527265081,1.8,0.6,342,479,2,1,29.203,1
7.32071527848669,1.8,0.3,333,401,2,1,29.813,1
7.32073501583472,1.8,1.1,329,615,2,2,2.61,1
7.32073501858171,1.8,0.7,338,525,2,2,2.719,1
7.32073502025822,1.8,1.2,344,642,2,2,2.407,1
7.32073502252778,1.8,0.4,350,443,1,1,1.891,1
7.3207350261537,1.8,0.9,341,569,1,1,4.71899999999999,1
7.3207350285228,1.8,1.4,328,695,2,2,2.625,1
7.32073503211262,1.8,0.2,332,394,2,1,5.828,1
7.32073503457211,1.8,1.5,327,715,1,1,7.766,1
7.32073503819977,1.8,0.1,341,362,1,2,3.234,1
7.32073503977674,1.8,0.5,337,472,1,1,1.703,1
7.32073504186377,1.8,1.3,340,651,2,2,3.5,1
7.32073504350035,1.8,0.8,333,531,1,2,2.813,1
7.32073504623113,1.8,0.5,339,468,2,2,9.203,1
7.32073504911377,1.8,0.2,334,400,2,2,4.016,1
7.32073505117361,1.8,1.1,330,601,1,1,4.172,1
7.32073505367106,1.8,1.4,347,695,1,1,6.25,1
7.3207350588794,1.8,0.9,326,555,1,1,19.734,1
7.32073506190139,1.8,0.4,339,439,2,2,4.515,1
7.32073506844792,1.8,1,332,580,1,1,7.891,1
7.32073507395833,1.8,0.3,336,416,2,2,3.687,1
7.32073507573056,1.8,0.7,330,517,1,1,3,1
7.32073507770359,1.8,1.2,339,639,1,1,5.031,1
7.32073507974537,1.8,0.1,349,369,2,2,5.125,1
7.32073508561551,1.8,0.6,341,495,1,1,3.781,1
7.3207350900897,1.8,1.5,338,716,2,2,14.593,1
7.32073509565602,1.8,0.8,342,550,2,2,12.922,1
7.32073509952975,1.8,1.3,349,651,1,1,3.968,1
7.32073510361863,1.8,0.4,346,434,2,2,9.297,1
7.32073510722836,1.8,1.1,332,612,1,1,3,1
7.32073510970949,1.8,0.2,337,387,2,1,3.781,1
7.32073511489977,1.8,0.6,344,494,1,1,24.375,1
7.32073512009722,1.8,1,347,585,2,2,3.157,1
7.32073512785729,1.8,0.3,343,417,1,1,7.875,1
7.32073513363171,1.8,1.5,350,707,2,2,14.968,1
7.32073514098125,1.8,0.1,344,372,1,2,19.141,1
7.32073514275891,1.8,0.7,342,508,2,1,4.687,1
7.32073515023148,1.8,1.4,348,682,1,1,48.282,1
7.32073515328588,1.8,0.5,327,473,2,2,11.297,1
7.32077607687986,1.8,0.9,341,562,2,1,56.609,1
7.32077607871725,1.8,1.2,330,646,1,1,3.422,1
7.32077608178079,1.8,0.7,330,525,1,1,2.718,1
7.32077608414259,1.8,1.2,330,650,2,1,2.219,1
7.32077608659479,1.8,0.4,338,431,2,2,3.578,1
7.32077608918993,1.8,1.4,340,687,1,1,3.703,1
7.32077609064213,1.8,1,338,591,2,2,3.203,1
7.32077609348866,1.8,0.2,344,378,1,2,3.531,1
7.32077609545984,1.8,1.1,327,608,1,2,3.40600000000001,1
7.32077609729178,1.8,0.6,345,483,2,1,2.75,1
7.32077609922685,1.8,0.9,342,562,1,1,5.532,1
7.32077610119988,1.8,0.3,335,423,1,2,4.078,1
7.32077610265926,1.8,0.8,341,532,2,2,3.906,1
7.32077610552743,1.8,1.3,343,658,2,2,4.453,1
7.32077610798519,1.8,0.1,341,360,1,1,2.234,1
7.32077610992928,1.8,1.5,348,712,2,2,2.85899999999999,1
7.32077611298368,1.8,0.5,336,454,2,1,3.093,1
7.32077611510324,1.8,1.2,349,628,2,2,3.938,1
7.32077611823727,1.8,0.8,343,545,1,1,4.735,1
7.32077612133148,1.8,0.4,333,438,1,1,3.797,1
7.32077612334074,1.8,0.1,331,365,2,2,3.328,1
7.32077612701007,1.8,1,342,582,1,1,11.485,1
7.32077613268137,1.8,0.6,350,481,1,2,4.375,1
7.32077613435961,1.8,1.4,331,687,2,2,4.782,1
7.32077613693484,1.8,0.2,330,398,2,1,3.531,1
7.32077613916458,1.8,1.5,349,705,2,2,7.172,1
7.32077614307269,1.8,0.3,348,403,1,1,5.641,1
7.32077614680174,1.8,1.1,341,615,2,2,5.172,1
7.3207761509919,1.8,0.5,341,474,1,1,9.969,1
7.32077615458345,1.8,1.3,331,662,1,1,5.422,1
7.32077615883692,1.8,0.7,345,521,1,1,9.172,1
7.32077616304699,1.8,0.9,334,564,2,2,5.406,1
7.32077616552998,1.8,1.2,343,636,1,1,3.10899999999999,1
7.3207761695647,1.8,0.6,350,477,2,2,3.515,1
