trained_stimulus,test_stimulus,percent_correct,N_lb
40,5.062243227,83.5959596,15
40,10.01736015,84.72727273,15
40,12.52068081,79.77777778,15
40,14.96333364,75.39393939,15
40,17.47295586,77.65656566,15
40,20.03904488,74.54545455,15
40,22.5379174,64.50505051,15
40,25.03938467,57.43434343,15
30,5.126494301,87.13131313,41
30,10.01550675,82.60606061,41
30,12.52018658,79.21212121,41
30,15.02103605,71.43434343,41
30,17.58403608,64.78787879,41
30,20.02298211,56.16161616,41
25,5.005405739,88.54545455,25
25,9.957680783,86.42424242,25
25,12.52117505,80.34343434,25
25,14.95777345,69.03030303,25
25,17.51496618,55.73737374,25
