trained_stimulus,test_stimulus,percent_correct,N_lb
5,6.928214238,56.32240297,45
5,7.53993052,58.44966056,45
5,9.925624021,77.31134452,45
5,12.43366078,86.52946074,45
5,14.94169753,86.67127791,45
5,17.44973429,92.20214765,45
5,24.97384456,89.64943854,45
5,29.98991808,92.20214765,45
5,34.94481996,88.65671833,45
5,39.89972185,89.93307288,45
7,8.946877969,59.58419794,45
7,9.925624021,61.56963836,45
7,12.43366078,76.17680714,45
7,14.45232451,83.26766577,45
7,16.96036127,89.36580419,45
7,19.95777105,91.06761026,45
7,24.91267293,91.35124461,45
7,29.86757482,89.93307288,45
7,39.96089348,91.35124461,45
10,12.49483241,58.44966056,45
10,14.94169753,73.62409803,45
10,17.44973429,81.70767687,45
10,19.83542779,85.96219205,45
10,29.92874645,89.08216985,45
10,34.88364833,88.7985355,45
10,39.89972185,87.80581529,45
12.5,17.38856266,59.01692925,15
12.5,19.89659942,63.27144443,15
12.5,22.40463618,72.91501217,15
12.5,24.91267293,81.5658597,15
12.5,29.92874645,86.2458264,15
12.5,34.88364833,74.75863541,15
12.5,39.89972185,82.41676273,15
17.5,22.46580781,60.8605525,17
17.5,24.91267293,77.31134452,17
17.5,29.92874645,79.86405363,17
17.5,34.88364833,85.96219205,17
17.5,39.89972185,87.80581529,17
