group,u,s,m,l
real,0.038257512,0.289419892,0.340097911,0.332224685
real,0.034517551,0.221624748,0.344687141,0.39917056
real,0.037812739,0.213121732,0.337114388,0.411951142
real,0.047324021,0.255868413,0.334116065,0.362691502
real,0.035929887,0.223856377,0.338723054,0.401490682
real,0.040371097,0.260812133,0.341977034,0.356839736
real,0.053778355,0.270261424,0.329275847,0.346684374
real,0.046892322,0.277469201,0.33417741,0.341461066
real,0.051287442,0.266633479,0.331764221,0.350314858
real,0.04773198,0.263587679,0.334610754,0.354069587
real,0.037575172,0.211647417,0.337098125,0.413679285
real,0.056738988,0.270666521,0.328255185,0.344339306
real,0.056089833,0.27025491,0.3297909,0.343864357
real,0.046802525,0.267246169,0.337598249,0.348353056
real,0.05509596,0.254698583,0.324242474,0.365962984
real,0.053213259,0.255223794,0.328290078,0.363272869
real,0.049696463,0.240354726,0.334195123,0.375753687
real,0.049355037,0.266754544,0.333894771,0.349995647
real,0.048956384,0.267820148,0.33336086,0.349862609
real,0.042643511,0.267106795,0.336597184,0.353652509
real,0.043919406,0.23983597,0.332814985,0.383429639
real,0.051019876,0.265710453,0.33346601,0.349803661
real,0.034362385,0.210612822,0.318488683,0.43653611
real,0.041443369,0.232017336,0.333401371,0.393137924
real,0.039020145,0.218523001,0.33056158,0.411895274
real,0.045885164,0.251028918,0.332572697,0.370513221
real,0.052585588,0.27077167,0.330755028,0.345887714
real,0.045493057,0.253849309,0.337582981,0.363074652
real,0.030876177,0.236394709,0.341818029,0.390911085
real,0.02882485,0.245051241,0.344925005,0.381198904
real,0.02701991,0.23603666,0.345914075,0.391029355
real,0.014653365,0.195017454,0.35222134,0.438107842
real,0.05043924,0.275858935,0.332362755,0.34133907
real,0.030760378,0.242214863,0.342940204,0.384084555
real,0.052343103,0.270521922,0.33177473,0.345360245
real,0.034642143,0.19640244,0.328128854,0.440826563
real,0.050598686,0.252627628,0.333183573,0.363590113
real,0.052809999,0.241583973,0.325317006,0.380289022
real,0.048900363,0.235760927,0.332697298,0.382641412
real,0.042085862,0.223490203,0.332974775,0.40144916
real,0.047918589,0.269598611,0.336828485,0.345654314
real,0.038753714,0.267404876,0.337542819,0.356298591
real,0.035412488,0.302611701,0.341309996,0.320665815
real,0.044950631,0.272157905,0.337391089,0.345500374
real,0.045777573,0.275265781,0.33749208,0.341464566
real,0.046568231,0.275928127,0.335925767,0.341577875
real,0.040189522,0.266827458,0.339324045,0.353658975
real,0.051165235,0.26481339,0.332782146,0.351239229
real,0.049833717,0.26162407,0.333198245,0.355343968
real,0.039352636,0.253346338,0.341186468,0.366114557
real,0.051080126,0.269427111,0.332048075,0.347444688
real,0.050925201,0.264981677,0.332468112,0.351625011
real,0.039721563,0.223093939,0.336968145,0.400216354
real,0.042887876,0.262686618,0.335102045,0.359323461
real,0.053405903,0.268723224,0.329114261,0.348756613
real,0.05168554,0.266770638,0.33078829,0.350755532
real,0.038068504,0.279938017,0.339837228,0.34215625
real,0.050913967,0.254885274,0.330045661,0.364155098
real,0.054196192,0.270576592,0.329593567,0.345633649
real,0.043708205,0.231970069,0.331929763,0.392391964
real,0.042358844,0.220576117,0.327004574,0.410060465
real,0.051913584,0.267398273,0.330328427,0.350359715
real,0.048035619,0.242635489,0.330287302,0.37904159
real,0.045671487,0.26383686,0.333130031,0.357361622
real,0.025928038,0.241171222,0.34551814,0.387382601
real,0.04908116,0.268576889,0.333451446,0.348890506
real,0.044889131,0.263387693,0.335392225,0.356330951
real,0.029246146,0.219888697,0.34584215,0.405023007
real,0.044306804,0.263057557,0.33374052,0.358895119
real,0.026492107,0.237641275,0.348165073,0.387701545
real,0.04205263,0.26008486,0.335195866,0.362666644
real,0.042121619,0.261871349,0.33472789,0.361279142
real,0.046572292,0.253598753,0.333581633,0.366247322
real,0.047265,0.258338445,0.334360624,0.360035932
real,0.036426521,0.210925476,0.338928753,0.41371925
real,0.036881665,0.250459549,0.343993804,0.368664983
real,0.03961689,0.283231048,0.338107758,0.339044303
real,0.04258033,0.248408003,0.337177696,0.371833971
real,0.045940494,0.292404881,0.332862785,0.32879184
real,0.034713283,0.186013782,0.329330837,0.449942097
real,0.040656985,0.220604462,0.338354702,0.400383851
real,0.047368669,0.245053802,0.333269506,0.374308023
real,0.03118841,0.208602313,0.345894022,0.414315255
real,0.038427093,0.229158966,0.342715203,0.389698738
real,0.039367328,0.23208951,0.340606833,0.387936329
real,0.050506048,0.26470256,0.332015841,0.35277555
