Animal,Order,Treatment,Choice,Larger,LoR,Reward,Latency,AbsDiff,Ratio,RelDiff
C,1,1v2,1,0,0,1,1.78,1,0.5,0.67
D,1,1v2,1,0,0,1,1.26,1,0.5,0.67
F,1,1v2,1,0,1,1,1.61,1,0.5,0.67
J,2,1v2,1,0,1,1,2.99,1,0.5,0.67
A,1,1v2,2,1,0,0,14.45,1,0.5,0.67
B,1,1v2,2,1,1,0,2.5,1,0.5,0.67
E,1,1v2,2,1,0,0,1.1,1,0.5,0.67
G,1,1v2,2,1,0,1,8.09,1,0.5,0.67
H,1,1v2,2,1,0,0,2.64,1,0.5,0.67
I,1,1v2,2,1,1,0,0.83,1,0.5,0.67
J,1,1v2,2,1,0,1,4.03,1,0.5,0.67
K,1,1v2,2,1,1,0,0.83,1,0.5,0.67
L,1,1v2,2,1,1,0,2.03,1,0.5,0.67
M,1,1v2,2,1,1,0,1.23,1,0.5,0.67
N,1,1v2,2,1,1,0,1.87,1,0.5,0.67
O,1,1v2,2,1,0,1,1.29,1,0.5,0.67
P,1,1v2,2,1,0,0,1.15,1,0.5,0.67
Q,1,1v2,2,1,1,0,11.99,1,0.5,0.67
A,2,1v2,2,1,1,0,5.63,1,0.5,0.67
B,2,1v2,2,1,0,1,20.79,1,0.5,0.67
C,2,1v2,2,1,1,0,1.06,1,0.5,0.67
D,2,1v2,2,1,0,1,3,1,0.5,0.67
E,2,1v2,2,1,0,0,0.69,1,0.5,0.67
F,2,1v2,2,1,0,1,5.29,1,0.5,0.67
G,2,1v2,2,1,1,0,4.59,1,0.5,0.67
H,2,1v2,2,1,1,1,1.08,1,0.5,0.67
I,2,1v2,2,1,0,0,0.78,1,0.5,0.67
K,2,1v2,2,1,0,1,4.28,1,0.5,0.67
L,2,1v2,2,1,1,0,2.68,1,0.5,0.67
M,2,1v2,2,1,0,1,0.97,1,0.5,0.67
N,2,1v2,2,1,1,0,0.4,1,0.5,0.67
O,2,1v2,2,1,0,1,4.57,1,0.5,0.67
P,2,1v2,2,1,1,1,1.5,1,0.5,0.67
Q,2,1v2,2,1,1,0,1.82,1,0.5,0.67
B,2,1v3,1,0,1,0,1.2,2,0.33,1
F,2,1v3,1,0,1,1,1.26,2,0.33,1
J,2,1v3,1,0,1,1,0.78,2,0.33,1
A,1,1v3,3,1,0,1,1.65,2,0.33,1
B,1,1v3,3,1,1,0,1.55,2,0.33,1
C,1,1v3,3,1,0,1,0.2,2,0.33,1
D,1,1v3,3,1,1,1,2.34,2,0.33,1
E,1,1v3,3,1,1,0,1.52,2,0.33,1
F,1,1v3,3,1,0,1,21.9,2,0.33,1
G,1,1v3,3,1,1,0,5.63,2,0.33,1
H,1,1v3,3,1,1,1,1.21,2,0.33,1
I,1,1v3,3,1,0,1,3.9,2,0.33,1
J,1,1v3,3,1,1,0,2.46,2,0.33,1
K,1,1v3,3,1,0,0,1.48,2,0.33,1
L,1,1v3,3,1,1,0,2.99,2,0.33,1
M,1,1v3,3,1,0,1,1.39,2,0.33,1
N,1,1v3,3,1,0,0,2.1,2,0.33,1
O,1,1v3,3,1,1,0,1.04,2,0.33,1
P,1,1v3,3,1,1,0,1.05,2,0.33,1
Q,1,1v3,3,1,0,1,4.84,2,0.33,1
A,2,1v3,3,1,0,0,2.36,2,0.33,1
C,2,1v3,3,1,1,0,1.32,2,0.33,1
D,2,1v3,3,1,1,1,3.32,2,0.33,1
E,2,1v3,3,1,1,0,1.33,2,0.33,1
G,2,1v3,3,1,0,0,9.35,2,0.33,1
H,2,1v3,3,1,0,0,2.17,2,0.33,1
I,2,1v3,3,1,1,1,1.91,2,0.33,1
K,2,1v3,3,1,0,0,1.71,2,0.33,1
L,2,1v3,3,1,1,1,1.35,2,0.33,1
M,2,1v3,3,1,1,1,1.53,2,0.33,1
N,2,1v3,3,1,0,1,0.5,2,0.33,1
O,2,1v3,3,1,1,0,1.17,2,0.33,1
P,2,1v3,3,1,1,0,0.96,2,0.33,1
Q,2,1v3,3,1,0,0,1.18,2,0.33,1
C,1,1v4,1,0,0,0,14.9,3,0.25,1.2
F,1,1v4,1,0,1,1,11.96,3,0.25,1.2
C,2,1v4,1,0,1,0,1.97,3,0.25,1.2
F,2,1v4,1,0,1,0,1.16,3,0.25,1.2
H,2,1v4,1,0,0,0,3.03,3,0.25,1.2
L,2,1v4,1,0,1,1,1.35,3,0.25,1.2
A,1,1v4,4,1,1,0,1.7,3,0.25,1.2
B,1,1v4,4,1,0,0,3.09,3,0.25,1.2
D,1,1v4,4,1,0,1,1.6,3,0.25,1.2
E,1,1v4,4,1,0,0,1.11,3,0.25,1.2
G,1,1v4,4,1,0,1,20.24,3,0.25,1.2
H,1,1v4,4,1,0,1,1.26,3,0.25,1.2
I,1,1v4,4,1,0,1,0.92,3,0.25,1.2
J,1,1v4,4,1,1,0,4.11,3,0.25,1.2
K,1,1v4,4,1,0,1,3.01,3,0.25,1.2
L,1,1v4,4,1,0,0,1.2,3,0.25,1.2
M,1,1v4,4,1,0,0,2.49,3,0.25,1.2
N,1,1v4,4,1,0,1,1.58,3,0.25,1.2
O,1,1v4,4,1,0,1,0.91,3,0.25,1.2
P,1,1v4,4,1,1,0,1.19,3,0.25,1.2
Q,1,1v4,4,1,0,1,2.3,3,0.25,1.2
A,2,1v4,4,1,0,1,1.23,3,0.25,1.2
B,2,1v4,4,1,0,0,5.43,3,0.25,1.2
D,2,1v4,4,1,0,1,0.91,3,0.25,1.2
E,2,1v4,4,1,0,0,1.63,3,0.25,1.2
G,2,1v4,4,1,0,1,10.45,3,0.25,1.2
I,2,1v4,4,1,1,0,2.56,3,0.25,1.2
J,2,1v4,4,1,0,0,1,3,0.25,1.2
