Stimulus A,Stumulus B,Mean chemotaxis index (A relative to B),Standard deviation (measured/estimated),Standard error,Number of days repeated,All measured Chemotaxis indexes
'DA-2','DA-3',0.760448664,0.075928209,0.026844676,8,0.836026 0.851138 0.840706 0.699340 0.747767 0.662653 0.766055 0.679905 
'DA-2','DA-4',0.933215025,0.056584714,0.056584714,1,0.933215
'DA-2','DA-5',0.97629521,0.048623841,0.048623841,1,0.976295
'DA-2','IA-1',0.073071385,0.215532368,0.12443767,3,-0.008104 -0.176012 0.403330 
'DA-2','IA-2',0.147854094,0.19321068,0.073026773,7,0.165863 -0.027734 0.481106 0.177375 0.275533 -0.086386 0.049222 
'DA-2','IA-3',0.206781823,0.369806086,0.139773562,7,0.409959 0.192770 0.611125 0.272569 0.512986 -0.436257 -0.115679 
'DA-2','IA-4',0.589393051,0.12012026,0.069351465,3,0.627402 0.477744 0.663033 
'DA-2','NH4Ac-1E-0',0.210111393,0.190208472,0.190208472,1,0.210111
'DA-2','NH4Ac-2E+1',-0.52928614,0.131227536,0.131227536,1,-0.529286
'DA-2','NH4Ac-5E-0',-0.208520866,0.190502389,0.190502389,1,-0.208521
'DA-2','NaCl-1E-0',0.629934312,0.11262856,0.079640419,2,0.577654 0.682215 
'DA-2','NaCl-2E+1',-0.357835903,0.162910166,0.115194883,2,-0.715672
'DA-2','NaCl-2E-1',0.839506297,0.073901337,0.052256136,2,0.822431 0.856582 
'DA-2','NaCl-5E-0',0.058696333,0.218188762,0.154282753,2,0.128210 -0.010818 
'DA-2','No',0.914733577,0.053495088,0.017831696,9,1.000000 0.954451 0.857333 0.876483 0.843848 0.900456 0.975610 0.899158 0.925263 
'DA-2','PD-2',0.74019794,0.092252725,0.065232527,2,0.763663 0.716733 
'DA-2','PD-3',0.716793722,0.096577637,0.068290702,2,0.833689 0.599899 
'DA-2','PD-4',0.611090625,0.116110723,0.082102679,2,0.600172 0.622009 
'DA-2','PD-5',0.74622911,0.091138213,0.064444449,2,0.869092 0.623366 
'DA-2','Py-2',-0.078111095,0.21460107,0.123899985,3,0.087602 -0.233393 -0.088542 
'DA-2','Py-3',-0.092861526,0.449940239,0.170061425,7,-0.604777 -0.669969 0.537523 0.299850 -0.238029 0.123605 -0.098233 
'DA-2','Py-4',-0.135737279,0.203952212,0.144215992,2,-0.271475
'DA-2','Py-5',0.665372473,0.106079872,0.075009797,2,0.643445 0.687300 
'DA-2','TT-2',0.839934909,0.073822132,0.042621228,3,0.981132 0.763181 0.775492 
'DA-2','TT-3',-0.069875287,0.216122981,0.152822025,2,0.034416 -0.174166 
'DA-2','TT-4',0.135380817,0.190009256,0.084974723,5,-0.136073 0.363108 0.223678 0.042110 0.184082 
'DA-2','TT-5',0.52766165,0.131527729,0.131527729,1,0.527662
'DA-3','DA-4',0.822369317,0.077068113,0.077068113,1,0.822369
'DA-3','DA-5',0.93314768,0.056597159,0.056597159,1,0.933148
'DA-3','IA-1',0.308622244,0.172004456,0.099306819,3,0.271340 -0.022849 0.677376 
'DA-3','IA-2',0.333178574,0.144422304,0.051060995,8,0.492248 0.481340 0.403936 0.114618 0.289763 0.436636 0.291645 0.155243 
'DA-3','IA-3',0.37629683,0.235260451,0.08317713,8,0.532545 0.630292 0.746442 0.149564 0.388449 0.187527 0.227966 0.147590 
'DA-3','IA-4',0.725971976,0.094881569,0.0547799,3,0.716669 0.838004 0.623242 
'DA-3','NH4Ac-1E-0',0.81148539,0.079079376,0.079079376,1,0.811485
'DA-3','NH4Ac-2E+1',0.361602388,0.16221415,0.16221415,1,0.361602
'DA-3','NH4Ac-5E-0',0.596800202,0.118751478,0.118751478,1,0.5968
