difference,percent_correct,experiment,year,N
0.813,98.06007877,thick,1992,49
0.406,99.1985578,thick,1992,36
0.305,99.07118923,thick,1992,58
0.229,95.1462779,thick,1992,59
0.152,98.18548782,thick,1992,42
0.076,80.33625301,thick,1992,44
0.813,94.22138616,thick,2008,49
0.406,85.8699273,thick,2008,36
0.305,79.41528031,thick,2008,58
0.229,73.58767856,thick,2008,59
0.152,61.43867693,thick,2008,42
0.076,54.98402994,thick,2008,44
-0.813,99.36708861,thin,1992,49
-0.406,97.46835443,thin,1992,36
-0.305,95.56962025,thin,1992,58
-0.229,84.81012658,thin,1992,59
-0.152,93.03797468,thin,1992,42
-0.076,83.5443038,thin,1992,44
-0.813,94.93670886,thin,2008,49
-0.406,84.17721519,thin,2008,36
-0.305,77.84810127,thin,2008,58
-0.229,79.11392405,thin,2008,59
-0.152,64.55696203,thin,2008,42
-0.076,58.2278481,thin,2008,44
