trialno,FemaleID,Male1ID,Male1type,Male1contrast,Male2id,Male2type,Male2contrast,Absdiffcont,Propdiffcont,log_propdiffcont,Male1attention,Male2attention,Preferredattention,Totalattention,preferredmale,Contchoice
n01,45,38,3,0.246905042,37,1,0.000648508,0.246256534,379.7278276,2.579472425,57,50,57,107,male1,0
n02,81,103,3,0.249969568,83,1,0.001047119,0.248922449,237.7212609,2.376068025,123,16,123,139,male1,0
n03,73,6,3,0.242039911,4a,1,0.031514142,0.210525769,6.680358583,0.824799775,11,321,321,332,male2,1
n04,66,30,3,0.249658752,5,1,0.039904049,0.209754703,5.25647668,0.720694742,199,97,199,296,male1,0
n05,F01,M21,3,0.236477077,M07,1,0.017938353,0.218538724,12.18276416,1.085745837,266,148,266,414,male1,0
n06,F05,M14,3,0.241210307,M11,1,0.014570518,0.226639789,15.55468302,1.191861165,162,379,379,541,male2,1
n07,F07,M26,3,0.218953198,M30,1,0.006175202,0.212777996,34.45684789,1.537275546,381,103,381,484,male1,0
n08,F12,M27,3,0.202502131,M03,1,0.007516865,0.194985266,25.93970572,1.413965045,158,335,335,493,male2,1
n09,F13,M26,3,0.218953198,M34,1,0.001094654,0.217858544,199.0204613,2.298897729,100,213,213,313,male2,1
n10,F15,M29,3,0.2494858,M31,1,0.003817106,0.245668694,64.35993499,1.808615597,127,188,188,315,male2,1
n11,F16,M21,3,0.236477077,M11,1,0.014570518,0.221906559,15.22983322,1.182695147,194,287,287,481,male2,1
n12,F20,M14,3,0.241210307,M31,1,0.003817106,0.237393201,62.1919331,1.793734056,151,361,361,512,male2,1
n13,F21,M29,3,0.2494858,M11,1,0.014570518,0.234915282,16.12264451,1.207436278,46,174,174,220,male2,1
n14,F46,M14,3,0.241210307,M34,1,0.001094654,0.240115653,219.3530129,2.341143604,109,201,201,310,male2,1
n15,F63,M41,3,0.199242937,M16,1,0.008160753,0.191082184,23.41477361,1.369489963,191,260,260,451,male2,1
n16,F65,M55,3,0.232142586,M16,1,0.008160753,0.223981833,27.44622132,1.438482561,230,267,267,497,male2,1
n17,F61,M55,3,0.232142586,M34,1,0.001094654,0.231047932,211.0693717,2.324425217,105,233,233,338,male2,1
n18,F65,M55,3,0.232142586,M40,1,0.009585653,0.222556933,23.21771224,1.365819424,78,134,134,212,male2,1
n19,F57,M55,3,0.232142586,M45,1,0.001122346,0.23102024,205.8369166,2.313523268,149,349,349,498,male2,1
n20,F68,M21,3,0.236477077,M54,1,0.002971585,0.233505492,78.57944228,1.895308942,137,362,362,499,male2,1
n21,79,68,4,0.23109375,33,1,0.000612745,0.230481005,376.1450603,2.575355363,66,57,66,123,male1,0
n22,18,93,4,0.186878629,37,1,0.000648508,0.186230121,287.1670373,2.458134588,21,334,334,355,male2,1
n23,32,9,4,0.220347446,42a,1,0.056465059,0.163882387,2.902368118,0.462752495,143,61,143,204,male1,0
n24,F10,M18,4,0.247071616,M31,1,0.003817106,0.24325451,63.7274705,1.804326681,55,298,298,353,male2,1
n25,F11,M20,4,0.246778278,M07,1,0.017938353,0.228839925,12.75701983,1.105749231,362,152,362,514,male1,0
n26,F17,M20,4,0.246778278,M03,1,0.007516865,0.239261413,31.82994679,1.502835913,388,180,388,568,male1,0
n27,F18,M28,4,0.249969453,M07,1,0.017938353,0.2320311,12.9349166,1.111763633,314,126,314,440,male1,0
n28,F19,M04,4,0.249114094,M03,1,0.007516865,0.241597229,32.14069017,1.507055198,113,341,341,454,male2,1
n29,F22,M28,4,0.249969453,M11,1,0.014570518,0.235398935,16.15583845,1.208329502,126,366,366,492,male2,1
n30,F23,M04,4,0.249114094,M12,1,0.007241179,0.241872915,33.40242176,1.523777955,161,339,339,500,male2,1
n31,F24,M05,4,0.240715024,M30,1,0.006175202,0.234539822,37.98091496,1.579565423,108,132,132,240,male2,1
