ID,Leading_spkr,Leading,Lagging,AbsDiff,PercDiff,Choice,Response,Trial_order
Hch-083-19,1,10,11,1,10,NA,N,3
Hch-085-19,1,10,11,1,10,NA,N,4
Hch-087-19,1,10,11,1,10,Lead,Y,3
Hch-094-19,1,10,11,1,10,Lag,Y,7
Hch-096-19,1,10,11,1,10,Lead,Y,1
Hch-097-19,1,10,11,1,10,Lag,Y,12
Hch-098-19,1,10,11,1,10,Lead,Y,6
Hch-099-19,1,10,11,1,10,NA,N,9
Hch-100-19,1,10,11,1,10,NA,N,8
Hch-101-19,1,10,11,1,10,NA,N,1
Hch-127-19,2,10,11,1,10,NA,N,3
Hch-128-19,2,10,11,1,10,NA,N,9
Hch-130-19,2,10,11,1,10,Lag,Y,5
Hch-131-19,2,10,11,1,10,NA,N,11
Hch-132-19,2,10,11,1,10,Lag,Y,12
Hch-133-19,2,10,11,1,10,Lag,Y,8
Hch-134-19,2,10,11,1,10,Lag,Y,10
Hch-135-19,2,10,11,1,10,NA,N,15
Hch-149-19,1,10,11,1,10,Lead,Y,3
Hch-150-19,1,10,11,1,10,NA,N,11
Hch-151-19,1,10,11,1,10,Lag,Y,3
Hch-152-19,1,10,11,1,10,NA,N,8
Hch-153-19,1,10,11,1,10,Lead,Y,8
Hch-154-19,1,10,11,1,10,NA,N,5
Hch-155-19,1,10,11,1,10,Lag,Y,11
Hch-156-19,1,10,11,1,10,NA,N,15
Hch-157-19,1,10,11,1,10,Lag,Y,8
Hch-176-19,2,10,11,1,10,Lead,Y,10
Hch-179-19,2,10,11,1,10,Lag,Y,8
Hch-181-19,2,10,11,1,10,Lead,Y,4
Hch-203-19,1,10,11,1,10,Lag,Y,10
Hch-204-19,1,10,11,1,10,Lag,Y,6
Hch-205-19,1,10,11,1,10,Lag,Y,1
Hch-206-19,1,10,11,1,10,Lag,Y,10
Hch-208-19,1,10,11,1,10,Lag,Y,15
Hch-245-19,2,10,11,1,10,NA,N,4
Hch-246-19,2,10,11,1,10,Lag,Y,8
Hch-247-19,2,10,11,1,10,Lag,Y,10
Hch-248-19,2,10,11,1,10,Lag,Y,3
Hch-260-19,1,10,11,1,10,Lead,Y,3
Hch-261-19,1,10,11,1,10,NA,N,2
Hch-278-19,1,10,11,1,10,NA,N,6
Hch-279-19,1,10,11,1,10,Lag,Y,5
Hch-280-19,1,10,11,1,10,Lead,Y,8
Hch-281-19,1,10,11,1,10,Lag,Y,3
Hch-282-19,1,10,11,1,10,Lead,Y,6
Hch-284-19,1,10,11,1,10,Lag,Y,12
Hch-314-19,2,10,11,1,10,NA,N,6
Hch-315-19,2,10,11,1,10,NA,N,15
Hch-317-19,2,10,11,1,10,Lead,Y,13
Hch-318-19,2,10,11,1,10,Lag,Y,1
Hch-319-19,2,10,11,1,10,NA,N,10
Hch-320-19,2,10,11,1,10,NA,N,2
Hch-348-19,2,10,11,1,10,Lag,Y,6
Hch-349-19,2,10,11,1,10,Lead,Y,11
Hch-350-19,2,10,11,1,10,NA,N,10
Hch-351-19,2,10,11,1,10,Lag,Y,7
Hch-352-19,2,10,11,1,10,Lag,Y,2
Hch-353-19,2,10,11,1,10,Lag,Y,11
Hch-360-19,2,10,11,1,10,Lag,Y,10
Hch-364-19,2,10,11,1,10,Lag,Y,5
Hch-087-19,1,10,12,2,20,Lag,Y,9
Hch-094-19,1,10,12,2,20,Lead,Y,11
Hch-095-19,1,10,12,2,20,Lead,Y,1
Hch-096-19,1,10,12,2,20,Lag,Y,9
Hch-097-19,1,10,12,2,20,Lead,Y,7
Hch-098-19,1,10,12,2,20,Lag,Y,12
Hch-099-19,1,10,12,2,20,Lag,Y,4
