weber_fraction,discrimination_d,delta_direction,individual
0.048891363,0.985574344,1,Pe
0.065520912,1.754386314,1,Pe
0.07882455,2.037037773,1,Pe
0.093791143,2.602340692,1,Pe
0.12372433,2.749319451,1,Pe
0.181927748,3.518131421,1,Pe
0.240685484,3.133725436,1,Pe
0.298334584,3.348540545,1,Pe
0.079378868,1.008186461,-1,Pe
0.094345461,1.483040912,-1,Pe
0.1076491,2.048343831,-1,Pe
0.123170011,3.461601129,-1,Pe
0.151994561,3.156337552,-1,Pe
0.181927748,3.778170763,-1,Pe
0.240685484,3.438989012,-1,Pe
0.299443221,3.959067697,-1,Pe
0.079933186,1.087328869,-1,Je
0.093791143,1.754386314,-1,Je
0.108203418,2.500586166,-1,Je
0.12372433,2.014425656,-1,Je
0.153657516,2.274464999,-1,Je
0.182482066,2.602340692,-1,Je
0.240131166,2.749319451,-1,Je
0.297780266,4.366085799,-1,Je
0.048891363,0.861207702,1,Ch
0.063857957,2.116180182,1,Ch
0.079933186,2.330995291,1,Ch
0.094345461,2.783237626,1,Ch
0.12372433,3.292010253,1,Ch
0.182482066,3.699028355,1,Ch
0.239576848,4.366085799,1,Ch
0.298334584,4.366085799,1,Ch
