norm_distractor,prop_discrimination,target_freq,n_trials
0.026514813,0.715929204,40,500
0.077650525,0.686430678,40,500
0.126892321,0.684070796,40,500
0.251890727,0.626253687,40,500
0.376889133,0.595575221,40,500
0.501887538,0.579056047,40,500
0.626885944,0.52359882,40,500
0.75188435,0.534218289,40,500
0.874988841,0.494100295,40,500
0.049241796,0.656932153,20,500
0.153407134,0.609734513,20,500
0.249996812,0.607374631,20,500
0.501887538,0.561356932,20,500
0.749990435,0.533038348,20,500
