Animal,D (%w/w),High,Low,nmrIntensity1.4,nmrIntensity2,rIntensity,Response,N,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,15,50,35,0,0,0.352941176,0.6560847,189,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,15,45,30,0,0,0.4,0.5275229,218,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,15,40,25,0,0,0.461538462,0.71875,192,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,15,35,20,0,0,0.545454545,0.6926606,218,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,15,30,15,0,0,0.666666667,0.9318182,220,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,15,25,10,0,0,0.857142857,0.9158878,107,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,15,20,5,0,0,1.2,0.9587302,315,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,5,50,45,0,0,0.105263158,0.4545455,44,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,5,45,40,0,0,0.117647059,0.5714286,14,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,5,40,35,0,0,0.133333333,0.5844156,77,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,5,35,30,0,0,0.153846154,0.5,50,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,5,30,25,0,0,0.181818182,0.5285714,70,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,5,25,20,0,0,0.222222222,0.58,100,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,5,20,15,0,0,0.285714286,0.64,25,,,,,,,,,,,,,,,,,,,,,,,,
Bat1,5,15,10,0,0,0.4,0.7272727,44,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,15,50,35,0,0,0.352941176,0.2573529,136,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,15,40,25,0,0,0.461538462,0.7724551,167,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,15,35,20,0,0,0.545454545,0.7844311,167,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,15,30,15,0,0,0.666666667,0.8707483,147,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,15,25,10,0,0,0.857142857,0.9716981,106,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,15,20,5,0,0,1.2,0.942029,199,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,5,50,45,0,0,0.105263158,0.4716981,62,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,5,45,40,0,0,0.117647059,0.425,80,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,5,40,35,0,0,0.133333333,0.7093023,86,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,5,35,30,0,0,0.153846154,0.5130435,115,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,5,25,20,0,0,0.222222222,0.5479452,146,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,5,20,15,0,0,0.285714286,0.7704918,122,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,5,15,10,0,0,0.4,0.8241206,199,,,,,,,,,,,,,,,,,,,,,,,,
Bat12,5,10,5,0,0,0.666666667,0.9765625,384,,,,,,,,,,,,,,,,,,,,,,,,
Bat14,15,50,35,0,0,0.352941176,0.573991,223,,,,,,,,,,,,,,,,,,,,,,,,
Bat14,15,45,30,0,0,0.4,0.5652174,184,,,,,,,,,,,,,,,,,,,,,,,,
Bat14,15,40,25,0,0,0.461538462,0.673913,230,,,,,,,,,,,,,,,,,,,,,,,,
Bat14,15,35,20,0,0,0.545454545,0.6320225,356,,,,,,,,,,,,,,,,,,,,,,,,
Bat14,15,30,15,0,0,0.666666667,0.949807,259,,,,,,,,,,,,,,,,,,,,,,,,
Bat14,15,25,10,0,0,0.857142857,0.9230769,208,,,,,,,,,,,,,,,,,,,,,,,,
