Animal,D,High,Low,nmrIntensity,rIntensity,Response,N
unknowns,2,32,30,0.071387387,0.064516129,0.467886962,3114
unknowns,5,50,45,0.157022512,0.105263158,0.65675446,3531
unknowns,4,39,35,0.135394017,0.108108108,0.646210656,5687
unknowns,10,45,35,0.33066026,0.25,0.796973053,2709
unknowns,15,45,30,0.505687104,0.4,0.941715783,1527
unknowns,10,30,20,0.380730788,0.4,0.873884834,2466
unknowns,15,30,15,0.589435792,0.666666667,0.976692564,901
unknowns,20,40,20,0.720930865,0.666666667,0.898169336,4370
unknowns,5,50,45,0.157022512,0.105263158,0.565887282,7399
unknowns,5,25,20,0.196478597,0.222222222,0.635459818,4828
unknowns,6,27,21,0.231253268,0.25,0.617629179,6580
unknowns,9,34,25,0.326058784,0.305084746,0.774661057,6417
unknowns,15,45,30,0.505687104,0.4,0.87618459,4854
unknowns,15,30,15,0.589435792,0.666666667,0.81130014,6407
B20,5,25,20,0.196478597,0.222222222,0.517907445,2485
B20,6,27,21,0.231253268,0.25,0.775917579,1553
B20,9,34,25,0.326058784,0.305084746,0.945280438,1462
B20,15,45,30,0.505687104,0.4,0.987623762,404
B20,15,30,15,0.589435792,0.666666667,0.861857775,2939
B25,5,25,20,0.196478597,0.222222222,0.666963491,2246
B25,6,27,21,0.231253268,0.25,0.620462046,1212
B25,9,34,25,0.326058784,0.305084746,0.794332724,1094
B25,15,45,30,0.505687104,0.4,0.823529412,34
B25,15,30,15,0.589435792,0.666666667,0.816126601,2654
B30,5,25,20,0.196478597,0.222222222,0.58974359,39
B30,6,27,21,0.231253268,0.25,0.65374211,2218
B30,9,34,25,0.326058784,0.305084746,0.89375476,2626
B30,15,30,15,0.589435792,0.666666667,0.930795445,3062
