Low (M),Mean (M),High (M),Low (g/100ml),Mean C (g/100ml),High (g/100ml),Dconc,Lowconc,Meanconc,Highconc,nmrIntensity,rIntensity,Response,mean% difference (captured with EasyNData from Sanderson 2006),N
0.25,0.25,0.25,8.5585,8.5585,8.5585,0,8.26,8.26,8.26,0.000001,0.000001,0.525,0.05,120
0.15,0.25,0.35,5.1351,8.5585,11.9819,6.39,5.04,8.26,11.43,0.339470294,0.775956284,0.815,0.63,120
0.05,0.25,0.45,1.7117,8.5585,15.4053,12.79,1.74,8.26,14.53,0.68196687,1.572218808,0.95,0.9,120
0.5,0.5,0.5,17.117,17.117,17.117,0,16.05,16.05,16.05,0.000001,0.000001,0.49,-0.02,120
0.4,0.5,0.6,13.6936,17.117,20.5404,6.08,12.98,16.05,19.06,0.264548209,0.379525593,0.59,0.18,120
0.3,0.5,0.7,10.2702,17.117,23.9638,12.15,9.85,16.05,22,0.52960545,0.762951334,0.805,0.61,120
0.2,0.5,0.8,6.8468,17.117,27.3872,18.22,6.66,16.05,24.88,0.796523997,1.155358275,0.955,0.91,120
0.75,0.75,0.75,25.6755,25.6755,25.6755,0,23.45,23.45,23.45,0.000001,0.000001,0.515,0.03,120
0.65,0.75,0.85,22.2521,25.6755,29.0989,5.76,20.54,23.45,26.3,0.22363842,0.245943638,0.6,0.2,120
0.55,0.75,0.95,18.8287,25.6755,32.5223,11.52,17.56,23.45,29.08,0.447851378,0.493996569,0.755,0.51,120
0.45,0.75,1.05,15.4053,25.6755,35.9457,17.27,14.53,23.45,31.8,0.672732867,0.745521261,0.915,0.83,120
1,1,1,34.234,34.234,34.234,0,30.45,30.45,30.45,0.000001,0.000001,0.5,0,120
0.9,1,1.1,30.8106,34.234,37.6574,5.44,27.7,30.45,33.14,0.195277019,0.178829717,0.6,0.2,120
0.8,1,1.2,27.3872,34.234,41.0808,10.89,24.88,30.45,35.77,0.391279988,0.359109646,0.705,0.41,120
0.7,1,1.3,23.9638,34.234,44.5042,16.33,22,30.45,38.33,0.587672253,0.541355876,0.885,0.77,120
1.25,1.25,1.25,42.7925,42.7925,42.7925,0,37.06,37.06,37.06,0.000001,0.000001,0.5,0,120
1.15,1.25,1.35,39.3691,42.7925,46.2159,5.13,34.46,37.06,39.59,0.173607645,0.13855503,0.595,0.19,120
1.05,1.25,1.45,35.9457,42.7925,49.6393,10.25,31.8,37.06,42.05,0.347158429,0.277589709,0.75,0.5,120
0.95,1.25,1.55,32.5223,42.7925,53.0627,15.38,29.08,37.06,44.46,0.521564768,0.418275768,0.875,0.75,120
1.5,1.5,1.5,51.351,51.351,51.351,0,43.26,43.26,43.26,0.000001,0.000001,0.49,-0.02,120
1.4,1.5,1.6,47.9276,51.351,54.7744,4.81,40.83,43.26,45.64,0.155379757,0.111252457,0.585,0.17,120
1.3,1.5,1.7,44.5042,51.351,58.1978,9.62,38.33,43.26,47.95,0.310964656,0.2229949,0.715,0.43,120
1.2,1.5,1.8,41.0808,51.351,61.6212,14.42,35.77,43.26,50.19,0.466643625,0.335504886,0.85,0.7,120
1.75,1.75,1.75,59.9095,59.9095,59.9095,0,49.08,49.08,49.08,0.000001,0.000001,0.515,0.03,120
1.65,1.75,1.85,56.4861,59.9095,63.3329,4.49,46.8,49.08,51.29,0.139658676,0.091548578,0.58,0.16,120
1.55,1.75,1.95,53.0627,59.9095,66.7563,8.98,44.46,49.08,53.44,0.279479867,0.183452503,0.68,0.36,120
1.45,1.75,2.05,49.6393,59.9095,70.1797,13.48,42.05,49.08,55.53,0.41994329,0.276286124,0.845,0.69,120
