monkey,n_sample,n_test,percent_same
P,2,1.001720244,8.156185391
P,2,2.017046341,97.23996445
P,2,3.014724012,49.19546748
T,2,1.02717348,5.927832588
T,2,2.004399364,98.97295076
T,2,3.023611938,18.25465342
P,3,1.014176083,4.938055296
P,3,2.008827399,33.37878175
P,3,3.033423699,94.49203432
P,3,4.018868526,51.39833519
P,3,5.003994788,5.829396417
T,3,1.027141624,5.680308624
T,3,2.0228442,42.28932589
T,3,3.019980313,90.03692153
T,3,4.007623228,64.02237591
T,3,5.018935424,21.91813551
P,4,1.001083116,3.205706112
P,4,2.005036491,3.923430039
P,4,3.016444256,62.56176153
P,4,3.99832117,91.74537844
P,4,5.011799598,66.47276759
P,4,6.009700263,20.16093836
P,4,7.037577769,6.769159215
T,4,1.02682306,3.205068985
T,4,2.006215177,13.0818167
T,4,3.002331886,52.9086455
T,4,4.011191141,91.74505987
T,4,5.025115559,69.93778452
T,4,6.02314365,24.61605115
T,4,7.011105129,1.076745171
P,5,1.000732696,0.482942509
P,5,2.017556043,1.200347872
P,5,3.022847386,12.31407828
P,5,4.020939189,67.48739284
P,5,5.015240086,93.20535569
P,5,6.016167106,70.40830304
P,5,7.001038518,22.85917256
P,5,8.015950482,8.725140088
P,5,9.019107448,3.254764916
T,5,1.000764553,0.730466473
T,5,2.996820735,10.08699974
T,5,4.008642632,71.94314276
T,5,5.027695925,89.9872256
T,5,6.001353896,55.30965981
T,5,7.02827571,34.49216174
T,5,8.015791201,7.487520269
T,5,9.006747178,7.215466903
P,6,1.014367221,6.42319908
P,6,2.017842751,3.428063547
P,6,3.008798728,3.156010181
P,6,4.027788308,20.70504509
P,6,5.027090654,85.28427028
P,6,6.03129888,87.98218592
P,6,7.02091689,77.31412607
P,6,8.020187379,41.64582729
P,6,9.035800184,32.95732203
P,6,10.02449436,15.11106722
P,6,11.00245294,13.84923656
T,6,1.026377071,-0.26026651
T,6,2.017396761,-0.037271948
T,6,3.034443103,2.412801162
T,6,4.015205043,22.93307933
T,6,5.025338554,71.67045226
T,6,6.018014775,84.76469295
T,6,7.018909939,61.72011634
T,6,8.018976837,32.23991666
T,6,9.009614251,29.49262366
T,6,10.0109554,9.913382541
T,6,10.98808572,2.21592882
