Individual,Age,AMP Call,Experiment Method,Z Scores,Original Data,Focal Speaker Side,Method Order (went first),Size (mm),Weight (mg)
254,10,-2,Trackball,-0.619961522,142.54,Right,track,6.55,1865
254,11,2,Trackball,-0.969710911,-209.43,Left,arena,6.55,1865
254,12,-1,Trackball,-0.537187069,-225.84,Left,arena,6.55,1865
254,13,1,Trackball,2.273338485,3054.21,Right,track,6.55,1865
254,10,-1,Arena,-0.175650023,0,Left,track,6.55,1865
254,11,-2,Arena,-0.175650023,0,Right,arena,6.55,1865
254,12,1,Arena,0.217694144,37.5,Right,arena,6.55,1865
254,13,2,Arena,0.401254755,55,Right,track,6.55,1865
255,10,-1,Trackball,-0.244326485,520.56,Right,arena,7.44,1757.9
255,11,-2,Trackball,-0.036903445,-729.3,Left,track,7.44,1757.9
255,12,2,Trackball,-1.423797845,666.4,Right,track,7.44,1757.9
255,13,1,Trackball,1.359987486,2135.06,Left,track,7.44,1757.9
255,10,-2,Arena,-0.175650023,0,Left,arena,7.44,1757.9
255,11,1,Arena,1.030605423,115,Left,track,7.44,1757.9
255,12,-1,Arena,-0.52179289,-33,Right,track,7.44,1757.9
255,13,2,Arena,-0.506146533,65,Left,track,7.44,1757.9
256,10,-2,Trackball,0.068765647,835.64,Left,arena,5.75,1804.9
256,11,2,Trackball,1.746165584,2523.69,Right,track,5.75,1804.9
256,12,1,Trackball,1.062456555,1835.64,Left,arena,5.75,1804.9
256,13,-1,Trackball,-0.586394643,176.32,Right,track,5.75,1804.9
256,10,-1,Arena,-1.444840536,-121,Left,arena,5.75,1804.9
256,11,1,Arena,0.1914712,35,Left,track,5.75,1804.9
256,12,-2,Arena,0.988648712,111,Left,arena,5.75,1804.9
256,13,2,Arena,-0.458857824,-27,Right,track,5.75,1804.9
260,10,-2,Trackball,-0.099406603,666.4,Left,track,6.77,1776.3
260,11,-1,Trackball,-0.491636278,271.68,Right,arena,6.77,1776.3
260,12,1,Trackball,2.287438959,3068.4,Left,track,6.77,1776.3
260,13,2,Trackball,0.333802886,1102.36,Right,arena,6.77,1776.3
260,10,-1,Arena,-0.175650023,0,Right,track,6.77,1776.3
260,11,1,Arena,0.862778578,99,Right,track,6.77,1776.3
260,12,-2,Arena,-1.32945958,-110,Right,arena,6.77,1776.3
260,13,2,Arena,-0.437879468,-25,Left,arena,6.77,1776.3
261,10,-1,Trackball,-0.519499371,243.64,Left,track,5.44,1871.9
261,11,2,Trackball,0.444182072,-1213.44,Left,track,5.44,1871.9
261,12,-2,Trackball,-0.59145253,171.23,Right,arena,5.44,1871.9
261,13,1,Trackball,-0.885426048,-124.61,Right,track,5.44,1871.9
261,10,1,Arena,0.401254755,55,Left,track,5.44,1871.9
261,11,-2,Arena,-0.448368646,-26,Right,track,5.44,1871.9
261,12,2,Arena,-1.109186847,-89,Right,arena,5.44,1871.9
261,13,-1,Arena,-0.637173846,-44,Left,track,5.44,1871.9
265,10,-1,Trackball,-1.447298635,-690.05,Right,arena,6.66,1838
265,11,2,Trackball,-0.350889898,413.32,Left,arena,6.66,1838
265,12,1,Trackball,1.75804019,2535.64,Left,track,6.66,1838
265,13,-2,Trackball,-1.044515962,-284.71,Right,arena,6.66,1838
265,10,-1,Arena,-0.784022335,-58,Left,arena,6.66,1838
265,11,1,Arena,0.527124889,67,Right,arena,6.66,1838
265,12,-2,Arena,-0.123204134,5,Right,track,6.66,1838
265,13,2,Arena,-1.151143558,-93,Right,arena,6.66,1838
266,10,2,Trackball,-0.313835164,450.61,Left,arena,5.9,1803.2
266,11,-2,Trackball,-0.442130597,321.5,Left,arena,5.9,1803.2
266,12,-1,Trackball,-1.028308864,-268.4,Right,track,5.9,1803.2
266,13,1,Trackball,0.290020864,1058.3,Right,arena,5.9,1803.2
266,10,2,Arena,-0.175650023,0,Left,arena,5.9,1803.2
