f1,f2,percent,figure
10.12389381,18.05111821,84,b
14.10619469,22.03833866,87,b
18.08849558,26.02555911,91,b
22.07079646,29.93610224,96,b
26.18584071,34.15335463,98,b
18.08849558,9.923322684,97,b
22.20353982,13.98722045,91,b
25.92035398,17.97444089,95,b
30.03539823,22.11501597,93,b
33.88495575,26.10223642,87,b
10.29003438,18.02547771,84,c
14.20554084,22,85,c
18.25125416,25.82165605,91,c
22.30077222,29.87261146,92,c
26.34902204,33.84713376,95,c
18.12273829,10.07643312,94,c
22.0369765,13.97452229,85,c
26.08522631,17.94904459,95,c
30.26748774,22,89,c
34.05025083,25.97452229,85,c
10.29087988,34.07643312,97,c
14.20596359,30.02547771,88,c
30.26833324,14.05095541,94,c
33.7864551,10.07643312,96,c
18.05636661,22.07643312,79,c
22.23735979,26.05095541,73,c
30.33385942,34,88,c
14.1404374,10.07643312,94,c
22.10292543,17.94904459,80,c
26.28518686,22,68,c
10.0603105,17.86524093,86,d
14.20643372,21.70220572,91,d
18.22012438,25.8094045,95,d
23.97378193,31.90667084,97,d
30.12607937,37.59590175,94,d
34.01315377,43.7182229,98,d
10.15381862,5.917677061,97,d
13.89324862,7.746678001,97,d
18.16733032,9.971186972,97,d
24.1867478,15.79642969,92,d
29.93951054,21.62525167,85,d
34.08608116,25.59643864,81,d
6.119591452,9.991169718,93,e
8.092276447,14.08842056,85,e
9.932507211,18.05380585,78,e
14.1723671,22.07482192,87,e
20.11956202,29.99558486,96,e
19.99947018,28.0093601,93,e
20.01359863,25.89009242,85,e
20.02596103,24.03573321,76,e
20.03964797,21.98269265,58,e
20.0533349,19.92965209,54,e
20.2003591,17.87602284,67,e
20.08026726,15.88979808,74,e
20.0939542,13.83675752,95,e
20.10675811,11.91617119,97,e
19.98710779,9.863719315,98,e
26.0658739,18.04880203,89,e
29.90616354,22.00535704,96,e
33.87979043,25.96132336,92,e
39.98593042,30.04032495,94,e
