base,comparison,percent_correct
8.008195014,13.96694215,93
9.957983193,18.01652893,91
14.09229808,21.98347107,89
18.05854573,25.95041322,92
22.10917425,30,91
20.09202028,9.917355372,98
20.10035419,11.90082645,96
20.1086881,13.88429752,90
20.03333565,15.95041322,70
20.04201681,18.01652893,59
20.05035072,20,53
20.05868463,21.98347107,75
20.15105216,23.96694215,84
20.15973331,26.03305785,92
20.08403361,28.01652893,95
20.09236753,30,97
21.95777485,13.96694215,88
26.09243697,18.01652893,92
30.05903188,22.0661157,90
34.19334676,26.03305785,84
40.17674839,30.08264463,87
