f1,f2,percent_correct,set
10,18,91,b
14,22,93,b
18,26,95,b
22,30,97,b
26,34,96,b
18,10,97,b
22,14,97,b
26,18,97,b
30,22,95,b
34,26,89,b
10,18,88,c
14,22,89,c
18,26,91,c
22,30,87,c
26,34,86,c
30,38,93,c
34,44,95,c
10,6,87,c
14,8,92,c
18,10,90,c
22,14,86,c
26,18,88,c
30,22,84,c
34,26,84,c
12,20,94,d
14,20,86,d
16,20,82,d
18,20,64,d
22,20,56,d
24,20,77,d
26,20,91,d
28,20,98,d
20,12,95,d
20,14,87,d
20,16,73,d
20,18,65,d
20,22,61,d
20,24,73,d
20,26,84,d
20,28,94,d
