Set,Base_freq,Comparison_freq,Percentage_correct,Proportion_correct,Runs,Monkeys
A,10,18,87,0.87,350,3
A,14,22,91,0.91,350,3
A,18,10,80,0.8,350,3
A,19,27,90,0.9,350,3
A,22,14,85,0.85,350,3
A,23,31,88,0.88,350,3
A,27,19,88,0.88,350,3
A,28,36,84,0.84,350,3
A,31,23,89,0.89,350,3
A,36,28,88,0.88,350,3
B,10,16,74,0.74,42,2
B,10,18,83,0.83,42,2
B,10,20,93,0.93,42,2
B,15,25,92,0.92,42,2
B,18,10,88,0.88,42,2
B,20,10,93,0.93,42,2
B,20,12,88,0.88,42,2
B,20,14,83,0.83,42,2
B,20,16,81,0.81,42,2
B,20,18,60,0.6,42,2
B,20,22,70,0.7,42,2
B,20,24,79,0.79,42,2
B,20,26,85,0.85,42,2
B,20,28,90,0.9,42,2
B,20,30,94,0.94,42,2
B,22,30,93,0.93,42,2
B,25,15,97,0.97,42,2
B,26,20,91,0.91,42,2
B,26,22,81,0.81,42,2
B,26,24,65,0.65,42,2
