"Session","test_contrast","correct_trials","error_trials","standard_contrast","total_trials","performance"
1,"10",106,60,30,166,0.63855421686747
1,"15",111,59,30,170,0.652941176470588
1,"20",114,51,30,165,0.690909090909091
1,"25",122,64,30,186,0.655913978494624
1,"27",149,66,30,215,0.693023255813954
1,"28",152,62,30,214,0.710280373831776
1,"29",159,54,30,213,0.746478873239437
1,"31",184,63,30,247,0.744939271255061
1,"32",172,69,30,241,0.713692946058091
1,"33",150,75,30,225,0.666666666666667
1,"35",132,101,30,233,0.566523605150215
1,"40",113,65,30,178,0.634831460674157
1,"50",106,49,30,155,0.683870967741935
1,"60",105,43,30,148,0.709459459459459
2,"10",24,63,30,87,0.275862068965517
2,"15",24,55,30,79,0.30379746835443
2,"20",23,52,30,75,0.306666666666667
2,"25",31,59,30,90,0.344444444444444
2,"27",38,75,30,113,0.336283185840708
2,"28",40,65,30,105,0.380952380952381
2,"29",44,74,30,118,0.372881355932203
2,"31",30,81,30,111,0.27027027027027
2,"32",32,91,30,123,0.260162601626016
2,"33",33,65,30,98,0.336734693877551
2,"35",30,87,30,117,0.256410256410256
2,"40",26,87,30,113,0.230088495575221
2,"50",23,56,30,79,0.291139240506329
2,"60",22,34,30,56,0.392857142857143
3,"10",63,56,30,119,0.529411764705882
3,"15",63,71,30,134,0.470149253731343
3,"20",73,73,30,146,0.5
3,"25",81,47,30,128,0.6328125
3,"27",92,81,30,173,0.531791907514451
3,"28",91,74,30,165,0.551515151515152
3,"29",114,83,30,197,0.578680203045685
3,"31",100,73,30,173,0.578034682080925
3,"32",85,67,30,152,0.559210526315789
3,"33",78,87,30,165,0.472727272727273
3,"35",70,104,30,174,0.402298850574713
3,"40",61,79,30,140,0.435714285714286
3,"50",60,60,30,120,0.5
3,"60",59,51,30,110,0.536363636363636
4,"10",36,81,30,117,0.307692307692308
4,"15",34,76,30,110,0.309090909090909
4,"20",34,102,30,136,0.25
4,"25",40,103,30,143,0.27972027972028
4,"27",55,91,30,146,0.376712328767123
4,"28",49,74,30,123,0.398373983739837
4,"29",60,92,30,152,0.394736842105263
4,"31",75,96,30,171,0.43859649122807
4,"32",44,110,30,154,0.285714285714286
4,"33",42,89,30,131,0.320610687022901
4,"35",42,125,30,167,0.251497005988024
4,"40",32,89,30,121,0.264462809917355
4,"50",32,59,30,91,0.351648351648352
4,"60",33,52,30,85,0.388235294117647
5,"10",77,77,30,154,0.5
5,"15",81,77,30,158,0.512658227848101
5,"20",88,71,30,159,0.553459119496855
5,"25",99,64,30,163,0.607361963190184
5,"27",104,77,30,181,0.574585635359116
5,"28",116,75,30,191,0.607329842931937
5,"29",135,84,30,219,0.616438356164384
5,"31",134,90,30,224,0.598214285714286
5,"32",108,82,30,190,0.568421052631579
5,"33",88,96,30,184,0.478260869565217
5,"35",89,79,30,168,0.529761904761905
5,"40",74,76,30,150,0.493333333333333
5,"50",73,47,30,120,0.608333333333333
5,"60",76,46,30,122,0.622950819672131
6,"10",61,52,30,113,0.539823008849557
6,"15",64,49,30,113,0.566371681415929
6,"20",67,54,30,121,0.553719008264463
6,"25",70,61,30,131,0.534351145038168
6,"27",93,66,30,159,0.584905660377358
6,"28",91,61,30,152,0.598684210526316
6,"29",95,49,30,144,0.659722222222222
6,"31",117,75,30,192,0.609375
6,"32",90,80,30,170,0.529411764705882
6,"33",80,71,30,151,0.529801324503311
6,"35",69,59,30,128,0.5390625
6,"40",63,56,30,119,0.529411764705882
6,"50",66,38,30,104,0.634615384615385
6,"60",65,37,30,102,0.637254901960784
7,"10",26,39,30,65,0.4
7,"15",27,33,30,60,0.45
7,"20",27,43,30,70,0.385714285714286
7,"25",31,30,30,61,0.508196721311475
7,"27",45,53,30,98,0.459183673469388
7,"28",36,47,30,83,0.433734939759036
7,"29",44,52,30,96,0.458333333333333
