trial,chorus_location,male_chosen,pulses_per_call,ranked_pulses_per_call,number_calls,number_males,test_chorus_number,female_choice_test
1,1,0,15.48,4,42,7,2,1
1,2,0,14.38,5,16,7,2,1
1,3,0,10.5,7,18,7,2,1
1,4,0,15.69,3,13,7,2,1
1,5,0,18.74,1,23,7,2,1
1,7,1,18.17,2,18,7,2,1
1,8,0,13.32,6,31,7,2,1
2,1,1,14.98,3,85,8,2,2
2,2,0,14.47,5,34,8,2,2
2,3,0,11.09,8,46,8,2,2
2,4,0,14.64,4,39,8,2,2
2,5,0,20.68,1,40,8,2,2
2,6,0,14.32,6,53,8,2,2
2,7,0,16.79,2,38,8,2,2
2,8,0,12.78,7,36,8,2,2
3,1,0,11.44,6,293,8,2,3
3,2,0,14.69,2,167,8,2,3
3,3,0,9.61,8,93,8,2,3
3,4,0,14.15,3,61,8,2,3
3,5,0,17.49,1,187,8,2,3
3,6,0,13.06,5,71,8,2,3
3,7,1,13.51,4,124,8,2,3
3,8,0,9.92,7,139,8,2,3
4,1,0,22.63,2,8,8,4,1
4,2,0,12.44,8,18,8,4,1
4,3,0,22.44,3,9,8,4,1
4,4,0,19.08,5,12,8,4,1
4,5,0,16.88,7,8,8,4,1
4,6,1,28.75,1,4,8,4,1
4,7,0,17.67,6,9,8,4,1
4,8,0,22.2,4,5,8,4,1
5,1,0,21.2,3,10,8,4,2
5,2,1,14.5,8,20,8,4,2
5,3,0,21,4,12,8,4,2
5,4,0,19.43,6,14,8,4,2
5,5,0,20.43,5,7,8,4,2
5,6,0,33,1,2,8,4,2
5,7,0,17.67,7,12,8,4,2
5,8,0,22.44,2,9,8,4,2
6,1,0,19.14,5,101,8,4,3
6,2,0,12.2,8,164,8,4,3
6,3,0,24.56,2,86,8,4,3
6,4,1,17.04,7,122,8,4,3
6,5,0,19.53,4,36,8,4,3
6,6,0,26.69,1,29,8,4,3
6,7,0,17.76,6,90,8,4,3
6,8,0,19.89,3,62,8,4,3
7,1,0,29.31,1,13,8,5,1
7,2,0,18.21,5,47,8,5,1
7,3,0,25.39,2,28,8,5,1
7,4,0,10.77,8,71,8,5,1
7,5,0,18.59,4,27,8,5,1
7,6,0,21.05,3,21,8,5,1
7,7,1,15.58,7,36,8,5,1
7,8,0,18,6,22,8,5,1
8,1,0,27.17,1,23,8,5,2
8,2,0,18.73,5,55,8,5,2
8,3,0,23.66,2,44,8,5,2
8,4,0,10.3,8,74,8,5,2
8,5,0,20.12,3,25,8,5,2
8,6,0,18.87,4,39,8,5,2
8,7,1,14.74,7,46,8,5,2
8,8,0,17.64,6,22,8,5,2
9,1,0,26.87,1,30,8,5,3
9,2,0,15.56,6,62,8,5,3
9,3,0,21.66,2,53,8,5,3
9,4,0,7.86,8,70,8,5,3
9,5,0,19.03,4,29,8,5,3
9,6,0,18.1,5,51,8,5,3
9,7,1,12.33,7,52,8,5,3
9,8,0,19.94,3,16,8,5,3
10,1,0,24.49,1,37,8,5,4
10,2,0,14.38,6,61,8,5,4
10,3,0,20.22,2,54,8,5,4
10,4,0,7.48,8,65,8,5,4
10,5,0,19.33,3,27,8,5,4
10,6,1,17.64,4,55,8,5,4
10,7,0,14.02,7,50,8,5,4
10,8,0,17.38,5,16,8,5,4
11,2,0,10.22,4,18,5,5,5
11,3,0,15,1,11,5,5,5
11,4,0,4.67,5,3,5,5,5
11,6,0,10.95,3,20,5,5,5
11,7,1,12.83,2,12,5,5,5
12,2,0,9.72,3,68,4,5,6
12,3,0,14.79,1,48,4,5,6
12,6,0,8.93,4,58,4,5,6
12,7,1,11.31,2,42,4,5,6
13,2,0,14.19,2,63,5,6,1
13,3,0,12.67,4,57,5,6,1
13,6,0,18.74,1,27,5,6,1
13,7,0,13.87,3,15,5,6,1
13,8,1,9.44,5,63,5,6,1
14,2,0,14.83,3,30,5,6,2
14,3,0,12.44,4,32,5,6,2
14,6,1,19.93,1,15,5,6,2
14,7,0,16.23,2,13,5,6,2
14,8,0,9.24,5,38,5,6,2
15,1,0,16.05,3,37,5,11,1
15,2,1,16.39,2,44,5,11,1
15,3,0,15.73,4,71,5,11,1
15,5,0,17.48,1,50,5,11,1
15,7,0,13.82,5,71,5,11,1
16,1,0,14.65,3,23,4,11,2
16,3,0,14.6,4,30,4,11,2
16,5,0,15.59,1,27,4,11,2
16,7,1,14.67,2,24,4,11,2
17,1,0,14.5,2,14,4,11,3
17,3,1,16.19,1,16,4,11,3
17,5,0,14.39,3,18,4,11,3
17,7,0,12.61,4,23,4,11,3
18,1,0,15.53,4,99,7,12,1
18,3,0,16.47,3,163,7,12,1
18,4,0,13.9,6,90,7,12,1
18,5,0,19.73,1,102,7,12,1
18,6,0,16.8,2,130,7,12,1
18,7,0,14.83,5,144,7,12,1
18,8,1,13.88,7,126,7,12,1
19,1,0,13.66,5,183,6,13,1
19,2,0,14.6,3,132,6,13,1
19,3,0,15.94,2,250,6,13,1
19,4,1,23.25,1,111,6,13,1
19,5,0,14.11,4,210,6,13,1
19,7,0,12.87,6,311,6,13,1
20,1,0,12.41,6,44,6,13,2
20,2,0,15.33,2,3,6,13,2
20,3,1,14.95,3,61,6,13,2
20,4,0,21.34,1,41,6,13,2
20,5,0,13.49,4,53,6,13,2
20,7,0,12.96,5,71,6,13,2
21,1,1,13.43,3.5,21,5,13,3
21,3,0,13.67,2,39,5,13,3
21,4,0,21,1,19,5,13,3
21,5,0,13.43,3.5,28,5,13,3
21,7,0,12.44,5,43,5,13,3
22,1,0,15.4,5,5,7,68,1
22,2,0,12.07,7,27,7,68,1
22,3,0,22.33,2,21,7,68,1
22,4,1,29.95,1,20,7,68,1
22,6,0,16.67,4,21,7,68,1
22,7,0,15.39,6,18,7,68,1
22,8,0,18.46,3,13,7,68,1
23,2,0,11.39,6,75,6,68,2
23,3,0,21.33,2,48,6,68,2
23,4,0,19.81,3,57,6,68,2
23,6,1,42,1,3,6,68,2
23,7,0,14.03,5,66,6,68,2
23,8,0,17.96,4,23,6,68,2
24,2,0,12.3,5,27,5,68,3
24,3,0,22.67,1,12,5,68,3
24,4,0,19,2,21,5,68,3
24,6,1,17.52,3,29,5,68,3
24,7,0,17.05,4,22,5,68,3
25,1,0,24.5,1,12,8,69,1
25,2,0,18.31,7,13,8,69,1
25,3,0,18,8,5,8,69,1
25,4,0,23,2.5,2,8,69,1
25,5,0,18.43,6,14,8,69,1
25,6,1,21.33,4,12,8,69,1
25,7,0,23,2.5,5,8,69,1
25,8,0,20.45,5,11,8,69,1
26,1,0,24.81,1,48,7,69,2
26,2,0,19.11,5,45,7,69,2
26,3,1,23.42,2,33,7,69,2
26,5,0,18.82,6,55,7,69,2
26,6,0,15.19,7,57,7,69,2
26,7,0,21.92,3,12,7,69,2
26,8,0,20.34,4,44,7,69,2
27,1,0,23.08,1,110,7,69,3
27,2,0,18.63,5,112,7,69,3
27,3,0,18.87,4,92,7,69,3
27,5,0,17.59,6,140,7,69,3
27,6,0,13.32,7,130,7,69,3
27,7,0,20.95,3,21,7,69,3
27,8,1,21.97,2,102,7,69,3
28,1,0,22.17,2,121,7,69,4
28,2,0,18.48,4,102,7,69,4
28,3,0,16.14,5,99,7,69,4
28,5,0,16,6,168,7,69,4
28,6,0,12.63,7,110,7,69,4
28,7,0,24,1,1,7,69,4
28,8,1,20.18,3,114,7,69,4
29,1,0,23.76,1,25,7,69,5
29,2,0,18.92,4,24,7,69,5
29,3,0,14.81,6,16,7,69,5
29,5,0,16.14,5,37,7,69,5
29,6,0,13.22,7,23,7,69,5
29,7,0,20.31,3,13,7,69,5
29,8,1,22.23,2,26,7,69,5
30,1,0,23.49,1,55,7,69,6
30,2,0,18.41,4,49,7,69,6
30,3,0,13.57,7,7,7,69,6
30,5,0,16.91,5,76,7,69,6
30,6,1,16.62,6,77,7,69,6
30,7,0,23.15,2,13,7,69,6
30,8,0,19.14,3,73,7,69,6
31,1,0,22.32,2,47,6,69,7
31,2,0,18.98,3,42,6,69,7
31,5,0,16.97,5,62,6,69,7
31,6,0,14.23,6,64,6,69,7
31,7,1,33.75,1,4,6,69,7
31,8,0,18.52,4,56,6,69,7
32,1,0,23,3,10,7,70,1
32,2,0,19.56,6,9,7,70,1
32,3,0,24.71,1,7,7,70,1
32,4,1,21,4,12,7,70,1
32,6,0,16.23,7,13,7,70,1
32,7,0,19.73,5,11,7,70,1
32,8,0,23.25,2,4,7,70,1
33,1,0,22.53,1,19,8,70,2
33,2,0,18.72,5,18,8,70,2
33,3,0,20.63,3,16,8,70,2
33,4,0,19.24,4,21,8,70,2
33,5,1,21.55,2,22,8,70,2
33,6,0,14.09,8,22,8,70,2
33,7,0,17.57,7,23,8,70,2
33,8,0,18,6,5,8,70,2
34,1,0,22.87,2,79,8,70,3
34,2,0,19.37,6,78,8,70,3
34,3,0,20.62,4,87,8,70,3
34,4,0,19.37,7,82,8,70,3
34,5,0,21.14,3,91,8,70,3
34,6,0,14.67,8,96,8,70,3
34,7,1,20.25,5,109,8,70,3
34,8,0,25,1,23,8,70,3
35,1,0,19.36,3,53,8,70,4
35,2,0,17.22,6,50,8,70,4
35,3,0,19.16,4,62,8,70,4
35,4,1,19.14,5,51,8,70,4
35,5,0,19.53,2,55,8,70,4
35,6,0,12.71,8,62,8,70,4
35,7,0,14.77,7,78,8,70,4
35,8,0,23.43,1,7,8,70,4
36,1,0,17.26,6,35,8,70,5
36,2,0,18.03,4,36,8,70,5
36,3,0,19.78,3,40,8,70,5
36,4,1,17.27,5,55,8,70,5
36,5,0,20.49,2,35,8,70,5
36,6,0,13.23,8,44,8,70,5
36,7,0,14.28,7,47,8,70,5
36,8,0,23.33,1,9,8,70,5
37,1,0,6,8,1,8,70,6
37,2,0,17.09,4,23,8,70,6
37,3,0,19.9,1,29,8,70,6
37,4,0,14.79,6,34,8,70,6
37,5,0,19.28,3,18,8,70,6
37,6,1,15.96,5,25,8,70,6
37,7,0,13.4,7,30,8,70,6
37,8,0,19.33,2,18,8,70,6
38,2,0,18.64,5,104,5,72,1
38,3,1,20.97,3,114,5,72,1
38,4,0,30.33,1,9,5,72,1
38,5,0,23.02,2,88,5,72,1
38,8,0,18.84,4,69,5,72,1
39,2,0,16.88,6,17,7,73,1
39,3,0,18,2,4,7,73,1
39,4,0,17.2,4,25,7,73,1
39,5,1,28.59,1,17,7,73,1
39,6,0,17.15,5,33,7,73,1
39,7,0,15.27,7,30,7,73,1
39,8,0,17.21,3,14,7,73,1
40,2,0,16.83,4,6,6,73,2
40,4,0,13.53,5,17,6,73,2
40,5,0,18.29,2,7,6,73,2
40,6,0,17.81,3,16,6,73,2
40,7,1,18.64,1,14,6,73,2
40,8,0,13.19,6,16,6,73,2
41,2,0,15.17,5,6,6,73,3
41,4,0,15.38,4,8,6,73,3
41,5,0,21.67,1,3,6,73,3
41,6,0,16.91,3,11,6,73,3
41,7,1,20.56,2,9,6,73,3
41,8,0,13.89,6,9,6,73,3
42,1,0,14.71,3,34,6,75,1
42,3,0,13.64,6,33,6,75,1
42,4,0,14.33,4,21,6,75,1
42,6,0,22.43,1,7,6,75,1
42,7,1,14.3,5,44,6,75,1
42,8,0,17.93,2,30,6,75,1
43,2,0,13.5,4,42,5,76,1
43,5,0,9.56,5,18,5,76,1
43,6,0,19.75,1,4,5,76,1
43,7,1,17.17,2,41,5,76,1
43,8,0,14.92,3,24,5,76,1
44,2,0,13.26,3,34,5,76,2
44,5,0,13.4,2,5,5,76,2
44,6,1,18.47,1,17,5,76,2
44,7,0,13.23,4,47,5,76,2
44,8,0,12.72,5,25,5,76,2
45,2,0,12,4,19,5,77,1
45,3,0,9.42,5,48,5,77,1
45,4,0,14.95,2,38,5,77,1
45,6,0,20.67,1,3,5,77,1
45,7,1,14.54,3,57,5,77,1
