gate_distance,change_distance,percent_correct
2,0.385963984,52.38095238
2,0.798243695,64.58333333
2,0.991225687,86.9047619
2,1.499996393,77.67857143
2,1.999995191,89.58333333
2,2.499993989,81.25
2,2.999992786,98.51190476
2,4.00876229,91.36904762
3,0.605261702,50
3,0.789471786,55.95238095
3,0.999997595,70.53571429
3,1.508768302,88.39285714
3,1.999995191,94.04761905
3,2.508765897,91.66666667
3,3.008764695,96.42857143
3,4.017534199,99.70238095
4,1.499996393,62.5
4,1.999995191,85.41666667
4,2.517537806,79.76190476
4,3.008764695,85.41666667
4,4.017534199,81.54761905
5,1.499996393,49.70238095
5,2.017539008,49.70238095
5,2.499993989,65.17857143
5,3.008764695,78.86904762
5,4.017534199,71.13095238
