gate_distance,change_distance,percent_correct
2,0.224186208,41.87173727
2,0.43820203,75.13791172
2,0.625955083,57.06487805
2,0.822513888,89.73499063
2,1.028702375,77.8961462
2,1.516623432,89.54123834
2,2.018499804,81.60383127
2,2.5159733,98.29485108
2,3.016613776,83.23559893
2,4.015242705,87.83480203
3,0.416007415,47.24144368
3,0.617690035,59.43753902
3,0.820557054,78.45873591
3,1.021261257,85.01670389
3,1.523086133,76.78255328
3,2.018345317,80.71360064
3,2.515303856,94.43718499
3,3.015171899,74.92677966
3,4.013440358,77.44877794
5,0.625028162,51.72349424
5,0.817827786,62.73132801
5,1.026385071,64.54268666
5,1.51157686,60.4603709
5,2.018808777,83.38429255
5,2.532039935,90.87883723
5,3.024312372,77.59875896
5,4.021396433,73.2956557
4,0.615939184,49.34825848
4,0.827998172,71.33817821
4,1.02710601,68.69709629
4,1.515593519,83.60636743
4,2.019735699,88.72567636
4,2.514273944,88.50231408
4,3.017592193,88.87372629
4,4.023404762,84.86865397
5,2.022027254,51.93076413
5,2.50819746,53.48657573
5,3.014811429,72.84957484
5,4.022529336,79.8240137
