green_red_ratio,p_green,green_duration
0.248738943,0.561959654,22
0.34707578,0.458213256,22
0.498736049,0.518731988,22
0.702759288,0.518731988,22
1.409073248,0.590778098,22
2.005047715,0.65129683,22
2.853092518,0.668587896,22
3.981038508,0.760806916,22
0.246313648,0.414985591,16
0.350493217,0.443804035,16
0.498736049,0.455331412,16
0.702759288,0.449567723,16
1.409073248,0.544668588,16
1.985497766,0.602305476,16
2.797726367,0.694524496,16
4.059822045,0.780979827,16
0.251188119,0.325648415,11
0.353944304,0.325648415,11
0.49387319,0.377521614,11
0.702759288,0.409221902,11
1.395334268,0.573487032,11
2.005047715,0.685878963,11
2.797726367,0.780979827,11
4.020237294,0.867435159,11
0.248738943,0.216138329,8
0.34707578,0.259365994,8
0.50364679,0.308357349,8
0.702759288,0.478386167,8
1.436958378,0.625360231,8
1.436958378,0.625360231,8
1.985497766,0.755043228,8
2.825273821,0.792507205,8
4.059822045,0.873198847,8
0.248738943,0.170028818,5.6
0.353944304,0.178674352,5.6
0.498736049,0.273775216,5.6
0.695907127,0.314121037,5.6
1.381729248,0.654178674,5.6
2.005047715,0.740634006,5.6
2.797726367,0.850144092,5.6
3.981038508,0.896253602,5.6
0.246313648,0.121037464,4
0.34707578,0.170028818,4
0.489057746,0.236311239,4
0.702759288,0.337175793,4
1.422947507,0.65129683,4
1.966138436,0.746397695,4
3.981038508,0.876080692,4
0.248738943,0.129682997,2.8
0.34707578,0.149855908,2.8
0.49387319,0.190201729,2.8
0.682402588,0.317002882,2.8
1.436958378,0.636887608,2.8
1.985497766,0.752161383,2.8
2.853092518,0.766570605,2.8
3.981038508,0.778097983,2.8
0.248738943,0.097982709,2
0.350493217,0.11815562,2
0.498736049,0.187319885,2
0.702759288,0.276657061,2
1.409073248,0.550432277,2
2.005047715,0.642651297,2
2.797726367,0.662824207,2
4.059822045,0.685878963,2
