filename,authors,year,sub_estimate,citation,data_source,preference,presentation,task,species_1,species_2,common_name,stimulus,modality,stimulus_type,weber_reported,exclude,source,model,search_date
abolinsabols2021,Abolins-Abols et al.,2020,,"Abolins-Abols, M., Hauber, M.E., 2019. Proximate Predictors of Variation in Egg Rejection Behavior by Hosts of Avian Brood Parasites. https://doi.org/10.1101/788505",Fig 2,innate,sequential,difference,Turdus,reticulata,American Robin,Clutch size,vision,number,yes,,Database,binomial,2022
agrillo2008,Agrillo et al.,2008,,"Agrillo, C., Dadda, M., Serena, G., Bisazza, A., 2008. Do fish count? Spontaneous discrimination of quantity in female mosquitofish. Anim Cogn 11, 495–503. https://doi.org/10.1007/s10071-008-0140-9",Fig 2; Fig 3,innate,simultaneous,rank,Gambusia,affinis,Mosquitofish,No. conspecifics,vision,number,yes,,Review,gaussian,2022
agrillo2012,Agrillo et al.,2012,,"Agrillo, C., Piffer, L., Bisazza, A., Butterworth, B., 2012. Evidence for two numerical systems that are similar in humans and guppies. PLoS ONE 7, e31923. https://doi.org/10.1371/journal.pone.0031923",Figure 4,innate,simultaneous,rank,Poecilia,reticulata,Guppy,No. conspecifics,vision,number,yes,,Review,gaussian,2022
baker2012,Baker et al.,2011,,"Baker, J.M., Shivik, J., Jordan, K.E., 2011. Tracking of food quantity by coyotes (Canis latrans). Behavioural Processes 88, 72–75. https://doi.org/10.1016/j.beproc.2011.08.006",Fig. 1,innate,simultaneous,rank,Canis,latrans,Coyote,Quantity of food,vision,size,yes,,Review,binomial,2022
bartsch1993,Bartsch and Schmidt,1993,,"Bartsch, E., Schmidt, S., 1993. Psychophysical frequency modulation thresholds in a FM-bat, Tadarida brasiliensis. Hearing Research 67, 128–138. https://doi.org/10.1016/0378-5955(93)90240-2",Fig 2,conditioned,sequential,difference,Tadarida,brasiliensis,Mexican free-tailed bat,Sound freq.,hearing,frequency,no,,Database,binomial,2022
bee2012,Bee et al. ,2012,,"Bee, M.A., Vélez, A., Forester, J.D., 2012. Sound level discrimination by gray treefrogs in the presence and absence of chorus-shaped noise. J Acoust Soc Am 131, 4188–4195. https://doi.org/10.1121/1.3699271",Email,innate,sequential,rank,Hyla,chrysoscelis,Cope's gray treefrog,Call amplitude,hearing,intensity,yes,,Review,binomial,2022
benozzo2022,Benozzo et al.,2022,,"Benozzo, D., Ferrucci, L., Genovesio, A., 2022. Effects of contraction bias on the decision process in the macaque prefrontal cortex. Cereb Cortex. https://doi.org/10.1093/cercor/bhac253",Fig 2C,conditioned,sequential,rank,Macaca,mulatta,Rhesus macaque,distance,vision,size,yes,,Database,binomial,2022
beran2012,Beran,2012,,"Beran, M.J., 2012. Quantity judgments of auditory and visual stimuli by chimpanzees (Pan troglodytes). J Exp Psychol Anim Behav Process 38, 23. https://doi.org/10.1037/a0024965",Email,innate,sequential,rank,Pan,troglodytes,Chimpanzee,Quantity,hearing,number,yes,,Review,binomial,2022
bizo2006,Bizo et al.,2006,,"Bizo, L.A., Chu, J.Y.M., Sanabria, F., Killeen, P.R., 2006. The failure of Weber’s law in time perception and production. Behav Process 71, 201–210. https://doi.org/10.1016/j.beproc.2005.11.006",Fig 1,conditioned,sequential,rank,Columba,livia,Rock dove,Duration,vision,duration,yes,,Review,binomial,2022
bogale2011,Bogale et al.,2011,,"Bogale, B.A., Kamata, N., Mioko, K., Sugita, S., 2011. Quantity discrimination in jungle crows, Corvus macrorhynchos. Animal Behaviour 82, 635–641. https://doi.org/10.1016/j.anbehav.2011.05.025",Figure 3,conditioned,simultaneous,rank,Corvus,macrorhynchos,Large-billed crow,Quantity,vision,number,yes,response plot,Review,binomial,2022
camarillo2012,Camarillo et al.,2012,,"Camarillo, L., Luna, R., Nácher, V., Romo, R., 2012. Coding perceptual discrimination in the somatosensory thalamus. PNAS 109, 21093–21098. https://doi.org/10.1073/pnas.1219636110",Email,conditioned,sequential,rank,Macaca,mulatta,Rhesus macaque,Vibrotactile freq.,touch,frequency,no,,Database,binomial,2022
caves2023,Caves and Kelley,2023,,"Caves, E.M., Kelley, L.A., 2023. Proportional processing of a visual mate choice signal in the green swordtail, Xiphophorus hellerii. Ecol Lett. https://doi.org/10.1111/ele.14179","Data for Caves & Kelley: Proportional processing of a visual mate choice signal in the green swordtail, Xiphophorus hellerii, 2022. https://doi.org/10.6084/m9.figshare.21701645.v3",innate,simultaneous,rank,Xiphophorus,hellerii,Green swordtail,Body size,vision,size,yes,,Database,gaussian,2022
colbert2004,Colbert et al.,2004,,"Colbert, C.L., Garcea, M., Spector, A.C., 2004. Effects of Selective Lingual Gustatory Deafferentation on Suprathreshold Taste Intensity Discrimination of NaCl in Rats. Behavioral Neuroscience 118, 1409–1417. https://doi.org/10.1037/0735-7044.118.6.1409",Figure 1,conditioned,sequential,difference,Rattus,norvegicus,Brown rat,Salt conc.,taste,concentration,no,AIC plot,Database,binomial,2022
