Subject,Test_Frequency_kHz,DeltaF_percent,F_plus_deltaF,Condition,Performance,N_trials
R1,20.72,5.2,21.8,pre_ICMS,0.78,200
R2,20.72,4.8,21.71,pre_ICMS,0.74,200
R3,7.72,4.1,8.04,pre_ICMS,0.79,200
R4,12.65,5.6,13.36,pre_ICMS,0.77,200
R5,28.79,4.2,30,pre_ICMS,0.77,200
R6,20.72,7.1,22.19,pre_ICMS,0.78,200
R7,33.93,7.9,36.61,pre_ICMS,0.78,200
R8,24.42,8.1,26.4,pre_ICMS,0.76,200
R9,12.65,6.3,13.45,pre_ICMS,0.75,200
R10,14.91,6.9,15.94,pre_ICMS,0.8,200
R1,20.72,5.2,21.8,pre_control,0.79,200
R2,20.72,4.8,21.71,pre_control,0.78,200
R3,7.72,4.1,8.04,pre_control,0.76,200
R4,12.65,5.6,13.36,pre_control,0.78,200
R5,28.79,4.2,30,pre_control,0.76,200
R6,20.72,7.1,22.19,pre_control,0.76,200
R7,33.93,7.9,36.61,pre_control,0.8,200
R8,24.42,8.1,26.4,pre_control,0.79,200
R9,12.65,6.3,13.45,pre_control,0.77,200
R10,14.91,6.9,15.94,pre_control,0.81,200
