,Discriminability,t.opt,pCR,pFA,pCD,pMD
Call_Duration,0.221110687,4.6,63.18421053,36.81578947,83.29868421,16.70131579
Call_Interval,0.186789377,24.1,67.44736842,32.55263158,62.93815789,37.06184211
Call_Period,0.176216008,22,67.15789474,32.84210526,61.53026316,38.46973684
Pulse1_Duration,0.233395216,6.3,78.76315789,21.23684211,62.32763158,37.67236842
Pulse1_Rise,0.12806889,42.2,53.57894737,46.42105263,65.71578947,34.28421053
Pulse1_Fall,0.113714022,35.6,47.60526316,52.39473684,70.48815789,29.51184211
Pulse1_Interval,0.252041243,11.5,84.68899522,15.31100478,55.82328784,44.17671216
Pulse1_Period,0.284644999,6.4,87.55980861,12.44019139,59.00772185,40.99227815
Pulse2_Duration,0.251012153,6.6,84.95481127,15.04518873,60.13742507,39.86257493
Pulse2_Rise,0.107679793,75.2,67.70334928,32.29665072,48.72742255,51.27257745
Pulse2_Fall,0.100281021,33.4,51.96703881,48.03296119,64.96059329,35.03940671
Pulse2_Interval,0.216389187,6.7,75.50175215,24.49824785,60.21644573,39.78355427
Pulse2_Period,0.282420572,5.1,90.09238611,9.90761389,59.00821596,40.99178404
Pulse3_Duration,0.220776208,6.6,82.0643517,17.9356483,59.28265672,40.71734328
Pulse3_Rise,0.101309516,34.6,47.78591908,52.21408092,68.95022093,31.04977907
Pulse3_Fall,0.118705542,34.5,61.61197834,38.38802166,57.66190279,42.33809721
Pulse1_Max_Freq,0.219025925,1.8,70.92105263,29.07894737,72.17763158,27.82236842
Pulse2_Max_Freq,0.284557854,1.7,78.60180755,21.39819245,72.30233516,27.69766484
Pulse3_Max_Freq,0.28150743,1.7,81.1404906,18.8595094,69.33685446,30.66314554
Mean_Pulse_Rate,0.233322408,4.6,69.21052632,30.78947368,66.90921053,33.09078947
