"ID","Recording","Temp","Call","Call_Duration","Call_Interval","Call_Period","Pulse1_Duration","Pulse1_Rise","Pulse1_Fall","Pulse1_Interval","Pulse1_Period","Pulse2_Duration","Pulse2_Rise","Pulse2_Fall","Pulse2_Interval","Pulse2_Period","Pulse3_Duration","Pulse3_Rise","Pulse3_Fall","Pulse3_Interval","Pulse3_Period","Pulse4_Duration","Pulse4_Rise","Pulse4_Fall","Pulse4_Interval","Pulse4_Period","Pulse5_Duration","Pulse5_Rise","Pulse5_Fall","Pulse5_Interval","Pulse5_Period","Pulse6_Duration","Pulse6_Rise","Pulse6_Fall","Num_Pulses","Pulse1_Max_Freq","Pulse2_Max_Freq","Pulse3_Max_Freq","Pulse4_Max_Freq","Pulse5_Max_Freq","Pulse6_Max_Freq"
"B24","1002",22.8,1,0.034,1.69,1.724,0.034,0.008,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5124.9,NA,NA,NA,NA,NA
"B24","1002",22.8,2,0.325,1.905,2.231,0.034,0.027,0.008,0.057,0.092,0.037,0.016,0.021,0.06,0.096,0.038,0.013,0.025,0.066,0.105,0.035,0.015,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5038.8,5081.8,5081.8,5081.8,NA,NA
"B24","1002",22.8,3,0.224,1.219,1.443,0.033,0.024,0.009,0.055,0.087,0.039,0.01,0.029,0.057,0.096,0.04,0.009,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5038.8,5124.9,5124.9,NA,NA,NA
"B24","1002",22.8,4,0.399,1.706,2.106,0.034,0.016,0.018,0.051,0.085,0.035,0.007,0.028,0.058,0.093,0.034,0.006,0.028,0.059,0.093,0.033,0.007,0.026,0.069,0.102,0.025,0.008,0.017,NA,NA,NA,NA,NA,5,5081.8,5168,5168,5168,5124.9,NA
"B24","1002",22.8,5,0.306,1.795,2.101,0.036,0.029,0.007,0.049,0.085,0.037,0.015,0.022,0.056,0.093,0.036,0.01,0.026,0.058,0.094,0.033,0.009,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5038.8,5081.8,5124.9,5124.9,NA,NA
"B24","1002",22.8,6,0.319,2.348,2.667,0.033,0.021,0.012,0.056,0.089,0.038,0.01,0.028,0.056,0.094,0.034,0.009,0.025,0.066,0.1,0.035,0.011,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5124.9,5124.9,5081.8,5124.9,NA,NA
"B24","1002",22.8,7,0.222,1.629,1.851,0.038,0.016,0.022,0.057,0.095,0.04,0.012,0.028,0.054,0.094,0.034,0.008,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5081.8,5124.9,5124.9,NA,NA,NA
"B24","1002",22.8,8,0.316,1.911,2.227,0.038,0.013,0.025,0.05,0.088,0.035,0.009,0.026,0.06,0.095,0.035,0.008,0.027,0.064,0.099,0.034,0.008,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5081.8,5124.9,5124.9,5124.9,NA,NA
"B24","1002",22.8,9,0.318,2.137,2.455,0.036,0.03,0.006,0.056,0.092,0.039,0.017,0.022,0.056,0.095,0.038,0.01,0.028,0.056,0.094,0.038,0.009,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5038.8,5081.8,5081.8,5124.9,NA,NA
"B24","1002",22.8,10,0.311,2.009,2.32,0.035,0.026,0.009,0.055,0.09,0.035,0.019,0.016,0.059,0.094,0.035,0.011,0.024,0.059,0.094,0.034,0.022,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4694.2,4909.6,4952.6,4995.7,NA,NA
