fish_ID,date,time,spot,background,stimulus,correct,number_incorrect_pecks,time_detection_seconds,contrast
S,30/10/2017,11:30:00,dark,2bright,50-50-50,1,0,0.28,0.146998711
E,11/10/2017,10:00:00,bright,2bright,75-71-69,1,0,0.78,0.129079105
H,30/10/2017,11:30:00,dark,2bright,50-50-50,1,0,0.81,0.146998711
H,20/10/2017,10:00:00,bright,2bright,85-75-75,1,0,0.82,0.217397242
M,31/10/2017,16:00:00,dark,2bright,30-30-30,1,0,0.82,0.369359853
H,30/10/2017,11:30:00,bright,2bright,plain,1,0,0.84,0.419240736
E,11/10/2017,10:00:00,dark,2bright,48-48-48,1,0,0.91,0.197223484
H,13/11/2017,14:00:00,bright,2bright,75-71-69,1,0,0.97,0.129079105
J,20/10/2017,10:00:00,dark,1dark,45-46-46,1,2,1.02,0.030932475
E,20/10/2017,13:00:00,bright,2bright,85-75-75,0,3,1.06,0.217397242
E,11/01/2017,15:00:00,dark,2bright,58-54-52,1,0,1.09,0.11571537
T,20/10/2017,13:00:00,dark,1dark,36-36-36,1,0,1.1,0.162338153
H,23/10/2017,12:00:00,bright,2bright,85-75-75,1,0,1.1,0.217397242
C,27/10/2017,10:00:00,bright,1dark,85-75-75,1,0,1.12,0.36590405
M,31/10/2017,16:00:00,bright,2bright,plain,1,0,1.12,0.419240736
E,31/10/2017,16:00:00,dark,2bright,50-50-50,1,0,1.16,0.146998711
C,24/10/2017,10:00:00,dark,1dark,30-30-30,1,0,1.16,0.227340804
H,11/09/2017,15:00:00,bright,2bright,plain,1,0,1.18,0.419240736
J,24/10/2017,10:00:00,dark,1dark,36-36-36,1,0,1.19,0.162338153
H,30/10/2017,11:30:00,dark,2bright,48-48-48,1,0,1.19,0.197223484
H,11/01/2017,15:00:00,dark,2bright,30-30-30,1,0,1.19,0.369359853
H,11/02/2017,14:00:00,dark,2bright,30-30-30,1,0,1.21,0.369359853
H,20/10/2017,13:00:00,bright,2bright,plain,1,0,1.21,0.419240736
G,11/10/2017,10:00:00,dark,1dark,30-30-30,1,0,1.22,0.227340804
G,11/02/2017,14:00:00,dark,1dark,30-30-30,1,0,1.22,0.227340804
M,11/10/2017,10:00:00,bright,2bright,plain,1,0,1.22,0.419240736
M,11/09/2017,15:00:00,bright,2bright,75-71-69,1,0,1.25,0.129079105
T,14/11/2017,14:00:00,bright,1dark,66-58-55,1,0,1.25,0.148335617
G,11/09/2017,15:00:00,dark,1dark,30-30-30,1,0,1.25,0.227340804
H,11/01/2017,15:00:00,bright,2bright,plain,1,0,1.25,0.419240736
T,11/08/2017,14:00:00,bright,1dark,55-55-55,1,0,1.28,0.098101105
E,24/10/2017,10:00:00,bright,2bright,75-71-69,1,0,1.28,0.129079105
T,11/07/2017,13:00:00,dark,1dark,36-36-36,1,0,1.28,0.162338153
E,31/10/2017,16:00:00,dark,2bright,48-48-48,1,0,1.28,0.197223484
H,11/10/2017,10:00:00,dark,2bright,48-48-48,1,0,1.28,0.197223484
G,11/06/2017,14:00:00,bright,1dark,63-58-55,1,0,1.29,0.119903714
H,11/03/2017,15:00:00,dark,2bright,30-30-30,1,0,1.29,0.369359853
H,20/10/2017,10:00:00,bright,2bright,plain,1,2,1.29,0.419240736
J,20/10/2017,10:00:00,dark,1dark,47-47-48,0,0,90,0.022288655
N,11/10/2017,10:00:00,dark,1dark,36-36-36,1,0,1.31,0.162338153
R,11/08/2017,14:00:00,bright,1dark,66-58-55,1,0,1.32,0.148335617
N,11/09/2017,15:00:00,dark,1dark,36-36-36,1,0,1.32,0.162338153
T,11/08/2017,14:00:00,dark,1dark,40-40-40,1,1,1.34,0.125392552
T,11/07/2017,13:00:00,dark,1dark,40-40-40,1,0,1.34,0.125392552
C,27/10/2017,10:00:00,dark,1dark,36-36-36,1,0,1.34,0.162338153
E,30/10/2017,11:30:00,dark,2bright,48-48-48,1,0,1.35,0.197223484
E,24/10/2017,10:00:00,bright,2bright,85-75-75,1,0,1.35,0.217397242
M,11/08/2017,14:00:00,bright,2bright,85-75-75,1,0,1.35,0.217397242
T,13/11/2017,15:00:00,dark,1dark,30-30-30,1,0,1.35,0.227340804
G,11/03/2017,14:00:00,bright,1dark,55-55-55,1,0,1.37,0.098101105
E,11/09/2017,15:00:00,bright,2bright,75-71-69,1,0,1.37,0.129079105
N,11/02/2017,15:00:00,dark,1dark,30-30-30,1,0,1.37,0.227340804
E,20/10/2017,10:00:00,dark,2bright,58-54-52,1,0,1.38,0.11571537
E,20/10/2017,10:00:00,bright,2bright,75-71-69,1,0,1.38,0.129079105
H,11/06/2017,14:00:00,bright,2bright,85-75-75,1,0,1.38,0.217397242
G,11/06/2017,15:00:00,bright,1dark,66-58-55,1,0,1.4,0.148335617
R,14/11/2017,14:00:00,dark,1dark,30-30-30,1,0,1.4,0.227340804
T,13/11/2017,15:00:00,dark,1dark,45-45-45,1,0,1.41,0.07566594
M,25/10/2017,11:00:00,dark,2bright,50-50-50,1,0,1.41,0.146998711
C,23/10/2017,12:00:00,bright,1dark,85-75-75,1,0,1.43,0.36590405
T,13/11/2017,15:00:00,bright,1dark,55-55-55,1,0,1.44,0.098101105
E,30/10/2017,11:30:00,dark,2bright,50-50-50,1,0,1.44,0.146998711
G,11/01/2017,15:00:00,bright,1dark,66-58-55,1,0,1.44,0.148335617
N,11/09/2017,15:00:00,dark,1dark,30-30-30,1,0,1.44,0.227340804
T,30/10/2017,11:30:00,dark,1dark,30-30-30,1,0,1.46,0.227340804
N,11/01/2017,14:00:00,bright,1dark,55-55-55,1,0,1.47,0.098101105
G,11/02/2017,14:00:00,bright,1dark,63-58-55,1,0,1.47,0.119903714
T,23/10/2017,10:00:00,bright,1dark,66-58-55,1,0,1.47,0.148335617
R,11/09/2017,15:00:00,dark,1dark,30-30-30,1,0,1.47,0.227340804
H,11/07/2017,13:00:00,dark,2bright,30-30-30,1,0,1.47,0.369359853
T,24/10/2017,10:00:00,dark,1dark,36-36-36,1,0,1.49,0.162338153
O,11/10/2017,10:00:00,bright,2bright,75-71-69,1,0,1.5,0.129079105
M,30/10/2017,11:30:00,dark,2bright,50-50-50,1,0,1.5,0.146998711
R,14/11/2017,14:00:00,dark,1dark,36-36-36,1,0,1.5,0.162338153
T,20/10/2017,13:00:00,dark,1dark,30-30-30,1,0,1.5,0.227340804
M,11/01/2017,14:00:00,bright,2bright,plain,1,0,1.5,0.419240736
R,11/07/2017,14:00:00,bright,1dark,63-58-55,1,0,1.53,0.119903714
T,11/06/2017,14:00:00,bright,1dark,63-58-55,1,0,1.53,0.119903714
H,11/09/2017,15:00:00,dark,2bright,50-50-50,1,0,1.53,0.146998711
H,11/09/2017,15:00:00,dark,2bright,48-48-48,1,0,1.53,0.197223484
M,25/10/2017,11:00:00,bright,2bright,plain,1,0,1.53,0.419240736
C,20/10/2017,13:00:00,bright,1dark,63-58-55,1,0,1.54,0.119903714
M,20/10/2017,13:00:00,bright,2bright,75-71-69,1,0,1.56,0.129079105
E,20/10/2017,13:00:00,dark,2bright,50-50-50,1,0,1.56,0.146998711
G,31/10/2017,15:00:00,bright,1dark,66-58-55,1,0,1.56,0.148335617
J,31/10/2017,15:00:00,bright,1dark,66-58-55,1,0,1.56,0.148335617
G,11/07/2017,15:00:00,dark,1dark,36-36-36,1,0,1.56,0.162338153
H,11/03/2017,15:00:00,dark,2bright,48-48-48,1,0,1.56,0.197223484
O,30/10/2017,11:30:00,dark,2bright,48-48-48,1,0,1.56,0.197223484
O,11/03/2017,15:00:00,dark,2bright,48-48-48,1,0,1.56,0.197223484
N,11/09/2017,15:00:00,bright,1dark,85-75-75,1,0,1.56,0.36590405
T,20/10/2017,13:00:00,bright,1dark,85-75-75,1,0,1.56,0.36590405
O,30/10/2017,11:30:00,bright,2bright,plain,1,0,1.56,0.419240736
N,11/08/2017,14:00:00,bright,1dark,53-53-53,0,3,1.57,0.058437472
M,11/09/2017,15:00:00,bright,2bright,70-66-64,1,0,1.57,0.099135488
E,23/10/2017,11:00:00,bright,2bright,85-75-75,1,0,1.57,0.217397242
M,31/10/2017,16:00:00,bright,2bright,85-75-75,1,0,1.57,0.217397242
O,13/11/2017,15:00:00,dark,2bright,30-30-30,1,0,1.57,0.369359853
O,11/06/2017,14:00:00,dark,2bright,50-50-50,1,0,1.59,0.146998711
T,27/10/2017,10:00:00,dark,1dark,30-30-30,1,0,1.59,0.227340804
T,11/02/2017,15:00:00,dark,1dark,30-30-30,1,0,1.59,0.227340804
M,11/07/2017,13:00:00,dark,2bright,30-30-30,1,0,1.59,0.369359853
M,11/06/2017,14:00:00,dark,2bright,50-50-50,1,0,1.6,0.146998711
C,13/11/2017,15:00:00,dark,1dark,30-30-30,1,0,1.6,0.227340804
E,11/08/2017,14:00:00,dark,2bright,50-50-50,1,0,1.62,0.146998711
H,24/10/2017,10:00:00,bright,2bright,plain,1,0,1.62,0.419240736
N,16/11/2017,10:00:00,bright,1dark,63-58-55,1,0,1.63,0.119903714
B,24/10/2017,10:00:00,dark,2bright,50-50-50,1,0,1.65,0.146998711
H,31/10/2017,16:00:00,dark,2bright,48-48-48,1,0,1.65,0.197223484
M,27/10/2017,10:00:00,bright,2bright,plain,1,0,1.65,0.419240736
G,31/10/2017,15:00:00,bright,1dark,55-55-55,1,0,1.66,0.098101105
N,14/11/2017,14:00:00,bright,1dark,63-58-55,1,0,1.66,0.119903714
T,11/02/2017,15:00:00,bright,1dark,63-58-55,1,0,1.66,0.119903714
E,11/07/2017,13:00:00,bright,2bright,75-71-69,1,0,1.66,0.129079105
G,11/03/2017,14:00:00,bright,1dark,85-75-75,1,0,1.66,0.36590405
E,13/11/2017,15:00:00,dark,2bright,30-30-30,1,0,1.66,0.369359853
H,20/10/2017,10:00:00,dark,2bright,30-30-30,1,0,1.66,0.369359853
R,13/11/2017,15:00:00,dark,1dark,45-45-45,1,0,1.68,0.07566594
G,24/10/2017,10:00:00,bright,1dark,63-58-55,1,0,1.68,0.119903714
O,11/07/2017,13:00:00,bright,2bright,75-71-69,1,0,1.68,0.129079105
M,27/10/2017,10:00:00,dark,2bright,50-50-50,1,0,1.68,0.146998711
M,11/10/2017,10:00:00,dark,2bright,48-48-48,1,0,1.68,0.197223484
J,11/06/2017,15:00:00,bright,1dark,55-55-55,1,0,1.69,0.098101105
R,15/11/2017,15:00:00,dark,1dark,36-36-36,1,0,1.69,0.162338153
M,11/06/2017,14:00:00,bright,2bright,85-75-75,1,0,1.69,0.217397242
M,11/02/2017,15:00:00,bright,2bright,85-75-75,1,0,1.69,0.217397242
O,11/07/2017,13:00:00,dark,2bright,48-48-48,1,0,1.71,0.197223484
R,14/11/2017,14:00:00,bright,1dark,85-75-75,1,0,1.72,0.36590405
M,11/08/2017,14:00:00,bright,2bright,plain,1,0,1.73,0.419240736
O,11/10/2017,10:00:00,bright,2bright,70-66-64,1,0,1.75,0.099135488
J,11/02/2017,14:00:00,bright,1dark,63-58-55,1,0,1.75,0.119903714
N,11/07/2017,13:00:00,bright,1dark,63-58-55,1,0,1.75,0.119903714
H,11/10/2017,10:00:00,bright,2bright,75-71-69,1,0,1.75,0.129079105
T,24/10/2017,10:00:00,bright,1dark,66-58-55,1,0,1.75,0.148335617
C,11/09/2017,14:00:00,dark,1dark,36-36-36,1,0,1.75,0.162338153
T,11/03/2017,15:00:00,dark,1dark,36-36-36,1,0,1.75,0.162338153
E,11/01/2017,15:00:00,dark,2bright,30-30-30,1,0,1.75,0.369359853
O,31/10/2017,15:00:00,dark,2bright,30-30-30,1,0,1.75,0.369359853
H,20/10/2017,13:00:00,dark,2bright,50-50-50,1,0,1.78,0.146998711
M,11/09/2017,15:00:00,dark,2bright,48-48-48,1,0,1.78,0.197223484
F,11/10/2017,10:00:00,bright,2bright,plain,1,0,1.79,0.419240736
J,11/06/2017,15:00:00,bright,1dark,63-58-55,1,0,1.81,0.119903714
E,24/10/2017,10:00:00,dark,2bright,50-50-50,1,0,1.81,0.146998711
M,24/10/2017,10:00:00,dark,2bright,50-50-50,1,0,1.81,0.146998711
M,23/10/2017,11:00:00,dark,2bright,50-50-50,1,0,1.81,0.146998711
G,11/08/2017,15:00:00,bright,1dark,66-58-55,1,0,1.81,0.148335617
C,14/11/2017,15:00:00,bright,1dark,85-75-75,1,0,1.81,0.36590405
T,14/11/2017,14:00:00,bright,1dark,63-58-55,1,0,1.82,0.119903714
J,11/02/2017,14:00:00,dark,1dark,30-30-30,1,0,1.82,0.227340804
B,11/07/2017,15:00:00,dark,2bright,30-30-30,1,0,1.82,0.369359853
C,11/07/2017,14:00:00,dark,1dark,40-40-40,1,0,1.84,0.125392552
R,14/11/2017,14:00:00,dark,1dark,40-40-40,1,0,1.84,0.125392552
N,11/08/2017,14:00:00,bright,1dark,66-58-55,1,0,1.84,0.148335617
E,13/11/2017,15:00:00,bright,2bright,85-75-75,1,0,1.84,0.217397242
