ID,Background,Scenario,Stimulus,dbl_mean,Michelson Contrast
30-30-30 stimulus,Bright Background,Detection,background,0.132128062,
30-30-30 background,Bright Background,Detection,30-30-30,0.286900326,0.3694
48-48-48 stimulus,Bright Background,Detection,background,0.205370761,
48-48-48 background,Bright Background,Detection,48-48-48,0.306280382,0.1972
50-50-50 stimulus,Bright Background,Detection,background,0.214663812,
50-50-50 background,Bright Background,Detection,50-50-50,0.288650344,0.147
58-54-52 stimulus,Bright Background,Detection,background,0.256298576,
58-54-52 background,Bright Background,Detection,58-54-52,0.323375812,0.1157
60-56-54 stimulus,Bright Background,Detection,background,0.237234396,
60-56-54 background,Bright Background,Detection,60-56-54,0.268265963,0.0614
63-58-55 stimulus,Bright Background,Detection,background,0.262299086,
63-58-55 background,Bright Background,Detection,63-58-55,0.283844302,0.0394
66-62-60 stimulus,Bright Background,Detection,background,0.280795826,
66-62-60 background,Bright Background,Detection,66-62-60,0.269237197,0.021
68-64-62 stimulus,Bright Background,Detection,background,0.350384329,
68-64-62 background,Bright Background,Detection,68-64-62,0.319827864,0.0456
70-66-64 stimulus,Bright Background,Detection,background,0.321791788,
70-66-64 background,Bright Background,Detection,70-66-64,0.263744375,0.0991
75-71-69 stimulus,Bright Background,Detection,background,0.414154466,
75-71-69 background,Bright Background,Detection,75-71-69,0.319460148,0.1291
85-75-75 stimulus,Bright Background,Detection,background,0.453033271,
85-75-75 background,Bright Background,Detection,85-75-75,0.291232044,0.2174
White stimulus,Bright Background,Detection,background,0.75383863,
White background,Bright Background,Detection,plain,0.30847393,0.4192
30-30-30 stimulus,Dark Background,Detection,background,0.129220994,
30-30-30 background,Dark Background,Detection,30-30-30,0.205262811,0.2273
36-36-36 stimulus,Dark Background,Detection,background,0.126039767,
36-36-36 background,Dark Background,Detection,36-36-36,0.174892566,0.1623
40-40-40 stimulus,Dark Background,Detection,background,0.179130608,
40-40-40 background,Dark Background,Detection,40-40-40,0.230494552,0.1254
45-45-45 stimulus,Dark Background,Detection,background,0.17122136,
45-45-45 background,Dark Background,Detection,45-45-45,0.199253704,0.0757
45-46-46 stimulus,Dark Background,Detection,background,0.167762711,
45-46-46 background,Dark Background,Detection,45-46-46,0.178472627,0.0309
47-47-48 stimulus,Dark Background,Detection,background,0.165964518,
47-47-48 background,Dark Background,Detection,47-47-48,0.173531426,0.0223
51-51-51 stimulus,Dark Background,Detection,background,0.213218706,
51-51-51 background,Dark Background,Detection,51-51-51,0.207205715,0.0143
53-53-53 stimulus,Dark Background,Detection,background,0.194191567,
53-53-53 background,Dark Background,Detection,53-53-53,0.172748516,0.0584
55-55-55 stimulus,Dark Background,Detection,background,0.242700898,
55-55-55 background,Dark Background,Detection,55-55-55,0.199336537,0.0981
63-58-55 stimulus,Dark Background,Detection,background,0.318617686,
63-58-55 background,Dark Background,Detection,63-58-55,0.250391385,0.1199
66-58-55 stimulus,Dark Background,Detection,background,0.284827183,
66-58-55 background,Dark Background,Detection,66-58-55,0.211242396,0.1483
85-75-75 stimulus,Dark Background,Detection,background,0.493441547,
85-75-75 background,Dark Background,Detection,85-75-75,0.229071205,0.3659
