"filename","k_estimate","k_lower_95","k_upper_95","AIC_k","AIC_k_95","AIC_0","AIC_1","Estimate","Std..Error","test.statistic","p.value","R2","model","n_pairs"
"agrillo2008",1.2215,0.9432,1.5244,-40.2067,-38.2067,-31.8892,-38.853,0.338265649231036,0.091243707114907,3.70727647885946,0.00263326422900862,0.514598936831682,"gaussian",14
"agrillo2012",0.8452,0.5394,1.0384,-71.6538,-69.6538,-67.3792,-70.3683,0.0666036165477606,0.0167774356517589,3.96983293098061,0.000898201539113863,0.467099373092253,"gaussian",10
"bartsch1993",4.2924,-5.9112,11.0255,150.5617,152.5617,151.0089,150.8367,3376046.89179828,524359.548060858,6.43841979093026,1.20723727430954e-10,0.877763686866052,"binomial",22
"bee2012",5.2908,0.2686,14.1245,310.8169,312.8169,313.055,312.2369,2919843657.13111,866692622.046113,3.36894947857968,0.000754552580212019,0.0639703186790389,"binomial",6
"benozzo2022",0.4031,0.3708,0.4353,6746.5765,6748.5765,7035.167,7421.7688,0.270329909010219,0.00388043848043943,69.6647841147082,0,1,"binomial",15
"beran2012",1.4389,0.679,2.3196,273.9835,275.9835,279.9977,274.6611,2.13127271591966,0.629940983675757,3.38328950036479,0.000716230893523714,0.0724518670530587,"binomial",10
"bizo2006",1.0394,0.9192,1.1657,151.1871,153.1871,179.0209,151.403,3.74254933613824,0.948807147670232,3.94447843835068,7.99738485968118e-05,0.50128534313113,"binomial",110
"bogale2011",2.9174,1.9561,7.3821,36.6658,38.6658,58.156,48.3472,43.0518867659621,9.72738062922419,4.42584580648775,9.60651282172402e-06,0.992917298168639,"binomial",5
"camarillo2012",0.2329,0.0996,0.3669,246.0468,248.0468,252.1586,304.5135,0.496300352773969,0.0193030559141559,25.7109731734242,8.81219478310054e-146,0.99999999999995,"binomial",12
"caves2023",2.0105,0.9463,3.5191,320.9287,322.9287,327.1813,322.7293,129.997983979385,41.3782658222155,3.14169725086909,0.00178738083100245,0.0220985257754962,"gaussian",11
"colbert2004",1.2409,1.2092,1.2711,663.3021,665.3021,1676.9464,752.5548,2.45114333843309,0.0451521731117547,54.2862761525639,0,1,"binomial",6
"dehnhardt1994",0.9633,0.8666,1.0641,67.4015,69.4015,217.5723,67.6754,9.26875318316487,0.894627359768114,10.3604624673756,3.75143782848053e-25,0.999994694568795,"binomial",29
"dixit2022",1.2417,0.2726,2.0755,99.5097,101.5097,102.4134,99.6715,27.3961371470522,9.50872258670212,2.88115852547486,0.00396216305811022,0.124611431223357,"binomial",119
"firzlaff2006",-2.4305,-2.6138,-2.2644,5309.8815,5311.8815,5758.6726,5755.3531,0.219405676776652,0.0116270741645522,18.870239724243,2.00387427323114e-79,0.129142991596611,"binomial",51
"frech2012",1.1982,1.0375,1.3469,228.7909,230.7909,277.7577,231.761,3.19827769623022,0.312230359215241,10.2433270879512,1.26799385386088e-24,0.941442093158876,"binomial",57
"hampson2010_duration",0.6472,0.2382,1.1306,37.0862,39.0862,42.226,38.2276,0.796497894250369,0.151561966599689,5.25526233341976,1.47813624138745e-07,0.996442614742469,"binomial",9
"hampson2010_intensity",1.1358,0.9219,1.3561,42.788,44.788,63.188,43.6119,2.72409964854313,0.518124316665345,5.25761783595773,1.45933386304509e-07,0.977967143969751,"binomial",10
"hemingway2018",2.6949,1.9929,3.5872,584.1858,586.1858,606.739,596.4275,5.37419030622889,1.14604623304217,4.68933115548329,2.74099494901124e-06,0.0705284120093341,"binomial",15
"iwanir2019_volatiles",0.996,0.9785,1.0134,-84.1843,-82.1843,50.562,-84.0748,0.456554385163639,0.0162545728738868,28.0877503645206,1.89107924671433e-31,0.99999991897922,"gaussian",14
"johnston2023",-0.4036,-0.4575,-0.3507,9487.7297,9489.7297,9613.638,10727.2353,10.2096201638968,0.302959851611843,33.6995813457736,5.86288225193714e-249,0.239015983658241,"binomial",36
"klink2004",0.8928,0.8695,0.9155,1098.4661,1100.4661,2076.9145,1145.5962,3.01184351463563,0.0737952705874826,40.813503232096,0,0.999999903843363,"binomial",143
"kloepper2010",0.6931,-2.1356,3.5546,172.8833,174.8833,173.0039,172.9069,13.7715382874747,2.09388280971071,6.57703393122431,4.79925287475068e-11,0.935839086027714,"binomial",12
"kwek2023",1.6721,1.3026,2.9771,-59.7073,-57.7073,-58.6976,-56.5888,0.00285661438688855,0.00160888592797723,1.77552325942712,0.0783894227779531,0.0264637735714768,"gaussian",114
"labarbera2020",1.5816,1.3764,1.8176,1021.0983,1023.0983,1065.3004,1036.5698,27.9899007218317,4.42716545057091,6.32230736220221,2.57686168872202e-10,0.0788656329412273,"binomial",15
"limousin2009",-8.4526,-13.878,3.463,7.9481,9.9481,9.562,9.7051,3.44367920204103e-15,4.68290944420756e-14,0.0735371726288798,0.94137866465597,0.999999999999991,"binomial",4
"liu2005",-0.6085,-2.5781,1.2843,32.703,34.703,32.9204,34.173,0.098195666240254,0.025480680655763,3.85373010897356,0.000116331827132329,0.956441287168569,"binomial",9
"mayrhofer2013",1.5651,1.1188,2.0557,257.0404,259.0404,289.1647,260.3289,12.8680479933943,0.532636166871657,24.1591705440741,5.98080324783026e-129,0.999999999644805,"binomial",8
"musall2014",0.6502,0.4613,0.8375,100.578,102.578,120.8041,107.3675,0.174348795986492,0.0159281339952958,10.9459649220671,6.94739968351324e-28,0.999958742199028,"binomial",14
"nachev2013_bats",1.9124,1.8262,2,1811.4718,1813.4718,2693.8984,2050.8553,54.0490498751773,1.60640660603695,33.6459335214749,3.57554220321101e-248,0.99999998847554,"binomial",15
"nachev2013_batscr",1.3919,1.3645,1.42,4608.3624,4610.3624,11105.9331,5145.4335,11.2865844815387,0.173239736356724,65.1500903828328,0,0.999999999999042,"binomial",16
