"filename","reference","authors","year","sub_estimate","citation","data_source","preference","presentation","task","species_1","species_2","common_name","stimulus","modality","stimulus_type","weber_reported","exclude","source","model","search_date","k_estimate","k_lower_95","k_upper_95","AIC_k","AIC_k_95","AIC_0","AIC_1","Estimate","Std..Error","test.statistic","p.value","R2","n_pairs","species","initial","species_short","species_full","standard_error"
"abolinsabols2021","Abolins-Abols et al. 2020","Abolins-Abols et al.",2020,"","Abolins-Abols, M., Hauber, M.E., 2019. Proximate Predictors of Variation in Egg Rejection Behavior by Hosts of Avian Brood Parasites. https://doi.org/10.1101/788505","Fig 2","innate","sequential","difference","Turdus","reticulata","American Robin","Clutch size","vision","number","yes","","Database","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turdus reticulata","T.","T. reticulata","Turdus reticulata",NA
"agrillo2008","Agrillo et al. 2008","Agrillo et al.",2008,"","Agrillo, C., Dadda, M., Serena, G., Bisazza, A., 2008. Do fish count? Spontaneous discrimination of quantity in female mosquitofish. Anim Cogn 11, 495–503. https://doi.org/10.1007/s10071-008-0140-9","Fig 2; Fig 3","innate","simultaneous","rank","Gambusia","affinis","Mosquitofish","No. conspecifics","vision","number","yes","","Review","gaussian",2022,1.2215,0.9432,1.5244,-40.2067,-38.2067,-31.8892,-38.853,0.338265649231036,0.091243707114907,3.70727647885946,0.00263326422900862,0.514598936831682,14,"Gambusia affinis","G.","G. affinis","Gambusia affinis",0.148265306122449
"agrillo2012","Agrillo et al. 2012","Agrillo et al.",2012,"","Agrillo, C., Piffer, L., Bisazza, A., Butterworth, B., 2012. Evidence for two numerical systems that are similar in humans and guppies. PLoS ONE 7, e31923. https://doi.org/10.1371/journal.pone.0031923","Figure 4","innate","simultaneous","rank","Poecilia","reticulata","Guppy","No. conspecifics","vision","number","yes","","Review","gaussian",2022,0.8452,0.5394,1.0384,-71.6538,-69.6538,-67.3792,-70.3683,0.0666036165477606,0.0167774356517589,3.96983293098061,0.000898201539113863,0.467099373092253,10,"Poecilia reticulata","P.","P. reticulata","Poecilia reticulata",0.127295918367347
"baker2012","Baker et al. 2011","Baker et al.",2011,"","Baker, J.M., Shivik, J., Jordan, K.E., 2011. Tracking of food quantity by coyotes (Canis latrans). Behavioural Processes 88, 72–75. https://doi.org/10.1016/j.beproc.2011.08.006","Fig. 1","innate","simultaneous","rank","Canis","latrans","Coyote","Quantity of food","vision","size","yes","","Review","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canis latrans","C.","C. latrans","Canis latrans",NA
"bartsch1993","Bartsch and Schmidt 1993","Bartsch and Schmidt",1993,"","Bartsch, E., Schmidt, S., 1993. Psychophysical frequency modulation thresholds in a FM-bat, Tadarida brasiliensis. Hearing Research 67, 128–138. https://doi.org/10.1016/0378-5955(93)90240-2","Fig 2","conditioned","sequential","difference","Tadarida","brasiliensis","Mexican free-tailed bat","Sound freq.","hearing","frequency","no","","Database","binomial",2022,4.2924,-5.9112,11.0255,150.5617,152.5617,151.0089,150.8367,3376046.89179828,524359.548060858,6.43841979093026,1.20723727430954e-10,0.877763686866052,22,"Tadarida brasiliensis","T.","T. brasiliensis","Tadarida brasiliensis",4.32058673469388
"bee2012","Bee et al.  2012","Bee et al. ",2012,"","Bee, M.A., Vélez, A., Forester, J.D., 2012. Sound level discrimination by gray treefrogs in the presence and absence of chorus-shaped noise. J Acoust Soc Am 131, 4188–4195. https://doi.org/10.1121/1.3699271","Email","innate","sequential","rank","Hyla","chrysoscelis","Cope's gray treefrog","Call amplitude","hearing","intensity","yes","","Review","binomial",2022,5.2908,0.2686,14.1245,310.8169,312.8169,313.055,312.2369,2919843657.13111,866692622.046113,3.36894947857968,0.000754552580212019,0.0639703186790389,6,"Hyla chrysoscelis","H.","H. chrysoscelis","Hyla chrysoscelis",3.53466836734694
"benozzo2022","Benozzo et al. 2022","Benozzo et al.",2022,"","Benozzo, D., Ferrucci, L., Genovesio, A., 2022. Effects of contraction bias on the decision process in the macaque prefrontal cortex. Cereb Cortex. https://doi.org/10.1093/cercor/bhac253","Fig 2C","conditioned","sequential","rank","Macaca","mulatta","Rhesus macaque","distance","vision","size","yes","","Database","binomial",2022,0.4031,0.3709,0.4353,6746.5765,6748.5765,7035.167,7421.7688,0.270321056587785,0.00388031217329736,69.6647703883256,0,1,15,"Macaca mulatta","M.","M. mulatta","Macaca mulatta",0.0164285714285714
"beran2012","Beran 2012","Beran",2012,"","Beran, M.J., 2012. Quantity judgments of auditory and visual stimuli by chimpanzees (Pan troglodytes). J Exp Psychol Anim Behav Process 38, 23. https://doi.org/10.1037/a0024965","Email","innate","sequential","rank","Pan","troglodytes","Chimpanzee","Quantity","hearing","number","yes","","Review","binomial",2022,1.4389,0.679,2.3196,273.9835,275.9835,279.9977,274.6611,2.13127271591966,0.629940983675757,3.38328950036479,0.000716230893523714,0.0724518670530587,10,"Pan troglodytes","P.","P. troglodytes","Pan troglodytes",0.418520408163265
"bizo2006","Bizo et al. 2006","Bizo et al.",2006,"","Bizo, L.A., Chu, J.Y.M., Sanabria, F., Killeen, P.R., 2006. The failure of Weber’s law in time perception and production. Behav Process 71, 201–210. https://doi.org/10.1016/j.beproc.2005.11.006","Fig 1","conditioned","sequential","rank","Columba","livia","Rock dove","Duration","vision","duration","yes","","Review","binomial",2022,1.0394,0.9192,1.1657,151.1871,153.1871,179.0209,151.403,3.74254933613824,0.948807147670232,3.94447843835068,7.99738485968118e-05,0.50128534313113,110,"Columba livia","C.","C. livia","Columba livia",0.0628826530612245
"bogale2011","Bogale et al. 2011","Bogale et al.",2011,"","Bogale, B.A., Kamata, N., Mioko, K., Sugita, S., 2011. Quantity discrimination in jungle crows, Corvus macrorhynchos. Animal Behaviour 82, 635–641. https://doi.org/10.1016/j.anbehav.2011.05.025","Figure 3","conditioned","simultaneous","rank","Corvus","macrorhynchos","Large-billed crow","Quantity","vision","number","yes","response plot","Review","binomial",2022,2.9174,1.9561,7.3821,36.6658,38.6658,58.156,48.3472,43.0518867659621,9.72738062922419,4.42584580648775,9.60651282172402e-06,0.992917298168639,5,"Corvus macrorhynchos","C.","C. macrorhynchos","Corvus macrorhynchos",1.38418367346939
