"tree_name","tree_label","n","default_name","k_species","se","ci.ub","ci.lb"
"Apis mellifera","Western honey bee (<i>A. mellifera</i>)",1,"Apis_mellifera_(species_in_domain_Eukaryota)",0.387400000000021,0.36063179998528,1.09422533965102,-0.319425339650981
"Bombus impatiens","Common eastern bumble bee (<i>B. impatiens</i>)",1,"Bombus_impatiens",-0.543900000000041,0.507389120642613,0.45056440260693,-1.53836440260701
"Caenorhabditis elegans","Roundworm (<i>C. elegans</i>)",1,"Caenorhabditis_elegans",0.608599999999979,0.507119773290523,1.60253649149752,-0.385336491497562
"Carassius auratus","Goldfish (<i>C. auratus</i>)",1,"Carassius_auratus",0.810799999999979,0.513148048179879,1.81655169316957,-0.194951693169607
"Columba livia","Rock dove (<i>C. livia</i>)",2,"Columba_livia",0.748065666910403,0.443633109990408,1.6175705848411,-0.121439251020294
"Corvus corone","Carrion crow (<i>C. corone</i>)",1,"Corvus_corone",-0.79100000000002,0.507773063905393,0.204216917574105,-1.78621691757415
"Gambusia affinis","Mosquitofish (<i>G. affinis</i>)",1,"Gambusia_affinis",0.834099999999979,0.52827436144739,1.86949872239276,-0.2012987223928
"Glossophaga commissarisi","Commissaris's long-tongued bat (<i>G. commissarisi</i>)",1,"Glossophaga_commissarisi",1.00449999999998,0.507239246855082,1.99867065538116,0.0103293446187961
"Glossophaga soricina","Pallas's long-tongued bat (<i>G. soricina</i>)",1,"Glossophaga_soricina",1.52499999999996,0.508976370774102,2.5225753556991,0.527424644300815
"Gnathonemus petersii","Peters's elephantnose fish (<i>G. petersii</i>)",1,"Gnathonemus_petersii",0.892899999999979,0.512112340504186,1.8966217434267,-0.110821743426738
"Gryllus assimilis","Jamaican field cricket (<i>G. assimilis</i>)",1,"Gryllus_assimilis",-0.0367000000000208,0.819293933219535,1.56908660186243,-1.64248660186247
"Hyla chrysoscelis","Cope's gray treefrog (<i>H. chrysoscelis</i>)",1,"Dryophytes_chrysoscelis",1.19419999999998,0.519383222830679,2.21217241092245,0.176227589077507
"Hyla versicolor","Eastern gray treefrog (<i>H. versicolor</i>)",2,"Dryophytes_versicolor",0.565646985103832,0.53037944063428,1.60517158688752,-0.473877616679856
"Linepithema humile","Argentine ant (<i>L. humile</i>)",1,"Linepithema_humile",0.474099999999979,0.507054922410193,1.46790938610771,-0.51970938610775
"Macaca mulatta","Rhesus macaque (<i>M. mulatta</i>)",4,"Macaca_mulatta",-0.0804483501284786,0.40294971789977,0.709318584535646,-0.870215284792603
"Mus musculus","House mouse (<i>M. musculus</i>)",1,"Mus_musculus",0.505399999999979,0.507177388103476,1.49944941445589,-0.488649414455927
"Pan troglodytes","Chimpanzee (<i>P. troglodytes</i>)",1,"Pan",1.05149999999998,0.657457627541281,2.34009327134204,-0.237093271342081
"Phyllostomus discolor","Pale spear-nosed bat (<i>P. discolor</i>)",1,"Phyllostomus_discolor",-2.81790000000002,0.514816306855947,-1.80887857990844,-3.8269214200916
"Poecilia reticulata","Guppy (<i>P. reticulata</i>)",1,"Poecilia_reticulata",0.457799999999979,0.52277667392114,1.48242345284305,-0.566823452843096
"Prinia subflava","Tawny-flanked prinia (<i>P. subflava</i>)",1,"Prinia_subflava",0.854299999999979,0.684558834328163,2.1960106605819,-0.487410660581942
"Rattus norvegicus","Brown rat (<i>R. norvegicus</i>)",4,"Rattus_norvegicus",0.652945253448309,0.424119769584376,1.48420472696511,-0.178314220068494
"Rhinecanthus aculeatus","Lagoon triggerfish (<i>R. aculeatus</i>)",1,"Rhinecanthus_aculeatus",1.40349999999998,0.511878709306168,2.40676383469292,0.400236165307042
"Trachops cirrhosus","Fringe-lipped bat (<i>T. cirrhosus</i>)",1,"Trachops_cirrhosus",2.30749999999998,0.650002738492234,3.58148195729717,1.03351804270279
"Trochilidae","Hummingbird (<i>Trochilidae</i>)",1,"Trochilidae",1.33909999999998,0.514218490954509,2.34694972245535,0.331250277544607
"Xiphophorus hellerii","Green swordtail (<i>X. hellerii</i>)",1,"Xiphophorus_hellerii",1.62309999999998,0.829370673914005,3.24863665070514,-0.00243665070518206
"Zalophus californianus","California sea lion (<i>Z. californianus</i>)",1,"Zalophus_californianus",0.575899999999979,0.509538626300845,1.57457735628165,-0.42277735628169
