"a","b","abs_diff","mean_ab","response","N"
45.8,40,5.8,42.9,0.89,30
43.8,40,3.8,41.9,0.79,30
42.6,40,2.6,41.3,0.78,30
41.7,40,1.7,40.85,0.73,30
41.3,40,1.3,40.65,0.51,30
46.8,40,6.8,43.4,0.84,30
44.9,40,4.9,42.45,0.83,30
43,40,3,41.5,0.79,30
42.3,40,2.3,41.15,0.67,30
41.4,40,1.4,40.7,0.52,30
41.1,40,1.1,40.55,0.43,30
47.3,40,7.3,43.65,0.85,30
44.7,40,4.7,42.35,0.92,30
42.9,40,2.9,41.45,0.8,30
42,40,2,41,0.72,30
41.4,40,1.4,40.7,0.64,30
41,40,1,40.5,0.53,30
40.7,40,0.700000000000003,40.35,0.5,30
47.8,40,7.8,43.9,0.91,30
45.3,40,5.3,42.65,0.83,30
43.6,40,3.6,41.8,0.14,30
42.5,40,2.5,41.25,0.7,30
41.8,40,1.8,40.9,0.57,30
