"a","b","abs_diff","mean_ab","response"
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,0
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,0
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,0
75,79,4,77,1
73,79,6,76,1
77,79,2,78,0
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,0
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,0
75,79,4,77,1
73,79,6,76,1
77,79,2,78,0
75,79,4,77,1
73,79,6,76,1
77,79,2,78,0
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,0
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,0
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,0
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,0
75,79,4,77,0
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,0
75,79,4,77,0
73,79,6,76,0
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,0
77,79,2,78,1
75,79,4,77,1
73,79,6,76,0
77,79,2,78,1
75,79,4,77,0
73,79,6,76,1
77,79,2,78,0
75,79,4,77,0
73,79,6,76,1
77,79,2,78,1
75,79,4,77,0
73,79,6,76,1
77,79,2,78,1
75,79,4,77,0
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,0
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,0
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,0
73,79,6,76,0
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,0
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
77,79,2,78,1
75,79,4,77,1
73,79,6,76,1
83,85,2,84,1
81,85,4,83,0
79,85,6,82,1
83,85,2,84,0
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,0
81,85,4,83,1
79,85,6,82,1
83,85,2,84,0
81,85,4,83,1
79,85,6,82,0
83,85,2,84,0
81,85,4,83,1
79,85,6,82,0
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,0
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,0
81,85,4,83,1
79,85,6,82,1
83,85,2,84,0
81,85,4,83,1
79,85,6,82,1
83,85,2,84,0
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,0
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,0
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,0
81,85,4,83,0
79,85,6,82,0
83,85,2,84,1
81,85,4,83,1
79,85,6,82,0
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,0
79,85,6,82,1
83,85,2,84,0
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,0
81,85,4,83,1
79,85,6,82,0
83,85,2,84,1
81,85,4,83,1
79,85,6,82,0
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,0
81,85,4,83,0
79,85,6,82,1
83,85,2,84,0
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,0
81,85,4,83,1
79,85,6,82,1
83,85,2,84,0
81,85,4,83,1
79,85,6,82,1
83,85,2,84,1
81,85,4,83,0
79,85,6,82,1
83,85,2,84,1
81,85,4,83,1
79,85,6,82,0
83,85,2,84,1
81,85,4,83,1
79,85,6,82,1
83,85,2,84,0
81,85,4,83,0
