"a","b","abs_diff","mean_ab","response","N"
8,16,8,12,0.493164730006835,2926
8,24,16,16,0.731502423263328,3095
8,32,24,20,0.854763491005996,3002
8,40,32,24,0.898390659514042,3169
8,48,40,28,0.907763769077638,3014
16,8,8,12,0.888628762541806,2990
16,24,8,20,0.526092628832355,3066
16,32,16,24,0.77289624873268,2959
16,40,24,28,0.880647336480108,2966
16,48,32,32,0.902503293807642,3036
24,8,16,16,0.913174656386188,2983
24,16,8,20,0.823328785811733,2932
24,32,8,28,0.659006421088206,2959
24,40,16,32,0.859637774902975,3092
24,48,24,36,0.885540128682696,2953
32,8,24,20,0.931282722513089,3056
32,16,16,24,0.885629531970995,3034
32,24,8,28,0.745420088439672,3166
32,40,8,36,0.797875871224693,3013
32,48,16,40,0.865024630541872,3045
40,8,32,24,0.932146456163923,2977
40,16,24,28,0.89538661468486,3078
40,24,16,32,0.805835010060362,2982
40,32,8,36,0.531625040544924,3083
40,48,8,44,0.858094603597602,3002
48,8,40,28,0.934630102040816,3136
48,16,32,32,0.910065721203736,2891
48,24,24,36,0.8127425614489,3092
48,32,16,40,0.575638506876228,3054
48,40,8,44,0.282821685173089,3062
