"a","b","abs_diff","mean_ab","response","N"
0.457679904,1,0.542320096,0.728839952,0.99789901,2
0.54788682,1,0.45211318,0.77394341,0.977541273,2
0.744541534,1,0.255458466,0.872270767,0.983208087,2
0.859229888,1,0.140770112,0.929614944,0.936854873,2
0.906450016,1,0.093549984,0.953225008,0.909032478,2
1.009264114,1,0.00926411400000005,1.004632057,0.12619643,2
0.954920993,1,0.045079007,0.9774604965,0.816250462,2
1.082624789,1,0.082624789,1.0413123945,0.217116643,2
1.101484609,1,0.101484609,1.0507423045,0.252374623,2
1.160338117,1,0.160338117,1.0801690585,0.347012629,2
1.290652028,1,0.290652028,1.145326014,0.428641267,2
1.244679952,1,0.244679952,1.122339976,0.437932842,2
1.336064902,1,0.336064902,1.168032451,0.497301238,2
1.458849902,1,0.458849902,1.229424951,0.601207561,2
1.356992604,1,0.356992604,1.178496302,0.612366754,2
1.431567949,1,0.431567949,1.2157839745,0.640189149,2
1.481879531,1,0.481879531,1.2409397655,0.71070511,2
1.651089422,1,0.651089422,1.325544711,0.714382201,2
1.563506706,1,0.563506706,1.281753353,0.732959537,2
1.869788121,1,0.869788121,1.4348940605,0.799717003,2
1.707879981,1,0.707879981,1.3539399905,0.818305967,2
1.868060529,1,0.868060529,1.4340302645,0.842404755,2
1.705068046,1,0.705068046,1.352534023,0.894401525,2
2.005294947,1,1.005294947,1.5026474735,0.899917162,2
1.970088765,1,0.970088765,1.4850443825,0.885075063,2
1.011619493,2,0.988380507,1.5058097465,0.981450944,2
1.231903947,2,0.768096053,1.6159519735,0.91841127,2
1.44864185,2,0.55135815,1.724320925,0.907327666,2
1.299918304,2,0.700081696,1.649959152,0.901724811,2
1.643296443,2,0.356703557,1.8216482215,0.89994441,2
1.556502401,2,0.443497599,1.7782512005,0.89250301,2
1.702348539,2,0.297651461,1.8511742695,0.864692244,2
1.860888114,2,0.139111886,1.930444057,0.812753619,2
1.962288004,2,0.0377119960000001,1.981144002,0.764515343,2
2.029129973,2,0.0291299729999999,2.0145649865,0.354256337,2
2.135316108,2,0.135316108,2.067658054,0.497150062,2
2.210538167,2,0.210538167,2.1052690835,0.563954044,2
2.371120902,2,0.371120902,2.185560451,0.656730246,2
2.412523874,2,0.412523874,2.206261937,0.690132238,2
2.497511297,2,0.497511297,2.2487556485,0.75693622,2
2.584349846,2,0.584349846,2.292174923,0.844156083,2
2.236812723,4,1.763187277,3.1184063615,0.981706781,2
2.877049945,4,1.122950055,3.4385249725,0.946524389,2
3.091264517,4,0.908735483,3.5456322585,0.931699733,2
3.200805486,4,0.799194514,3.600402743,0.874175697,2
3.435119672,4,0.564880328,3.717559836,0.805527354,2
3.683328578,4,0.316671422,3.841664289,0.696047249,2
3.808182579,4,0.191817421,3.9040912895,0.569851613,2
