"a","b","abs_diff","mean_ab","response","N"
10,18,8,14,0.88,373
18,26,8,22,0.86,343
26,34,8,30,0.91,358
18,10,8,14,0.94,344
26,18,8,22,0.88,359
34,26,8,30,0.83,358
14,22,8,18,0.89,374
16,22,6,19,0.79,344
18,22,4,20,0.75,358
20,22,2,21,0.62,359
24,22,2,23,0.48,357
26,22,4,24,0.58,358
28,22,6,25,0.8,358
30,22,8,26,0.87,358
22,30,8,26,0.89,357
22,28,6,25,0.84,357
22,26,4,24,0.77,344
22,24,2,23,0.65,329
22,22,0,22,0.55,733
22,20,2,21,0.67,359
22,18,4,20,0.7,343
22,16,6,19,0.81,343
22,14,8,18,0.88,373
