"a","b","abs_diff","mean_ab","response","N"
60,30,30,45,0.857589984,52
60,30,30,45,0.957746479,52
60,30,30,45,0.932707355,52
60,30,30,45,0.926447574,52
60,30,30,45,0.942097027,52
50,30,20,40,0.892018779,52
50,30,20,40,0.942097027,52
50,30,20,40,0.938967136,52
50,30,20,40,0.907668232,52
50,30,20,40,0.910798122,52
40,30,10,35,0.732394366,52
40,30,10,35,0.823161189,52
40,30,10,35,0.901408451,52
40,30,10,35,0.963380282,52
35,30,5,32.5,0.627230047,52
35,30,5,32.5,0.77370892,52
35,30,5,32.5,0.805633803,52
35,30,5,32.5,0.820657277,52
35,30,5,32.5,0.815023474,52
33,30,3,31.5,0.617840376,52
33,30,3,31.5,0.745539906,52
33,30,3,31.5,0.647887324,52
33,30,3,31.5,0.784976526,52
33,30,3,31.5,0.74741784,52
32,30,2,31,0.617840376,52
32,30,2,31,0.629107981,52
32,30,2,31,0.582159624,52
32,30,2,31,0.679812207,52
32,30,2,31,0.655399061,52
31,30,1,30.5,0.559624413,52
31,30,1,30.5,0.542723005,52
31,30,1,30.5,0.557746479,52
31,30,1,30.5,0.584037559,52
31,30,1,30.5,0.550234742,52
29,30,1,29.5,0.545539906,52
29,30,1,29.5,0.515492958,52
29,30,1,29.5,0.62629108,52
29,30,1,29.5,0.584976526,52
29,30,1,29.5,0.61314554,52
28,30,2,29,0.590610329,52
28,30,2,29,0.513615023,52
28,30,2,29,0.671361502,52
28,30,2,29,0.609389671,52
28,30,2,29,0.684507042,52
27,30,3,28.5,0.75399061,52
27,30,3,28.5,0.710798122,52
27,30,3,28.5,0.774647887,52
27,30,3,28.5,0.79342723,52
27,30,3,28.5,0.812206573,52
25,30,5,27.5,0.757746479,52
25,30,5,27.5,0.710798122,52
25,30,5,27.5,0.896713615,52
25,30,5,27.5,0.817840376,52
25,30,5,27.5,0.945539906,52
20,30,10,25,0.983098592,52
20,30,10,25,0.951173709,52
20,30,10,25,0.992488263,52
20,30,10,25,0.968075117,52
20,30,10,25,0.979342723,52
15,30,15,22.5,1,52
15,30,15,22.5,0.98685446,52
15,30,15,22.5,1,52
15,30,15,22.5,1,52
15,30,15,22.5,1,52
10,30,20,20,0.969953052,52
10,30,20,20,0.98685446,52
