"a","b","abs_diff","mean_ab","response","N"
0.5,0.05,0.45,0.275,0.78328173374613,150
0.3,0.05,0.25,0.175,0.8076525336091,150
0.2,0.05,0.15,0.125,0.749741468459152,150
0.125,0.05,0.075,0.0875,0.541882109617373,150
0.08,0.05,0.03,0.065,0.279669762641899,150
0.065,0.05,0.015,0.0575,0.00518672199170124,150
0.5,0.05,0.45,0.275,0.967469879518072,150
0.3,0.05,0.25,0.175,0.882352941176471,150
0.2,0.05,0.15,0.125,0.792892156862745,150
0.125,0.05,0.075,0.0875,0.627450980392157,150
0.08,0.05,0.03,0.065,0.165060240963855,150
0.065,0.05,0.015,0.0575,0.114427860696517,150
0.5,0.05,0.45,0.275,0.914749661705007,150
0.3,0.05,0.25,0.175,0.843501326259947,150
0.2,0.05,0.15,0.125,0.86472148541114,150
0.125,0.05,0.075,0.0875,0.661803713527851,150
0.08,0.05,0.03,0.065,0.315290933694181,150
0.065,0.05,0.015,0.0575,0.159061277705345,150
0.5,0.05,0.45,0.275,0.983963344788087,150
0.3,0.05,0.25,0.175,0.8718820861678,150
0.2,0.05,0.15,0.125,0.903628117913832,150
0.125,0.05,0.075,0.0875,0.684807256235828,150
0.08,0.05,0.03,0.065,0.210767468499427,150
0.065,0.05,0.015,0.0575,0.0998877665544332,150
0.5,0.05,0.45,0.275,0.83853459972863,150
0.3,0.05,0.25,0.175,0.874338624338624,150
0.2,0.05,0.15,0.125,0.781746031746032,150
0.125,0.05,0.075,0.0875,0.677248677248677,150
0.08,0.05,0.03,0.065,0.272727272727273,150
0.065,0.05,0.015,0.0575,0.107512953367876,150
0.5,0.05,0.45,0.275,0.983112183353438,150
0.3,0.05,0.25,0.175,0.892307692307692,150
0.2,0.05,0.15,0.125,0.897041420118343,150
0.125,0.05,0.075,0.0875,0.699408284023669,150
0.08,0.05,0.03,0.065,0.354644149577805,150
0.065,0.05,0.015,0.0575,0.194412107101281,150
0.5,0.05,0.45,0.275,0.982185273159145,150
0.3,0.05,0.25,0.175,0.928319623971798,150
0.2,0.05,0.15,0.125,0.914218566392479,150
0.125,0.05,0.075,0.0875,0.841363102232667,150
0.08,0.05,0.03,0.065,0.262470308788599,150
0.065,0.05,0.015,0.0575,0.20139697322468,150
0.5,0.05,0.45,0.275,0.942857142857143,150
0.3,0.05,0.25,0.175,0.870114942528736,150
0.2,0.05,0.15,0.125,0.886206896551724,150
0.125,0.05,0.075,0.0875,0.713793103448276,150
0.08,0.05,0.03,0.065,0.310857142857143,150
0.065,0.05,0.015,0.0575,0.186127167630058,150
0.5,0.05,0.45,0.275,0.969594594594595,150
0.3,0.05,0.25,0.175,0.954285714285714,150
0.2,0.05,0.15,0.125,0.896,150
0.125,0.05,0.075,0.0875,0.801142857142857,150
0.08,0.05,0.03,0.065,0.43018018018018,150
0.065,0.05,0.015,0.0575,0.172853828306264,150
0.5,0.05,0.45,0.275,0.911471321695761,150
0.3,0.05,0.25,0.175,0.856622114216282,150
0.2,0.05,0.15,0.125,0.857837181044957,150
0.125,0.05,0.075,0.0875,0.592952612393682,150
0.08,0.05,0.03,0.065,0.198254364089776,150
0.065,0.05,0.015,0.0575,0.120095124851367,150
0.5,0.05,0.45,0.275,0.958904109589041,150
0.3,0.05,0.25,0.175,0.944254835039818,150
0.2,0.05,0.15,0.125,0.945392491467577,150
0.125,0.05,0.075,0.0875,0.764505119453925,150
0.08,0.05,0.03,0.065,0.301369863013699,150
0.065,0.05,0.015,0.0575,0.282954545454545,150
