"a","b","abs_diff","mean_ab","response","N"
23.676870748,25,1.323129252,24.338435374,0.94349330116,30
23.853741497,25,1.146258503,24.4268707485,0.99376453012,30
23.976190476,25,1.023809524,24.488095238,0.93008764011,30
24.048752834,25,0.951247166000002,24.524376417,0.8798164111,30
24.103174603,25,0.896825397000001,24.5515873015,0.93679047064,30
24.23015873,25,0.769841270000001,24.615079365,0.8496536738,30
24.348072562,25,0.651927438000001,24.674036281,0.8060852753,30
24.425170068,25,0.574829932,24.712585034,0.92338480958,30
24.479591837,25,0.520408162999999,24.7397959185,0.8697621654,30
24.611111111,25,0.388888889,24.8055555555,0.8060852753,30
24.615646259,25,0.384353741000002,24.8078231295,0.7290027243,30
24.742630385,25,0.257369615000002,24.8713151925,0.6753800801,30
24.806122449,25,0.193877551,24.9030612245,0.8161395211,30
24.869614512,25,0.130385488000002,24.934807256,0.6519201732,30
24.996598639,25,0.00340136100000166,24.9982993195,0.4944036558,30
25.001133787,25,0.00113378700000055,25.0005668935,0.5190020053,30
25.132653061,25,0.132653060999999,25.0663265305,0.5960845563,30
25.191609977,25,0.191609976999999,25.0958049885,0.7033298448,30
25.268707483,25,0.268707483,25.1343537415,0.6899241837,30
25.400226757,25,0.400226756999999,25.2001133785,0.7033298448,30
25.39569161,25,0.39569161,25.197845805,0.7301411669,30
25.536281179,25,0.536281178999999,25.2681405895,0.7267897516,30
25.590702948,25,0.590702948000001,25.295351474,0.7435468279,30
25.658730159,25,0.658730159000001,25.3293650795,0.7401954127,30
25.790249433,25,0.790249433,25.3951247165,0.7033298448,30
25.803854875,25,0.803854874999999,25.4019274375,0.7971694722,30
25.930839002,25,0.930839001999999,25.465419501,0.870900608,30
25.994331066,25,0.994331066000001,25.497165533,0.6027873869,30
26.066893424,25,1.066893424,25.533446712,0.9312260827,30
26.198412698,25,1.198412698,25.599206349,0.7200869211,30
26.397959184,25,1.397959184,25.698979592,0.8675491927,30
23.672727074,25,1.327272926,24.336363537,0.8888888889,30
23.859090497,25,1.140909503,24.4295452485,0.7070707071,30
23.968181281,25,1.031818719,24.4840906405,0.8518518519,30
24.045453919,25,0.954546081,24.5227269595,0.8518518519,30
24.099999311,25,0.900000688999999,24.5499996555,0.91582491582,30
24.227271892,25,0.772728107999999,24.613635946,0.8383838384,30
24.231817342,25,0.768182658000001,24.615908671,0.8787878788,30
24.345453575,25,0.654546424999999,24.6727267875,0.8653198653,30
24.418180764,25,0.581819236000001,24.709090382,0.6498316498,30
24.477271606,25,0.522728394000001,24.738635803,0.861952862,30
24.604544187,25,0.395455813000002,24.8022720935,0.7205387205,30
24.613635085,25,0.386364915000001,24.8068175425,0.6936026936,30
24.745453116,25,0.254546884,24.872726558,0.6195286195,30
24.804543957,25,0.195456043,24.9022719785,0.5757575758,30
24.868180248,25,0.131819751999998,24.934090124,0.5016835017,30
24.99999828,25,1.72000000020489e-06,24.99999914,0.6430976431,30
24.995452829,25,0.00454717099999868,24.9977264145,0.4983164983,30
25.131816309,25,0.131816309000001,25.0659081545,0.5521885522,30
25.19090715,25,0.190907150000001,25.095453575,0.9225589226,30
25.268179789,25,0.268179789000001,25.1340898945,1,30
25.39545237,25,0.395452370000001,25.197726185,0.8922558923,30
25.53181585,25,0.531815850000001,25.265907925,0.8720538721,30
25.590906691,25,0.590906691000001,25.2954533455,0.9730639731,30
25.668179329,25,0.668179329000001,25.3340896645,0.9562289562,30
25.790906461,25,0.790906460999999,25.3954532305,0.9057239057,30
25.804542809,25,0.804542809000001,25.4022714045,0.9528619529,30
25.93181539,25,0.931815390000001,25.465907695,0.9562289562,30
25.995451681,25,0.995451680999999,25.4977258405,1,30
26.07272432,25,1.07272432,25.53636216,1,30
26.199996901,25,1.199996901,25.5999984505,1,30
26.399996671,25,1.399996671,25.6999983355,0.9393939394,30
23.974845337,25,1.025154663,24.4874226685,0.8494983278,30
24.101702184,25,0.898297815999999,24.550851092,0.91638795987,30
24.23411625,25,0.76588375,24.617058125,0.872909699,30
24.348320908,25,0.651679091999998,24.674160454,0.8294314381,30
24.475604062,25,0.524395938000001,24.737802031,0.8494983278,30
24.602978568,25,0.397021431999999,24.801489284,0.8595317726,30
24.746293919,25,0.253706081000001,24.8731469595,0.618729097,30
24.874795093,25,0.125204907000001,24.9373975465,0.5050167224,30
25.007787719,25,0.00778771899999953,25.0038938595,0.602006689,30
25.007087357,25,0.00708735699999963,25.0035436785,0.525083612,30
25.133456996,25,0.133456996,25.066728498,0.4046822742,30
25.273407565,25,0.273407564999999,25.1367037825,0.7759197324,30
25.409734522,25,0.409734522000001,25.204867261,0.7491638796,30
25.542300841,25,0.542300840999999,25.2711504205,0.8093645485,30
25.674714907,25,0.674714906999998,25.3373574535,0.8528428094,30
25.811255018,25,0.811255018000001,25.405627509,0.8494983278,30
25.943729985,25,0.943729985000001,25.4718649925,0.8996655518,30
26.08494425,25,1.08494425,25.542472125,0.9096989967,30
