"a","b","abs_diff","mean_ab","response","N"
1.12,1.28795027,0.16795027,1.203975135,0.5651515152,48
1.12,1.570671061,0.450671061,1.3453355305,0.8984848485,48
1.12,1.790565009,0.670565009,1.4552825045,0.9439393939,48
1.12,1.931925405,0.811925405,1.5259627025,1,48
1.12,2.230352906,1.110352906,1.675176453,1,48
1.12,2.497366986,1.377366986,1.808683493,1,48
1.12,2.874328041,1.754328041,1.9971640205,1,48
1.12,3.188462253,2.068462253,2.1542311265,1,48
1.12,3.534009886,2.414009886,2.327004943,1,48
1.12,5.057560815,3.937560815,3.0887804075,1,48
1.12,6.172737268,5.052737268,3.646368634,1,48
1.12,7.130846615,6.010846615,4.1254233075,1,48
1.12,7.931888856,6.811888856,4.525944428,1,48
1.12,8.748637808,7.628637808,4.934318904,1,48
2.52,1.190074592,1.329925408,1.855037296,0.999696868,48
2.52,1.596087432,0.923912568,2.058043716,0.9995945609,48
2.52,1.787515292,0.732484708,2.153757646,0.8105614438,48
2.52,1.922008466,0.597991534,2.221004233,0.7712186989,48
2.52,2.232404811,0.287595189,2.3762024055,0.520168563,48
2.52,2.879375115,0.359375115,2.6996875575,0.5366362091,48
2.52,3.185192002,0.665192002,2.852596001,0.7724122812,48
2.52,3.534140242,1.014140242,3.027070121,0.915952863,48
2.52,5.009635267,2.489635267,3.7648176335,1,48
8.74,2.551304348,6.188695652,5.645652174,0.9984913793,48
8.74,3.568695652,5.171304348,6.154347826,0.9984913793,48
8.74,5.055652174,3.684347826,6.897826087,0.9984913793,48
8.74,6.213913043,2.526086957,7.4769565215,0.8340517241,48
8.74,7.153043478,1.586956522,7.946521739,0.7676724138,48
8.74,7.544347826,1.195652174,8.142173913,0.625862069,48
