"a","b","abs_diff","mean_ab","response"
1.8,2.8,1,2.3,1
1.8,2.5,0.7,2.15,1
1.8,3.1,1.3,2.45,1
1.8,2.3,0.5,2.05,0
1.8,3.2,1.4,2.5,1
1.8,2,0.2,1.9,1
1.8,3,1.2,2.4,1
1.8,2.1,0.3,1.95,1
1.8,2.6,0.8,2.2,1
1.8,3.3,1.5,2.55,0
1.8,2.9,1.1,2.35,1
1.8,2.2,0.4,2,1
1.8,2.7,0.9,2.25,1
1.8,1.9,0.1,1.85,1
1.8,2.4,0.6,2.1,0
1.8,2.8,1,2.3,1
1.8,2.1,0.3,1.95,0
1.8,3.2,1.4,2.5,1
1.8,2.5,0.7,2.15,0
1.8,3.3,1.5,2.55,1
1.8,2.3,0.5,2.05,1
1.8,3,1.2,2.4,1
1.8,1.9,0.1,1.85,1
1.8,2.7,0.9,2.25,1
1.8,2,0.2,1.9,1
1.8,3.1,1.3,2.45,1
1.8,2.4,0.6,2.1,0
1.8,2.9,1.1,2.35,1
1.8,2.2,0.4,2,1
1.8,2.6,0.8,2.2,1
1.8,3,1.2,2.4,1
1.8,2.8,1,2.3,1
1.8,2.4,0.6,2.1,0
1.8,3.1,1.3,2.45,1
1.8,2.2,0.4,2,0
1.8,1.9,0.1,1.85,1
1.8,2.6,0.8,2.2,1
1.8,2.1,0.3,1.95,0
1.8,2.9,1.1,2.35,1
1.8,2.3,0.5,2.05,1
1.8,2.7,0.9,2.25,0
1.8,2,0.2,1.9,1
1.8,3.3,1.5,2.55,1
1.8,2.5,0.7,2.15,1
1.8,3.2,1.4,2.5,1
1.8,2.7,0.9,2.25,1
1.8,2.4,0.6,2.1,1
1.8,3.1,1.3,2.45,1
1.8,2.2,0.4,2,0
1.8,2.9,1.1,2.35,1
1.8,2,0.2,1.9,1
1.8,3.3,1.5,2.55,1
1.8,2.5,0.7,2.15,1
1.8,2.1,0.3,1.95,0
1.8,1.9,0.1,1.85,1
1.8,3,1.2,2.4,1
1.8,2.3,0.5,2.05,1
1.8,3.2,1.4,2.5,1
1.8,2.6,0.8,2.2,0
1.8,2.8,1,2.3,1
1.8,2.6,0.8,2.2,1
1.8,3.1,1.3,2.45,1
1.8,2.8,1,2.3,1
1.8,2.4,0.6,2.1,0
1.8,2.1,0.3,1.95,0
1.8,2.9,1.1,2.35,1
1.8,2.5,0.7,2.15,1
1.8,3,1.2,2.4,1
1.8,2.2,0.4,2,1
1.8,2.7,0.9,2.25,1
1.8,3.2,1.4,2.5,1
1.8,2,0.2,1.9,0
1.8,3.3,1.5,2.55,1
1.8,1.9,0.1,1.85,0
1.8,2.3,0.5,2.05,1
1.8,3.1,1.3,2.45,1
1.8,2.6,0.8,2.2,0
1.8,2.3,0.5,2.05,1
