"a","b","abs_diff","mean_ab","response","N"
40,5.062243227,34.937756773,22.5311216135,0.835959596,15
40,10.01736015,29.98263985,25.008680075,0.8472727273,15
40,12.52068081,27.47931919,26.260340405,0.7977777778,15
40,14.96333364,25.03666636,27.48166682,0.7539393939,15
40,17.47295586,22.52704414,28.73647793,0.7765656566,15
40,20.03904488,19.96095512,30.01952244,0.7454545455,15
40,22.5379174,17.4620826,31.2689587,0.6450505051,15
40,25.03938467,14.96061533,32.519692335,0.5743434343,15
30,5.126494301,24.873505699,17.5632471505,0.8713131313,41
30,10.01550675,19.98449325,20.007753375,0.8260606061,41
30,12.52018658,17.47981342,21.26009329,0.7921212121,41
30,15.02103605,14.97896395,22.510518025,0.7143434343,41
30,17.58403608,12.41596392,23.79201804,0.6478787879,41
30,20.02298211,9.97701789,25.011491055,0.5616161616,41
25,5.005405739,19.994594261,15.0027028695,0.8854545455,25
25,9.957680783,15.042319217,17.4788403915,0.8642424242,25
25,12.52117505,12.47882495,18.760587525,0.8034343434,25
25,14.95777345,10.04222655,19.978886725,0.6903030303,25
25,17.51496618,7.48503382,21.25748309,0.5573737374,25
5,6.928214238,1.928214238,5.964107119,0.5632240297,45
5,7.53993052,2.53993052,6.26996526,0.5844966056,45
5,9.925624021,4.925624021,7.4628120105,0.7731134452,45
5,12.43366078,7.43366078,8.71683039,0.8652946074,45
5,14.94169753,9.94169753,9.970848765,0.8667127791,45
5,17.44973429,12.44973429,11.224867145,0.9220214765,45
5,24.97384456,19.97384456,14.98692228,0.8964943854,45
5,29.98991808,24.98991808,17.49495904,0.9220214765,45
5,34.94481996,29.94481996,19.97240998,0.8865671833,45
5,39.89972185,34.89972185,22.449860925,0.8993307288,45
7,8.946877969,1.946877969,7.9734389845,0.5958419794,45
7,9.925624021,2.925624021,8.4628120105,0.6156963836,45
7,12.43366078,5.43366078,9.71683039,0.7617680714,45
7,14.45232451,7.45232451,10.726162255,0.8326766577,45
7,16.96036127,9.96036127,11.980180635,0.8936580419,45
7,19.95777105,12.95777105,13.478885525,0.9106761026,45
7,24.91267293,17.91267293,15.956336465,0.9135124461,45
7,29.86757482,22.86757482,18.43378741,0.8993307288,45
7,39.96089348,32.96089348,23.48044674,0.9135124461,45
10,12.49483241,2.49483241,11.247416205,0.5844966056,45
10,14.94169753,4.94169753,12.470848765,0.7362409803,45
10,17.44973429,7.44973429,13.724867145,0.8170767687,45
10,19.83542779,9.83542779,14.917713895,0.8596219205,45
10,29.92874645,19.92874645,19.964373225,0.8908216985,45
10,34.88364833,24.88364833,22.441824165,0.887985355,45
10,39.89972185,29.89972185,24.949860925,0.8780581529,45
12.5,17.38856266,4.88856266,14.94428133,0.5901692925,15
12.5,19.89659942,7.39659942,16.19829971,0.6327144443,15
12.5,22.40463618,9.90463618,17.45231809,0.7291501217,15
12.5,24.91267293,12.41267293,18.706336465,0.815658597,15
12.5,29.92874645,17.42874645,21.214373225,0.862458264,15
12.5,34.88364833,22.38364833,23.691824165,0.7475863541,15
12.5,39.89972185,27.39972185,26.199860925,0.8241676273,15
17.5,22.46580781,4.96580781,19.982903905,0.608605525,17
17.5,24.91267293,7.41267293,21.206336465,0.7731134452,17
17.5,29.92874645,12.42874645,23.714373225,0.7986405363,17
17.5,34.88364833,17.38364833,26.191824165,0.8596219205,17
17.5,39.89972185,22.39972185,28.699860925,0.8780581529,17
