"a","b","abs_diff","mean_ab","response","N"
0,0,0,0,0.643537415,1
0,10,10,5,0.733508541,1
0,20,20,10,NA,1
0,30,30,15,NA,1
0,45,45,22.5,0.829726289,1
0,50,50,25,0.777777778,1
0,60,60,30,NA,1
0,70,70,35,NA,1
0,80,80,40,NA,1
0,90,90,45,0.779414278,1
10,0,10,5,0.676037483,1
10,20,10,15,NA,1
10,30,20,20,0.705128205,1
10,45,35,27.5,0.779069767,1
10,50,40,30,0.642857143,1
10,60,50,35,NA,1
10,70,60,40,NA,1
10,80,70,45,0.709148265,1
10,90,80,50,0.733673469,1
20,0,20,10,NA,1
20,10,10,15,NA,1
20,40,20,30,NA,1
20,50,30,35,0.578313253,1
20,60,40,40,NA,1
20,70,50,45,0.673496899,1
20,90,70,55,0.644444444,1
25,55,30,40,NA,1
25,65,40,45,0.746347942,1
30,0,30,15,NA,1
30,10,20,20,0.605504587,1
30,45,15,37.5,NA,1
30,50,20,40,NA,1
30,60,30,45,0.647540984,1
30,90,60,60,0.602362205,1
35,55,20,45,0.669117647,1
35,65,30,50,NA,1
40,20,20,30,NA,1
40,50,10,45,0.585764668,1
40,60,20,50,NA,1
40,70,30,55,NA,1
40,90,50,65,NA,1
45,0,45,22.5,0.804173355,1
45,10,35,27.5,0.686781609,1
45,30,15,37.5,NA,1
45,45,0,45,0.505044136,1
45,70,25,57.5,NA,1
45,90,45,67.5,0.69991756,1
50,0,50,25,0.790294627,1
50,10,40,30,0.758064516,1
50,20,30,35,0.639175258,1
50,30,20,40,NA,1
50,40,10,45,0.555390113,1
50,70,20,60,NA,1
50,90,40,70,0.570945946,1
55,25,30,40,NA,1
55,35,20,45,0.619601329,1
60,0,60,30,NA,1
60,10,50,35,NA,1
60,20,40,40,NA,1
60,30,30,45,0.637424373,1
60,40,20,50,NA,1
60,60,0,60,NA,1
60,90,30,75,NA,1
65,25,40,45,0.701369863,1
65,35,30,50,NA,1
70,0,70,35,NA,1
70,10,60,40,NA,1
70,20,50,45,0.690292966,1
70,30,40,50,NA,1
70,40,30,55,NA,1
70,45,25,57.5,NA,1
70,50,20,60,NA,1
70,70,0,70,NA,1
70,90,20,80,NA,1
75,90,15,82.5,NA,1
80,0,80,40,NA,1
80,10,70,45,0.73398773,1
80,90,10,85,NA,1
90,0,90,45,0.780133035,1
90,10,80,50,0.784660767,1
90,20,70,55,0.743589744,1
90,30,60,60,0.72265625,1
90,40,50,65,NA,1
90,45,45,67.5,0.641089109,1
90,50,40,70,0.706319703,1
90,60,30,75,NA,1
90,70,20,80,NA,1
90,75,15,82.5,NA,1
90,80,10,85,NA,1
90,90,0,90,NA,1
