"a","b","abs_diff","mean_ab","response","N"
3.636413837,22,18.363586163,12.8182069185,0.94219653179,40
5.719055353,22,16.280944647,13.8595276765,0.93063583815,40
7.276556315,22,14.723443685,14.6382781575,0.91907514451,40
11.44397481,22,10.55602519,16.721987405,0.8497109827,40
19.06919124,22,2.93080876,20.53459562,0.6801541426,40
29.13607733,22,7.13607733,25.568038665,0.6685934489,40
42.8344932,22,20.8344932,32.4172466,0.6801541426,40
63.58288775,22,41.58288775,42.791443875,0.8131021195,40
96.2177045,22,74.2177045,59.10885225,0.9267822736,40
134.8022758,22,112.8022758,78.4011379,0.9479768786,40
