"a","b","abs_diff","mean_ab","response","N"
1,20,19,10.5,-0.429764494,100
1,5,4,3,-0.317080613,100
20,5,15,12.5,0.293951852,100
1,20,19,10.5,-0.609637404,100
1,0.2,0.8,0.6,0.323164357,100
1,5,4,3,-0.508552321,100
20,0.2,19.8,10.1,0.61700481,100
20,5,15,12.5,0.328390402,100
0.2,5,4.8,2.6,-0.693689609,100
1,1,0,1,-0.012487086,100
20,20,0,20,0.124856063,100
5,5,0,5,0.039749924,100
1,1,0,1,-0.000467684,100
20,20,0,20,0.059141547,100
0.2,0.2,0,0.2,0.095285511,100
5,5,0,5,-0.12746254,100
