"a","b","abs_diff","mean_ab","response","N"
0.01,0.001,0.009,0.0055,0.760448664,100
0.01,1e-04,0.0099,0.00505,0.933215025,100
0.01,1e-05,0.00999,0.005005,0.97629521,100
0.001,1e-04,9e-04,0.00055,0.822369317,100
0.001,1e-05,0.00099,0.000505,0.93314768,100
1e-04,1e-05,9e-05,5.5e-05,0.590679401,100
0.1,0.01,0.09,0.055,0.807289117,100
0.1,0.001,0.099,0.0505,0.981028369,100
0.1,1e-04,0.0999,0.05005,0.981147498,100
0.01,0.001,0.009,0.0055,0.787849109,100
0.01,1e-04,0.0099,0.00505,0.937990064,100
0.001,1e-04,9e-04,0.00055,0.70297413,100
0.01,0.001,0.009,0.0055,0.577558281,100
0.01,1e-04,0.0099,0.00505,0.738239389,100
0.01,1e-05,0.00999,0.005005,0.752586271,100
0.001,1e-04,9e-04,0.00055,0.703603449,100
0.001,1e-05,0.00099,0.000505,0.732483533,100
1e-04,1e-05,9e-05,5.5e-05,0.666855989,100
0.01,0.001,0.009,0.0055,0.631930263,100
0.01,1e-04,0.0099,0.00505,0.829522374,100
0.01,1e-05,0.00999,0.005005,0.860738902,100
0.001,1e-04,9e-04,0.00055,0.762671132,100
0.001,1e-05,0.00099,0.000505,0.938407416,100
1e-04,1e-05,9e-05,5.5e-05,0.658229466,100
0.01,0.001,0.009,0.0055,0.521790532,100
0.01,1e-04,0.0099,0.00505,0.627219139,100
0.01,1e-05,0.00999,0.005005,0.635628417,100
0.001,1e-04,9e-04,0.00055,0.691552952,100
0.001,1e-05,0.00099,0.000505,0.950599916,100
1e-04,1e-05,9e-05,5.5e-05,0.838746843,100
0.01,0.01,0,0.01,-0.112247398,100
0.001,0.001,0,0.001,-0.01142075,100
1e-04,1e-04,0,1e-04,-0.141113654,100
1e-05,1e-05,0,1e-05,0.137834037,100
0.1,0.1,0,0.1,0.038695652,100
0.01,0.01,0,0.01,-0.095946887,100
0.001,0.001,0,0.001,-0.06823832,100
1e-04,1e-04,0,1e-04,0.028489567,100
0.01,0.01,0,0.01,0.084449996,100
0.001,0.001,0,0.001,-0.083049613,100
1e-04,1e-04,0,1e-04,0.04038014,100
1e-05,1e-05,0,1e-05,-0.182272766,100
0.01,0.01,0,0.01,-0.105820106,100
0.001,0.001,0,0.001,0.065217391,100
1e-04,1e-04,0,1e-04,-0.007102273,100
1e-05,1e-05,0,1e-05,0.056038647,100
0.01,0.01,0,0.01,-0.052269171,100
0.001,0.001,0,0.001,-0.05326087,100
1e-04,1e-04,0,1e-04,-0.063927478,100
1e-05,1e-05,0,1e-05,0.005698579,100
