"a","b","abs_diff","mean_ab","response","N"
50,60.56876448,10.56876448,55.28438224,0.293928675000997,50
50,74.86726189,24.86726189,62.433630945,0.246425050730008,50
50,89.8621147,39.8621147,69.93105735,0.478109597040447,50
50,105.1569893,55.1569893,77.57849465,0.668031313416025,50
50,120.4269198,70.4269198,85.2134599,0.764012757345586,50
50,135.0877992,85.0877992,92.5438996,0.909596984606274,50
50,150.3376359,100.3376359,100.16881795,0.92990432004636,50
50,59.9091323,9.9091323,54.95456615,0.193040807105467,50
50,74.91715004,24.91715004,62.45857502,0.461021668750029,50
50,90.12333459,40.12333459,70.061667295,0.323738383875932,50
50,104.8458813,54.8458813,77.42294065,0.683720262143081,50
50,120.0652307,70.0652307,85.03261535,0.593675068201776,50
50,134.7870845,84.7870845,92.39354225,0.951170731203676,50
50,150.6535941,100.6535941,100.32679705,0.950607188999488,50
50,59.61188209,9.61188209,54.805941045,0.231171395540547,50
50,75.47700592,25.47700592,62.73850296,0.225550581739967,50
50,74.90398511,24.90398511,62.451992555,0.404799569204181,50
50,89.91338863,39.91338863,69.956694315,0.681935983295611,50
50,105.1944054,55.1944054,77.5972027,0.815175075415402,50
50,120.152535,70.152535,85.0762675,0.905511987706589,50
50,135.7079366,85.7079366,92.8539683,0.904951028240702,50
50,150.6535941,100.6535941,100.32679705,0.949850223795066,50
50,59.88418823,9.88418823,54.942094115,0.0439327338706913,50
50,75.15411874,25.15411874,62.57705937,0.141461517510847,50
50,89.91338863,39.91338863,69.956694315,0.665908528427065,50
50,104.8597391,54.8597391,77.42986955,0.71572174363709,50
50,119.8040108,69.8040108,84.9020054,0.757580399929274,50
50,135.089185,85.089185,92.5445925,0.91344261519706,50
50,150.0237563,100.0237563,100.01187815,0.918179996936171,50
50,60.17935977,10.17935977,55.089679885,0.00405049859642532,50
50,74.90259933,24.90259933,62.451299665,0.382593242258031,50
50,90.20856017,40.20856017,70.104280085,0.613113921722324,50
50,104.8673609,54.8673609,77.43368045,0.750184638113073,50
50,120.1622355,70.1622355,85.08111775,0.939161743039514,50
50,135.1085859,85.1085859,92.55429295,0.987940823456707,50
50,150.343179,100.343179,100.1715895,0.951024741491122,50
50,60.20707541,10.20707541,55.103537705,0.117129772382425,50
50,75.16866945,25.16866945,62.584334725,0.221936706974593,50
