"a","b","abs_diff","mean_ab","response","N"
6.35,7.163,0.813,6.7565,0.9806007877,49
6.35,6.756,0.406,6.553,0.991985578,36
6.35,6.655,0.305,6.5025,0.9907118923,58
6.35,6.579,0.229,6.4645,0.951462779,59
6.35,6.502,0.152,6.426,0.9818548782,42
6.35,6.426,0.0759999999999996,6.388,0.8033625301,44
6.35,7.163,0.813,6.7565,0.9422138616,49
6.35,6.756,0.406,6.553,0.858699273,36
6.35,6.655,0.305,6.5025,0.7941528031,58
6.35,6.579,0.229,6.4645,0.7358767856,59
6.35,6.502,0.152,6.426,0.6143867693,42
6.35,6.426,0.0759999999999996,6.388,0.5498402994,44
6.35,5.537,0.813,5.9435,0.9936708861,49
6.35,5.944,0.406,6.147,0.9746835443,36
6.35,6.045,0.305,6.1975,0.9556962025,58
6.35,6.121,0.229,6.2355,0.8481012658,59
6.35,6.198,0.152,6.274,0.9303797468,42
6.35,6.274,0.0759999999999996,6.312,0.835443038,44
6.35,5.537,0.813,5.9435,0.9493670886,49
6.35,5.944,0.406,6.147,0.8417721519,36
6.35,6.045,0.305,6.1975,0.7784810127,58
6.35,6.121,0.229,6.2355,0.7911392405,59
6.35,6.198,0.152,6.274,0.6455696203,42
6.35,6.274,0.0759999999999996,6.312,0.582278481,44
